Song,Film/Album,Artists
Ei Nadi Boye Jay,Abhoya O Srikanta,Hemanta Mukherjee
Kar Bansari Baje Multani Sure,Agnibeena Classical Kazi,Arati Mukherjee
Mone Rekho More,Ajana Shapath,Arati Mukherjee
Ogo Bondhu Aamar,Ajana Shapath,Arati Mukherjee
Aaro Katodin Ami Khunjechhi Tomake,All Time Greats,Arati Mukherjee
Aaynate Mukh Dekhbo Na,All Time Greats,Arati Mukherjee
Ami Shakuntala Noi,All Time Greats,Arati Mukherjee
Banya Banya E Aranya,All Time Greats,Arati Mukherjee
Besh To Na Hoy Kichhu Na Dite,All Time Greats,Arati Mukherjee
Ei Charukeshe Sucharu Kabari Bandha,All Time Greats,Arati Mukherjee
Ei Mom Jochhonay Ango Bhijiye Eso Na,All Time Greats,Arati Mukherjee
Jadi Akash Hoto Ankhi,All Time Greats,Arati Mukherjee
Jale Nebo Na,All Time Greats,Arati Mukherjee
Jani E Bhul,All Time Greats,Arati Mukherjee
Jeyo Na Jeyo Na Sakhi,All Time Greats,Arati Mukherjee
Kato Dur Aar Kato Dur,All Time Greats,Arati Mukherjee
Mone Mone Se Janina,All Time Greats,Arati Mukherjee
Na Holo Chokhe O Dekha,All Time Greats,Arati Mukherjee
O Golap O Malati,All Time Greats,Arati Mukherjee
Ogo Moner Duyare Danriye Theko Na,All Time Greats,Arati Mukherjee
Ogo Moner Duyare Danriye Theko Na,Aparna,Arati Mukherjee
Path Chharo Chharo,All Time Greats,Arati Mukherjee
Taar Banshi Je,All Time Greats,Arati Mukherjee
Tapur Tupur Sara Dupur,All Time Greats,Arati Mukherjee
Thakna Lukiye Megher Arale,All Time Greats,Arati Mukherjee
Tomar Charaner Dhwani,All Time Greats,Arati Mukherjee
Tomar Gharer Putulgulo,All Time Greats,Arati Mukherjee
Aaj Sudhu Je Gaan,All Time Greats,Arati Mukherjee
Bolte Tumi Paro,All Time Greats,Arati Mukherjee
Katha Kichhu Kichhu Bujhe Nite Hoy,Ananda Ashram,"Shyamal Mitra, Arati Mukherjee"
Chupi Chupi,Anjali,Arati Mukherjee
Cholte Cholte Kon Alor Deshe,Aparna,Arati Mukherjee
Cholte Cholte Kon Alor Deshe,All Time Greats,Arati Mukherjee
Lal Neel Halde,Aparupa,"Arati Mukherjee, Chorus"
Pelam Tomay,Aparupa,"Amit Kumar, Arati Mukherjee"
Jodi Akash Hoto Ankhi,Arati Mukhopadhay Bengali,Arati Mukherjee
Jodi Akash Hoto Ankhi,,Arati Mukherjee
Baank Kandhe Tule,Baba Taraknath,"Arati Mukherjee, Chorus"
Bishnupriya Go,Baba Taraknath,Arati Mukherjee
Panchapradipe Dhupe,Baba Taraknath,"Arati Mukherjee, Banasree Sengupta, Dinendra Chowdhury, Chorus"
Tomar Chandra Surya Oi Duti Chokh,Baba Taraknath,Arati Mukherjee
Tumi Pathar Naki Pran,Baba Taraknath,Arati Mukherjee
Ami Miss Calcutta,Basanta Bilap,Arati Mukherjee
Ek Charetei Thanda,Basanta Bilap,Arati Mukherjee
O Shyam Jakhan Takhan,Basanta Bilap,Arati Mukherjee
Adam Noi Eve,Bengali Modern Songs,Arati Mukherjee
Jaante Ichchhe Hoy,Bengali Modern Songs,Arati Mukherjee
Jeno Chiradini Ei Hoy,Bengali Modern Songs,Arati Mukherjee
Moner Manush Theke Dure Sore,Bengali Modern Songs,Arati Mukherjee
Sa Holo Hate Khori,Bengali Modern Songs,"Arati Mukherjee, Chorus"
Abire Abire Eso,Bhagya Chakra,Hemanta Mukherjee
Hori Din To Gelo Sandhya Holo,Bhakteegatha,Arati Mukherjee
Anka Banka Pathe Jodi,Bilambita Loy,Arati Mukherjee
Bendhona Phulomala Dore,Bilambita Loy,"Manna Dey, Arati Mukherjee"
Ek Baishakhe Dekha Holo Dujanay,Bilambita Loy,Arati Mukherjee
Sona Roder Gaan,Bilambita Loy,Arati Mukherjee
Assam Desher Meye Ami Chameli,Chameli Mem Saheb,Arati Mukherjee
"Lajja , Mori Mori Eki Lajja",Chayanika Mone,Arati Mukherjee
Raat Aamar Shudhu Je Gechhe,Chayanika Hits Of 80S,Arati Mukherjee
Jouban Palashe Agun,Chena Achena,"Arati Mukherjee, Chorus"
Jouban Palashe Agun,Arati Mukhopadhay Bengali,"Arati Mukherjee, Chorus"
Kato Swapna Chhilo,Chena Achena,Arati Mukherjee
Tomake Swapne Dekheo Sukh [1],Chhinna Patra,Arati Mukherjee
Amar Putul Aajke Pratham,Chhotoder Gaan,Arati Mukherjee
Ranga Tuktuke Shari,Chhotoder Gaan,Arati Mukherjee
Muskil Asan,Chhutir Phande,"Manna Dey, Arati Mukherjee"
Nadir Jemon Jharna Aachhe,Chhutir Phande,Arati Mukherjee
Mandir Maszid Girjay Amar Parthona E,Chokhe Bheja Drishti,Arati Mukherjee
O Bajalei Baji Sajale Saji,Chokhe Bheja Drishti,Arati Mukherjee
Jeno Akashke Bolo Na,Chokhe Bheja Drishti,Arati Mukherjee
Ekhon Mon Niye Khela Kori,Daabi,"Arati Mukherjee, Shyamal Mitra"
Tomar Dake Sara Dite,Dadar Kirti,Arati Mukherjee
Madhobi Modhupey Holo Mitali,Deya Neya,Arati Mukherjee
Bou Katha Kao,Dhanyi Meye,Arati Mukherjee
Eso Mon Pranami Go,Eso Maa Lakshmi Baso,Hemanta Mukherjee
Pranam Satya Swarupini,Eso Maa Lakshmi Baso,Hemanta Mukherjee
Ami To Sei Kabigurur,Eso Na Galpo Kori,Arati Mukherjee
Na Debona Chole Jete,Eso Na Galpo Kori,Arati Mukherjee
O Chokhe Amay Dekho Na,Eso Na Galpo Kori,Arati Mukherjee
Ogo Raat Katha Rakho,Eso Na Galpo Kori,Arati Mukherjee
Se Amar Buk Bharano,Fariyad,Arati Mukherjee
Path-Hara Pakhi,Gems From Kazi,Arati Mukherjee
Aare Bahare Baha,Hangsaraaj,Arati Mukherjee
O Babumashai,Hangsaraaj,Arati Mukherjee
O Baro Koste Ami Pelam,Hangsaraaj,Arati Mukherjee
O Didimoni,Hangsaraaj,Arati Mukherjee
O Shamu Shyamre,Hangsaraaj,Arati Mukherjee
Ami Jeno Tari Alo,Har Mana Har,Arati Mukherjee
Ei Akash Natun Batas Natun,Har Mana Har,Arati Mukherjee
Jhananana Tananana Baje,Haraye Khunji,Arati Mukherjee
Tung Tang Piyanoy,Haraye Khunji,Arati Mukherjee
Om Namah Shivae,Harishchandra Saibya,"Yesudas, Arati Mukherjee, Chorus"
Kaal Khushir Tuphan Uriye,Harmonium,"Arati Mukherjee, Pintoo Bhattacharya"
Ei Jouban Jhar Jhar,Hashi Tukui Thak,Arati Mukherjee
Ei Chhotto Chhotto Paye,Heere Manik,Arati Mukherjee
Akash Katha Bole,Hits Of Arati Mukherjee,Arati Mukherjee
Ami Raatke Bolechhi Kal,Hits Of Arati Mukherjee,Arati Mukherjee
Lalite Aagei Jodi,Hits Of Arati Mukherjee,Arati Mukherjee
O Akash Neel Akash,Hits Of Arati Mukherjee,Arati Mukherjee
Phuler Gandha Ektu Ektu Kore,Hits Of Arati Mukherjee,Arati Mukherjee
Sab Loke Koy Lalan Ki Jaat Sansare,Immortal Lalan,Arati Mukherjee
Amra To Aar Chhoto Nei,Jay Jayanti,"Arati Mukherjee, Chorus"
Hariye Jete Jete,Kakhano Megh,Arati Mukherjee
Tomay Dekhe Chhabi Enke,Kakhano Megh,Arati Mukherjee
Din Phuralo Hori Hori Hori Balo,Lalan Fakirer Gaan,Arati Mukherjee
Takhon Tomar Ekush Bachhar,Live At Salt Lake Stadium,Arati Mukherjee
Maane Naa Maanaa,Maane Naa Maanaa,Arati Mukherjee
Subhra Sankha Rabe,Mahishasura Mardini,"Shyamal Mitra, Ashima"
Jadi Naiba Thaki,Moyna,Arati Mukherjee
Shamla Gaanyer Kajla Meye,Moyna,Hemanta Mukherjee
Mor Na Mitite Asha,Nazrul Shatak Sraddhanjali,Arati Mukherjee
Tumi Je Premer,Nishaan,"Kishore Kumar, Arati Mukherjee"
Megh Aar Kuyashay Hok,Padmagolap,"Kishore Kumar, Arati Mukherjee"
Na Re Na Tumi Na,Parabat Priya,Arati Mukherjee
Laje Ranga Holo Kone Bou Go,Parineeta,"Arati Mukherjee, Others"
Hay Hay Hay Hay,Phuleshwari,Sandhya Mukherjee
Eki E Niyatir Nithur Khela,Pratigna,"Arati Mukherjee, Suresh Wadkar"
Bhorer Taara Hoye Nishihaara,Puja 88 Arati Mukherjee,Arati Mukherjee
Bhramare Gunjare Sure Bibhor,Puja 88 Arati Mukherjee,Arati Mukherjee
Tumi Krishnachura Photaar Dine,Puja 88 Arati Mukherjee,Arati Mukherjee
Tomar Deoya Phul,Rajani,Arati Mukherjee
Oi Neel Neel,Rajbadhu,"Manna Dey, Arati Mukherjee"
Bhalobeshe Bashre Bhalo,Sagina Mahato,Anup Ghoshal
Chhotisi Panchhi,Sagina Mahato,"Arati Mukherjee, Anup Ghoshal"
Dashabhuje Dashapraharanadharini,Samagra Shrinivas Khale,Arati Mukherjee
Aami Bhuji Na,Sera Sharad Arghya,Arati Mukherjee
Balo Na Go Kar Ma Tumi,Shatru,Arati Mukherjee
Sei Dingulo Nei,Shesh Bichar,Arati Mukherjee
Baro Sadh Kore Guru,Solid Gold,Arati Mukherjee
Baro Sadh Kore Guru,Solid Gold Arati Mukhopadhyay,Arati Mukherjee
Na Bole Esechhi,Solid Gold,Arati Mukherjee
Na Bole Esechhi,Solid Gold Arati Mukhopadhyay,Arati Mukherjee
Chinechhi Chinechhi Tomar E Mon,Songs For The,Arati Mukherjee
Jiban Maroner Sathi,Sudur Niharika,"Manna Dey, Arati Mukherjee"
Bhima Bibhisana,Tarini Tara Ma,Arati Mukherjee
Dure Dure Kachhe Kachhe,Teen Bhubaner Parey,Arati Mukherjee
Kono Ek Chena Pathe,Teen Bhubaner Parey,"Arati Mukherjee, Chorus"
Amay Tomar Motoi,Tilottoma,Arati Mukherjee
