Song,Film/Album,Artists
Chokhe Chokhe Katha Balo,Aaj Dujane Romantic Hits,Asha Bhosle
Lakshmiti Dohai Tomar,Aaj Dujane Romantic Hits,Asha Bhosle
Na Ekhoni Noy Jabe,Aaj Dujane Romantic Hits,Asha Bhosle
Pora Banshi Shunle E Mon,Aaj Dujane Romantic Hits,Asha Bhosle
Sandhya Belay Tumi Ami,Aaj Dujane Romantic Hits,Asha Bhosle
Akashe Aaj Ranger Khela,,Asha Bhosle
Amay Tumi Je Bhalobesechho,Aakashe Aaj Ranger Khela,
Ei Edike Eso Esona,Aakashe Aaj Ranger Khela,Asha Bhosle
Je Gaan Tomay Ami,Aakashe Aaj Ranger Khela,Asha Bhosle
E Amar Agnipariksha,Abhiman,Asha Bhosle
Tumi Je Amar,Abhiman,Asha Bhosle
Keno Dako Isharay,Abhishapto Chambal,Asha Bhosle
Moner Manush Khunjte,Adwitiya,Asha Bhosle
Kachhe Achho Tumi,Ajasra Dhanyabad,"Asha Bhosle, Shailendra Singh"
Prem Kathatai Chhoto,Ajasra Dhanyabad,Asha Bhosle
Banshi Shune Ki,All Time Greats,Asha Bhosle
Jhum Jhum Jhum Raat Nijhum,All Time Greats,Asha Bhosle
Moyna Balo Tumi,All Time Greats,Asha Bhosle
Nach Mayuri Nach Re,All Time Greats Asha Bhosle,Asha Bhosle
Ekti Katha Aami Je Shudhu Jani,All Time Greats Asha Bhosle,Asha Bhosle
Ektu Aaro Noy Kachhe Thako Na,All Time Greats Asha Bhosle,"Asha Bhosle, R.D.Burman"
Hay Go Amar Mon Mane Na,All Time Greats Asha Bhosle,Asha Bhosle
Jake Bhalobasi Re,All Time Greats Asha Bhosle,Asha Bhosle
Khub Chena Chena Mukhkhani,All Time Greats Asha Bhosle,Asha Bhosle
Na Na Na Na Parbo Na,All Time Greats Asha Bhosle,Asha Bhosle
Raat Dupure Kothay Jabe,All Time Greats Asha Bhosle,Asha Bhosle
Jani Na Aaj Je Apon,Amanush,Asha Bhosle
Jodi Hoi Chorkanta,Amanush,"Kishore Kumar, Asha Bhosle"
Na Na Emon Korey,Amanush,"Asha Bhosle, Kishore Kumar"
Amar Swapna Tumi Ogo,Ananda Ashram,"Kishore Kumar, Asha Bhosle"
Bhalobeshe Dekei Dekho Na,Ananda Ashram,Asha Bhosle
Amar Ga Chhamchham Kare,Antarale,"Asha Bhosle, Bappi Lahiri"
Phul Phute Jhore Jaay,Antarale,Asha Bhosle
E Mon Amar Hariye Jay,Anurager Chhowa,Asha Bhosle
Gun Gun Kare Mon,Anurager Chhowa,"Asha Bhosle, Amit Kumar"
Nagor Amar Kancha Peerit,Anyay Abichar,"Asha Bhosle, Shailendra Singh"
Aar Ki Tomay Chharchhi,Aparupa,"Asha Bhosle, R.D.Burman"
Ami Jani Na,Aparupa,"Asha Bhosle, Abhijeet"
Angur Angur Chokh,Aparupa,Asha Bhosle
Gunjane Dole Je Bhramar,Aradhana,"Kishore Kumar, Asha Bhosle"
Mohuay Jomechhe Aaj Mou Go,Asha Bhosle A Musical,Asha Bhosle
Boba Bole Dukkha Keno,Baba Taraknath,Asha Bhosle
Tumi Surjya Tumi Chandra,Baba Taraknath,Asha Bhosle
Mon Niye Ki Morbo Naki Seshe,Baghini,Asha Bhosle
Mone Naa Rang Lagle,Bandi,"Kishore Kumar, Asha Bhosle, Chorus"
Aasbo Aar Ekdin Aaj Jai,Bani Jetha Chiradin Rabe,Asha Bhosle
Ami Khatar Patay Cheyechhilam,Bani Jethe Chiradin Rabe,Asha Bhosle
Chande Jatra,Bengali Modern Song,Asha Bhosle
Tomar Je Oi Haater Mala,Bengali Modern Song,Asha Bhosle
Uth Chori Tor Biya,Bengali Modern Song,Asha Bhosle
Phire Elam Dure Giye,Bengali Modern Songs,"Asha Bhosle, R.D.Burman"
Jani Na Kothay Tumi,Best Of Rahul Deb Burman,"Asha Bhosle, R.D.Burman"
Chhande Chhande Gaane Gaane,Chayanika Ragashrayee,Asha Bhosle
Aaro Dure Chalo Jai,Chhadmabeshi,Asha Bhosle
Amar Din Kate Na,Chhadmabeshi,Asha Bhosle
Tomar Moner Sudha,Chirantan Bengali Modern,Asha Bhosle
Akasher Duti Tara,Chirantan Bengali Modern,Asha Bhosle
Oi Path Dure Dure,Chirantan Bengali Modern,Asha Bhosle
Ga Chham Chham Ki Hoy Ki Hoy,Debibaran,Asha Bhosle
Oi Neel Pakhitake,Dujane,"Asha Bhosle, Bappi Lahiri"
Prem Kise Hoy,Dujane,Asha Bhosle
Amar Kuasha Je Orna,Duti Pata,"Asha Bhosle, Chorus"
Ei Monta Jodi,Duti Pata,Asha Bhosle
Jhar Jhar Jhare,Duti Pata,"Asha Bhosle, Amit Kumar"
Emon Madhur Sandhyay,Ekanta Apan,Asha Bhosle
Hay Re Kala Eki Jwala,Ekanta Apan,Asha Bhosle
Khelbo Holi Rang Debo Na,Ekanta Apan,"Asha Bhosle, Kavita Krishnamurthy"
Na Na Na Kachhe Esona,Ekanta Apan,Asha Bhosle
Tolo Chhinnabeena,Ekanta Apan,Asha Bhosle
Tomari Chalar Pathe,Ekanta Apan,Asha Bhosle
Aay Chole Aay,Epar Opar,Asha Bhosle
Ami Andhakarer Jatri,Epar Opar,Asha Bhosle
Aaj Dujane Mando Hole,Fariyad,Asha Bhosle
Nach Achhe Gaan Achhe,Fariyad,Asha Bhosle
Eki Bhalobasa,Ga Pa Ga Re Sa,Asha Bhosle
Ga Pa Ga Re Sa,Ga Pa Ga Re Sa,Asha Bhosle
Ke Go Tumi Dakile Amare,Gali Thekey Rajpath,Asha Bhosle
Jabar Belay,Jay Parajay,Asha Bhosle
Jadi Kane Kane Kichhu Bale,Jiban Rahasya,Asha Bhosle
O Pakhi Ure Aay,Jiban Rahasya,Asha Bhosle
Raat Ekhano Anek Baki,Jibon Saikate,Asha Bhosle
Sagar Dake Aay Aay,Jibon Saikate,Asha Bhosle
Moner Manush Phirlo Ghare [1],Kal Tumi Aleya,Asha Bhosle
Eki Sathe Haat Dhore,Kalankini,"Kishore Kumar, Asha Bhosle"
Kono Kaaj Noy Aaj,Kalankini,"Kishore Kumar, Asha Bhosle"
O Saathire,Kalkut,"Asha Bhosle, Anwar"
Kise Tumi Khushi Habe,Khelar Putul,"Asha Bhosle, Sandhya Roy"
Bou Katha Kao,Bou Katha Kao,Asha Bhosle
Aaj Dole Mon Kar Isharate,Kichhu Bali Gaane Gaane,Asha Bhosle
Bou Katha Kao,Kichhu Bali Gaane Gaane,Asha Bhosle
Durge Durge Durgatinashini,Kichhu Bali Gaane Gaane,"Asha Bhosle, Swapan"
Gun Gun Bhramara,Kichhu Bali Gaane Gaane,Asha Bhosle
Jwale Jay Jwale Jay,,Asha Bhosle
Jwale Jay Jwale Jay,Kichhu Bali Gaane Gaane,Asha Bhosle
Thakurjhi Kemon Tomar Bhai,Kichhu Bali Gaane Gaane,Asha Bhosle
Bhebechhi Bhule Jabo,Kotha Kotha Khunjechhi,Asha Bhosle
Ke Je Amar Ghum Bhangiye Gelo,Kotha Kotha Khunjechhi,Asha Bhosle
Kotha Kotha Khunjechhi Tomay,Kotha Kotha Khunjechhi,Asha Bhosle
Na Deko Na Deko Na Go More,Kotha Kotha Khunjechhi,Asha Bhosle
Rimi Jhimi Ei Srabane,Kotha Kotha Khunjechhi,Asha Bhosle
Tumi Kato Je Dure,Kotha Kotha Khunjechhi,"Asha Bhosle, R.D.Burman"
Tumi Jabe Go Chale Jabe Go,Legends Asha Bhosle,Asha Bhosle
Kunjobihari,Mayer Ashirbad,Asha Bhosle
Ami Apon Koriya Chahini,Megh Kalo,Asha Bhosle
Raat Je Madhumati,Megh Kalo,Asha Bhosle
Achhe Gour Nitai Nadiate,Mohonar Dike,Asha Bhosle
Bandha Moner Duar Diyechhi,Mohonar Dike,Asha Bhosle
Ke Jeno Abir,Mohonar Dike,Asha Bhosle
Ramdhanu Rang Niye,Mohonar Dike,Asha Bhosle
Bhalobese Diganta Diyechho,Mon Niye,Hemanta Mukherjee
Deep Jwele Oi Tara,Mon Niye,Asha Bhosle
Jete Paro,Mone Pore Ruby Roy,Asha Bhosle
Jete Paro,Mone Pore Ruby Roy R D Burman And Asha Bhosle,Asha Bhosle
Ki Jadu Tomar Chokhe,,Asha Bhosle
Ki Jadu Tomar Chokhe,Money Padey Ruby Roy,Asha Bhosle
Machher Kanta Khonpar Kanta,Money Padey Ruby Roy,Asha Bhosle
Besh Korechhi Prem,Mouchak,Asha Bhosle
Pagla Garad Kothay Achhe,Mouchak,"Manna Dey, Asha Bhosle, Chorus"
Age Ami Jodi Jantam,Money Padey Ruby Roy,"Asha Bhosle, Bappi Lahiri"
Age Ami Jodi Jantam,Pancham Tumi Kothay Asha,"Asha Bhosle, Bappi Lahiri"
Bristi Thamar Sheshe,Parabat Priya,Asha Bhosle
Jay Re Jay Re Bela Je Boye,Phire Eso Anuradha,"R.D.Burman, Asha Bhosle"
Jay Re Jay Re Bela Je Boye,Phire Eso Anuradha Rahul Dev Burman Modern,"R.D.Burman, Asha Bhosle"
Keno Sarbanasher Nesha,Picnic,Asha Bhosle
Mon Metechhe Mon Mayurir,Picnic,Asha Bhosle
Jafrani Rang Akashe,Prahari,Asha Bhosle
Deke Deke Chole Gechhi,Pratham Kadam Phul,Asha Bhosle
Kon Se Alor Swapna Niye,Pratham Kadam Phul,Asha Bhosle
Ami Phuldanite Sajiye Rakha,Pratidan,Asha Bhosle
Jano Naki Tumi,Pratidan,"Asha Bhosle, Bappi Lahiri"
Tomra Paisa Diye,Pratidan,Asha Bhosle
Jakhan Tomar Gaaner Sargam,Proxy,Asha Bhosle
Chokhe Naame Brishti,Puja Hits Volume 84,Asha Bhosle
Akashe Surja Achhe Jatodin,Puja Hits Volume 84,Asha Bhosle
Ekta Deshlai Kathi Jwalao,Puja Hits Volume 84,Asha Bhosle
Keno Janina Je Benu Baje,Rajkanya,"Shyamal Mitra, Asha Bhosle"
Nei Sei Purnima Raat,Rajkanya,Asha Bhosle
Aaj Gun Gun Gun Kunje Amar,Rajkumari,Asha Bhosle
Bandha Dwarer Andhakare,Rajkumari,"Kishore Kumar, Asha Bhosle"
Ki Je Bhabi Elomelo,Rajkumari,Asha Bhosle
Ei Haoway Ki Surabhi Jhare,Rater Andhakare,Asha Bhosle
Katha Diye Ele Na,Rd Xclusive Collection,Asha Bhosle
Jabo Ki Jabo Na,Rd Xclusive Collection,Asha Bhosle
Jete Dao Amay Dekona,Rd Xclusive Collection,Asha Bhosle
Ajar Baijan Ajar Baijan,Reshmi Churi Asha Bhosle,"R.D.Burman, Asha Bhosle"
Chaina Amar Reshmi Chudi,Reshmi Churi Asha Bhosle,Asha Bhosle
Kine De Reshmi Churi,Serashilpi Seragaan,Asha Bhosle
Phule Gandha Nei,Serashilpi Seragaan,Asha Bhosle
Chalo Chole Jai Haate Haat Rekhe,Sonar Juti Asha Bhosle And,"R.D.Burman, Asha Bhosle"
Dak Pathale Kaal Sakale,Sonar Juti Asha Bhosle And,"R.D.Burman, Asha Bhosle"
Ki Kore Aasi Tomar Pashe,Sonar Juti Asha Bhosle And,Asha Bhosle
Paliye Jete Chai,Sonar Juti Asha Bhosle And,"Asha Bhosle, Chorus"
Moner Naam Madhumati,Songs For The,Asha Bhosle
