Song,Film/Album,Artists
Meri Sanson Mein Tum,Aaina,"Asha Bhosle, Kumar Sanu"
Na Bolo Na Kichhu Bolo Na,1942 A Love Story,Lata Mangeshkar
Aankhon Aankhon Mein Baat Hone Do,Aankhon Aankhon Mein,"Kishore Kumar, Asha Bhosle"
"O Prajapati, Prajapati",A Legend Of Glory,Lata Mangeshkar
Zameen Se Humen Aasman Par,Adalat,"Asha Bhosle, Mohammed Rafi"
"Priyotamo , Ki Likhi Tomay",A Legend Of Glory,Lata Mangeshkar
Khatouba,Alibaba Aur 40 Chor,Asha Bhosle
Banshi Keno Hai,Aamaar Priyo Gaan,Lata Mangeshkar
Raat Ke Hamsafar,An Evening In Paris,"Asha Bhosle, Mohammed Rafi"
Ami Cholte Cholte Theme Gechhi,Abaak Rater Tara,Lata Mangeshkar
Zuby Zuby Jalembu,An Evening In Paris,Asha Bhosle
Bhulo Na Pratham Se Din,Abaak Rater Tara,Lata Mangeshkar
Aaj Ki Raat Koi Aane Ko Hai,Anamika,Asha Bhosle
Dharanir Pathe Pathe,Abaak Rater Tara,Lata Mangeshkar
Logo Na Maro Ise,Anamika,Asha Bhosle
Ei Jiban,Abaak Rater Tara,Lata Mangeshkar
Sara Pyar Tumhara,Anand Ashram,"Asha Bhosle, Kishore Kumar"
O Amar Pran Sajani,Abaak Rater Tara,Lata Mangeshkar
Dil Use Do Jo Jaan De De,Andaz,"Mohammed Rafi, Asha Bhosle"
Saat Sakaale,Abaak Rater Tara,Lata Mangeshkar
Roz Roz Dali Dali,Angoor,Asha Bhosle
Sabar Aarale,Abaak Rater Tara,Lata Mangeshkar
Hungama Ho Gaya,Anhonee,Asha Bhosle
Bojho Na Keno Je,Adwitiya,Lata Mangeshkar
Duniya Mein Logon Ko,Apna Desh,"Asha Bhosle, R.D. Burman"
Chanchal Mon Anmona Hoy,Adwitiya,Hemanta Mukherjee
Tum Mile Pyar Se,Apradh,"Kishore Kumar, Asha Bhosle"
Chanchal Moyuri E Raat,Adwitiya,Lata Mangeshkar
