Song,Film/Album,Artists
Amader Surya Merun,Egaro,"Arijit Singh, Avik"
Bojhena Shey Bojhena (title),Bojhena Shey Bojhena,Arijit Singh
Sajna (Reprise Version),Bojhena Shey Bojhena,Arijit Singh
Na Re Na,Bojhena Shey Bojhena,Arijit Singh
Mon Baware,Kanamachi,"Arijit Singh, Timir Biswas, Ujjaini Mukherjee, Anweshaa"
Mon Majhi Re,Boss,Arijit Singh
Eeche Joto,Boss,"Arijit Singh, Monali Thakur"
Roshni Elo,Proloy,"Arijit Singh, Anweshaa"
Ghoom Paranir Gaan,Proloy,Arijit Singh
College Song,Bangla Naache Bhangra,Arijit Singh
Ki Kore Toke Bolbo,Rangbaaz,Arijit Singh
Beche Theke Labh Ki Bol,Rangbaaz,Arijit Singh
Balir Shohor,Mishawr Rawhoshyo,"Arijit Singh, Shreya Ghoshal"
Dilli,Mishawr Rawhoshyo,"Arijit Singh, Shadab Faridi"
O Piya Re Piya,Majnu,"Arijit Singh, June Banerjee"
Chander Pahar (title),Chander Pahar,Arijit Singh
O Re Mon Udashi,Bangali Babu English Mem,Arijit Singh
Eka Ekela Mon (male version),Chirodini Tumi Je Amar 2,Arijit Singh
Mon Bojhena,Chirodini Tumi Je Amar 2,Arijit Singh
Apur Paayer Chaap,Apur Panchali,Arijit Singh
Ore Manwa Re,Game,"Arijit Singh, Akriti Kakkar"
Ei Bhalo Ei Kharap,Golpo Holeo Shotti,"Arijit Singh, Monali Thakur"
Piya Bina,Golpo Holeo Shotti,Arijit Singh
Khela Sesh,Highway,Arijit Singh
Parbo Na,Borbaad,"Arijit Singh, Prashmita Paul"
Ashona,Borbaad,"Arijit Singh, Prashmita Paul"
Boba Rajkumar,Hercules,Arijit Singh
Sharatadin,Yoddha,"Arijit Singh, Anweshaa"
Aami Tomar Kache,Yoddha,Arijit Singh
Aami Achi,Khaad,Arijit Singh
Asadoma Sadgamayo,Khaad,Arijit Singh
Kichu Kichu Kotha,Lorai: Play to Live,"Arijit Singh, Kaushiki Chakrabarty"
Mayar Jeebon Jonaki,Lorai: Play to Live,Arijit Singh
Ke Tui Bol,Herogiri,Arijit Singh
Keno,Amanush 2,Arijit Singh
Chine Phelechhi Rastaghat,Asche Bochor Abar Hobe,"Arijit Singh, Anweshaa"
Wrong Number,Roga Howar Sohoj Upaye,Arijit Singh
Thikana Lekha Nei,Roga Howar Sohoj Upaye,Arijit Singh
Tor Ek Kothaye,Besh Korechi Prem Korechi,Arijit Singh
Parbona Ami Chartey Tokey (title),Parbona Ami Chartey Tokey,Arijit Singh
Aami Raaji,Katmundu,Arijit Singh
Egiye De,Shudhu Tomari Jonyo,"Arijit Singh, Madhubanti Bagchi"
Emotional Saiyaan,Shudhu Tomari Jonyo,Arijit Singh
Shudhu Tomari Jonyo (title track),Shudhu Tomari Jonyo,"Arijit Singh, Shreya Ghoshal"
Moneri Majhe Jeno,Abby Sen,Arijit Singh
Amar Parano Jaha Chaye,Stories by Rabindranath Tagore,Arijit Singh
Din Khon Mapa Ache,Hawa Bodol,Arijit Singh
Mone Porle,Hawa Bodol,Arijit Singh
Bhoy Dekhas Na (male version),Hawa Bodol,Arijit Singh
