Song,Film/Album,Artists
E Shahar Pranta,Aami Aar Mor Chhaayaa,Bhupen Hazarika
Ami Ek Jajabar,All Time Greats,Bhupen Hazarika
Bistirna Dupare,All Time Greats,Bhupen Hazarika
Ganga Amar Ma,All Time Greats,Bhupen Hazarika
Gum Gum Gum Gum,All Time Greats,Bhupen Hazarika
Hey Dola Hey Dola,All Time Greats,Bhupen Hazarika
O Bideshi Bandhu,All Time Greats,Bhupen Hazarika
Samayer Agragatir,All Time Greats,Bhupen Hazarika
Aaj Jiban Khunje Pabi,Ami Ak Jajabar,Bhupen Hazarika
Manush Manusher Jannya,Ami Ak Jajabar,Bhupen Hazarika
Sagar Sangame,Ami Ak Jajabar,Bhupen Hazarika
Agun Jharchhe Kabitar Sangsare,Amra Korbo Joy,Bhupen Hazarika
E Kon Bharatbarshe Amra Achhi,Amra Korbo Joy,Bhupen Hazarika
Ei Prithibi Ek Krirangan,Amra Korbo Joy,Bhupen Hazarika
Shesh Kabider Jatra,Amra Korbo Joy,Bhupen Hazarika
O Malik Sara Jiban Kandale,Bani Jetha Chiradin Rabe,Bhupen Hazarika
Chirauchhal Dheu Tule,Bengali Modern Songs,Bhupen Hazarika
Jodi Jiban Kande Nai Nai Boli,Bengali Modern Songs,Bhupen Hazarika
Mithe Mithe Phaguner,Bengali Modern Songs,Bhupen Hazarika
Rum Jhum Nupur Bajay,Bengali Modern Songs,Bhupen Hazarika
Amra Korbo Joy,Bengali Modern Songs,"Bhupen Hazarika, Chorus"
Bahudiner Agete Godhulir Belate,Bengali Modern Songs,Bhupen Hazarika
Krishnakaya Afrika Mor,Bengali Modern Songs,Bhupen Hazarika
London Jabo Haowai Garite,Bengali Modern Songs,Bhupen Hazarika
Pathe Namo Aloker Sena,Bengali Modern Songs,Bhupen Hazarika
Thik Godhulite,Bengali Modern Songs,Bhupen Hazarika
Thik Godhulite,Bengali Puja Hits,Bhupen Hazarika
Prem Ke Kabhu Swarga Bala Jay Na,Bengali Puja Hits,Bhupen Hazarika
Prem Ke Kabhu Swarga Bala Jay Na,,"Bhupen Hazarika, Chorus"
Bharateri Matir Ghare Bajuk,Bengali Songs,Bhupen Hazarika
Dipali Shefali Anjalire,Bengali Songs,Bhupen Hazarika
Hridayer Byatha Biraher Katha,Bengali Songs,Bhupen Hazarika
Shaishabete Khealite Tomar,Bengali Songs,Bhupen Hazarika
Amay Ekjan Sada Manus Dao,Bengali Songs,Bhupen Hazarika
Bahudiner Basana O Aalta,Bengali Songs,Bhupen Hazarika
Behula Bangla,Bengali Songs,Bhupen Hazarika
Ektu Gelei Athoi Sagar,Bengali Songs,Bhupen Hazarika
O Bidhi Amay Kalo Korle Jodi,Bengali Songs,Bhupen Hazarika
Sabar Hridaye Rabindranath,Bengali Songs,Bhupen Hazarika
Shimul Ranga Palash Ranga,Bengali Songs,Bhupen Hazarika
Shiter Shishir Bheja Raat,Bengali Songs,Bhupen Hazarika
Agun Jwele Dui Chokhete,Bhupen Hazarika Aami,Bhupen Hazarika
Ami Aschhi,Bhupen Hazarika Aami,Bhupen Hazarika
Ke Bale Amare,Bhupen Hazarika Aami,Bhupen Hazarika
O Kashbon,Bhupen Hazarika Aami,"Bhupen Hazarika, Chorus, Aar Mor Bengali"
Smritir Baluchare,Bhupen Hazarika Aami,Bhupen Hazarika
Sharatbabu Khola Chithi Dilam,Bhupen Hazarika Ami,Bhupen Hazarika
Bhojbaji,Bhupen Hazarika,Bhupen Hazarika
Dhak Dhak Dhak Dhak,Bhupen Hazarika,Bhupen Hazarika
Ki Je Sukher Lagi,Bhupen Hazarika,Bhupen Hazarika
Madarer Phul Kono Pujate Na Lage,Bhupen Hazarika,Bhupen Hazarika
