Song,Film/Album,Artists
Ogo Bhagyadebi,Chayanika Rabindra Sangeet,Dwijen Mukherjee
Gram-Chhara Oi Ranga Matir Path,Aji Kon Sure Bandhibo,Suchitra Mitra
Bandh Bhenge Dao,Amader Jatra Holo Suru,"Tarun Banerjee, Shyamal"
Mora Satyer Pare Mon,Amader Jatra Holo Suru,Kanika Banerjee
Amader Santiniketan,,Dwijen Mukherjee
Je Ami Oi,Ami Kebal Geye Berai,Rajasree Bhattacharya
Aay Re Mora Fashal Kati,Ami Ki Gaan Gabo Je,Sagar Sen
Hey Akash Bihari Nirad,Anusthanik Rabindra,Ashoketaru Banerjee
Nai Nai Bhoy Hobe Hobe,Chaynika,Arati Mukherjee
"Ogo Nadi, Apan Bege Pagal-Para",Baje Ramyabeena,Lopamudra Mitra
Se Kon Pagol,,Ashoketaru Banerjee
Chhilo Je Paraner Andhakare,Bengali Tagore Songs,Purabi Mukherjee
Madhur Madhur Dhwani Baje,Bhalobasa E Ki Laabanye,Swapna Ghoshal
Jaago Alasa Shayana Bilagna,Bichitrita,Agnibha Banerjee
Bishwavidyatirthaprangan Karo,Bishwa Bandanay Manab,Sunanda Ghosh
Ami Keboli Swapan Korechhi Bapan,Chayanika,Swapna Ghoshal
Tomar Holo Shuru Amar Holo Sara,Chayanika Rabindra Sangeet,Hemanta Mukherjee
Dui Haate Kaaler Mondira Je,Chayanika Rabindra Sangeet,Purabi Mukherjee
Hare Re Re Re Re,Chayanika Rabindra Sangeet,Dwijen Mukherjee
Hare Re Re Re Re,,Dwijen Mukherjee
Kharabayu Boy Bege,Chayanika Rabindra Sangeet,Chorus
Kharabayu Boy Bege,,Tarit Chowdhury
Pagol Je Tui Kantha Bhore,Chayanika Rabindra Sangeet,"Tarit Chowdhury, Purabi Mukherjee"
Parabasi Chole Eso,Chayanika Rabindra Sangeet,Subir Sen
Parabasi Chole Eso,,Subir Sen
Sara Barash Dekhine Ma,Chayanika Rabindra Sangeet,Gora Sarbadhikari
Sara Barash Dekhine Ma,,Gora Sarbadhikari
Durdeshi Sei Rakhal Chhele,Chaynika,Sreela Sen
Khelaghar Bnadhte Legechhi,Chaynika,Sanghamitra Gupta
Khelaghar Bnadhte Legechhi,Chayanika Rabindra Sangeet,Shyamal Mitra
Mamo Chitte Niti Nritye Ke Je Nache,Chaynika,Arati Mukherjee
Mamo Chitte Niti Nritye Ke Je Nache,Basaye Phera Daner Shabda,Chinmoy Chatterjee
O Jonaaki Ki Sukhe Oi Daanaa Duti,Chini Go Chini Tomaare,Dwijen Mukherjee
"O Ki Elo, O Ki Elo Na",Chinmoy Chatterjee Tagore,Chinmoy Chatterjee
Amake Je Bandhbe Dhore,Chita Chatustaya,Ritu Guha
Agnisikha Eso Eso,Dhwanilo Aahawan,Rakhi Sarkar
Morubijayer Ketan Urao,Ekla Pathik Pijushkanti,Pijushkanti Sarkar
Prangane Mor Shirishshakhay,Ektuku Chhonwa Lage,Hemanta Mukherjee
"Ore Prajapati, Maya Diye Ke Je",Esechhinu Dware Tabo,Sushil Mullick
Keno Je Mon,Gaaner Opare Sriradha,Sreeradha Banerjee
Akash Hote Akash Pathe,Gaaner Surer Dhara,Geeta Sen
Oi Mahamanab Aase,Ganer Surer Dhara,Chorus
Alok Chora Lukiye Elo Oi,Gitabitan Aditi Gupta And,Pubali Debnath
Ebar Jomer Duar Khola Peye,Gitabitan Aditi Gupta And,Pubali Debnath
Hay Hay Hay Din Chole Jay,Gitabitan Aditi Gupta And,Aditi Gupta
Chokh Je Oder Chhute Chale Go,Haar Maana Haar Paarabo,Dwijen Mukherjee
