Song,Film/Album,Artists
Tumi Allah,Aaj Dujane Raghab,Raghab Chatterjee
Ei Minati Kori,2007 Dohar,Dohar
Pujar Thalay,Abhiman,Anuradha Paudwal
Gaan Gai,2007 Dohar,Dohar
Tumi Arup Swarup,All Time Greats,Krishna Chatterjee
Kothay Pabo Tare,2007 Dohar,Dohar
Amar Sadh Na Mitilo,All Time Gteats,Pannalal Bhattacharya
O Mor Bondhudhan,2007 Dohar,Dohar
Amay De Ma Pagal Kore,All Time Gteats,Pannalal Bhattacharya
Piriti Karile Sakhi,Aay Ke Jabi Opare,Purnadas Baul
Ami Jodi Bhul Kori Ma,All Time Gteats,Pannalal Bhattacharya
Boitha Jore Baore Bondhu,Abbasuddin Ahmad Palligiti,Abbasuddin Ahmed
Bhebe Dekh Mon Keu Karo Noy,All Time Gteats,Pannalal Bhattacharya
Aaji Nadi Na Jaiore Boido,Abbasuddin Ahmed O Ajal,Abbasuddin Ahmed
Chintamoyee Tara Tumi,All Time Gteats,Pannalal Bhattacharya
O Mon Guru Bhaja Re,Abbasuddin Sings Folk,Abbasuddin Ahmed
Jenechhi Jenechhi Tara,All Time Gteats,Pannalal Bhattacharya
Guru Bine Bondhu Naai Re Aar,All Time Greats Bengali Folk,Amar Paul
Ma Go Muchhiye De Mor,All Time Gteats,Pannalal Bhattacharya
Hari Naam Diye Jagat Matale,All Time Greats Bengali Folk,Amar Paul
Ma Go Samay To Thakbe Na,All Time Gteats,Pannalal Bhattacharya
Ichhaamati Ichhamati Nadi,All Time Greats Bengali Folk,Amar Paul
Ma Sadanandamoyi Kali,All Time Gteats,Pannalal Bhattacharya
Kale Chale Ishtimaar Bhai,All Time Greats Bengali Folk,Amar Paul
Mago Anandamoyee,All Time Gteats,Pannalal Bhattacharya
Bhalo Koira Bajan Go Dotara,All Time Greats Nirmalendu,Nirmalendu Chowdhury
Shato Naame Kato Jane,All Time Gteats,Pannalal Bhattacharya
Nach Kare Sundari Go,All Time Greats Nirmalendu,Nirmalendu Chowdhury
Shyama Maa Ki Aamar Kalo,All Time Gteats,Pannalal Bhattacharya
O Kanai Par Kore De,All Time Greats Nirmalendu,"Nirmalendu Chowdhury, Chorus"
Tor Mato Ma Eto Apan,Alltime Greats,Pannalal Bhattacharya
Pakhi Kakhan Ure Jay,All Time Greats Nirmalendu,Nirmalendu Chowdhury
Ami Mantro Tantro Kichhui Janine Ma,,Angshuman Roy
Sadhya Kire Amar Se Rup Chinite,All Time Greats Nirmalendu,Nirmalendu Chowdhury
Ami Sab Chhere Ma,Alltime Greats,Pannalal Bhattacharya
Ami Kangal Dayal Guru,All Time Greats Purnadas,"Purnadas Baul, Manju Das"
Chai Naa Mago Raja Hote,Alltime Greats,Pannalal Bhattacharya
Dosh Karo Noy Go Ma,Alltime Greats,Pannalal Bhattacharya
Kotha Bhabadara,Alltime Greats,Pannalal Bhattacharya
Mon Tomar Ei Bhram Gelo Na,Alltime Greats,Pannalal Bhattacharya
Moneri Basana Shyama,Alltime Greats,Pannalal Bhattacharya
O Ma Kali Chirakaal,Alltime Greats,Pannalal Bhattacharya
Oi Shyama Bama Ke,Alltime Greats,Pannalal Bhattacharya
