Song,Film/Album,Artists
Ei Minati Kori,2007 Dohar,Dohar
Baje Baje Ramyabina Baje,Aaj Jyotsnaratey Sobai,Sagar Sen
Gaan Gai,2007 Dohar,Dohar
Uriye Dhwaja Abhrabhedi Rathe,Aaj Jyotsnaratey Sobai,Sagar Sen
Kothay Pabo Tare,2007 Dohar,Dohar
Yademi Prasphurannibo - Ved Gaan,Aaj Jyotsnaratey Sobai,Sagar Sen
O Mor Bondhudhan,2007 Dohar,Dohar
Aaji Nahi Nahi Nidra Ankhipaate,Aakasher Nir,Jayati Chakraborty
Piriti Karile Sakhi,Aay Ke Jabi Opare,Purnadas Baul
Srabaner Dharar Mato,Aalo,"Arundhati Holme, Chowdhury, Various Artists"
Boitha Jore Baore Bondhu,Abbasuddin Ahmad Palligiti,Abbasuddin Ahmed
Bipade More Raksha Karo,Aalo Aamar Aalo,"Sumitra Sen, Others"
Aaji Nadi Na Jaiore Boido,,Abbasuddin Ahmed
O Mon Guru Bhaja Re,Abbasuddin Sings Folk,Amar Paul
Guru Bine Bondhu Naai Re Aar,All Time Greats Bengali Folk,
Hari Naam Diye Jagat Matale,,Amar Paul
Ichhaamati Ichhamati Nadi,All Time Greats Bengali Folk,Amar Paul
Kale Chale Ishtimaar Bhai,All Time Greats Bengali Folk,Amar Paul
Nach Kare Sundari Go,All Time Greats Nirmalendu,Nirmalendu Chowdhury
O Kanai Par Kore De,All Time Greats Nirmalendu,"Nirmalendu Chowdhury, Chorus"
Pakhi Kakhan Ure Jay,All Time Greats Nirmalendu,Nirmalendu Chowdhury
Sadhya Kire Amar Se Rup Chinite,All Time Greats Nirmalendu,Nirmalendu Chowdhury
Ami Kangal Dayal Guru,Back Again Runa Laila,Runa Laila
Bhai Re Manush Naire Deshe,All Time Greats Purnadas,Purnadas Baul
Chiradin Kancha Bansher Khancha,All Time Greats Purnadas,
Chiradin Kancha Bansher Khancha,Band Age A Collection Of,Purnadas Baul
Dekhechhi Rup-Sagare Moner Manush,All Time Greats Purnadas,
Dil Dariyar Majhete,All Time Greats Purnadas,
Ei Manushe Sei Manus Achhe,All Time Greats Purnadas,
Jar Tare Pran Kendechhe,All Time Greats Purnadas,
Jaya Jaya Jayadeva,All Time Greats Purnadas,
Ma Tor Ki Aaj,All Time Greats Purnadas,
Ma Tor Ki Aaj,Abbasuddin Ahmed O Ajal,
Maro Na Maro Na Mago Dhori Tomar,All Time Greats Purnadas,Purnadas Baul
O Pankhi Uirya Jao Re,All Time Hits Of Nirmalendu,Nirmalendu Chowdhury
Torsa Nadir Dhare Dhare,Allah Megh De,Abbasuddin Ahmed
Runur Jhunur Paay,Amar Gaaner Swaralipi,Nirmalendu Chowdhury
"East Bengal , Mohan Bagan",Amra Ek Bauler Dal,Sreekrishna Khepa Baul
Ghar Jamai,Antare Bahire Tapan Ray,Tapan Roy
Barir Manus Koy Amay,Back Again Runa Laila,Runa Laila
Kaler Gari Taratari,Back Again Runa Laila,Runa Laila
Khanchar Bhitar Achin Pakhi,Back Again Runa Laila,Runa Laila
Majhi Tumi Majh Gange,Back Again Runa Laila,Swapan Basu
Uru Uru,Band Age A Collection Of,Bhoomi
Uru Uru,,Bhoomi
Chokh Gelo Pakhi,Bandhu Galo Kotha Tapasi,Tapasi Roychowdhury
Basanta Aasilo Sakhi,Bandhuya Hits Of Swapan,Swapan Basu
Din Jay Go,Bandhuya Hits Of Swapan,Swapan Basu
Garo Paharer Gaan,Bandhuya Hits Of Swapan,Swapan Basu
Jhim Jhim Jhyan Jhyan,Bandhuya Hits Of Swapan,Swapan Basu
Sab Loke Koy Lalan Ki Jaat,Bandhuya Hits Of Swapan,Swapan Basu
Sona Bandhu,Bandhuya Hits Of Swapan,Swapan Basu
Sona Bandhu,All Time Greats Bengali Folk,Swapan Basu
Thakile Doba Khanaa,Bandhuya Hits Of Swapan,Basu
Kath Kurte Bela Jay,Baroloker Biti Lo,Swapna Chakraborty
Aaj Kaleri Modhye Amar,Baul Raja,Sanajit Mondal
Aga Bhage Hori Amar,Baul Raja,Sanajit Mondal
Base Aailam Trame Aailam,Baul Raja,Sanajit Mondal
Desher Mati Bejay,Baul Raja,Sanajit Mondal
Dotara Bajai Ami,Baul Raja,Sanajit Mondal
Kashi Jete Aar Habe Na,Baul Raja,Sanajit Mondal
Kolkatate Besh Achhi,Baul Raja,Sanajit Mondal
Ore Ki Chai Ki Chai Na,Baul Raja,Sanajit Mondal
Trishna Trishna Alpo Disna,Baul Raja,Sanajit Mondal
Ajgubi Ek Khota Sune,Baul Songs From Bengal,Prahlad Brahmachari
O Bandhure,Baul Songs From Bengal,Prahlad Brahmachari
Aat Kuthuri Noy Darja,Baul Songs From Bengal,Prahlad Brahmachari
