Song,Film/Album,Artists
Tumi Jodi Balo Bhalobasa Dite Janina,All Time Greats Geeta Dutt,Geeta Dutt
Seetar Dukkher Katha,All Time Greats Geeta Dutt,Geeta Dutt
Jabe Esechhile Tumi Priyo,All Time Greats,Talat Mahmood
"Je Mala Shukay, Je Khela Phuray",All Time Greats,Talat Mahmood
Nato Mukhe Keno,All Time Greats,Talat Mahmood
Sundarataro Tumi Amar Preme,All Time Greats,Talat Mahmood
Kato Gaan Haralam,All Time Greats Geeta Dutt,Geeta Dutt
Kon Se Birohi Apnare Dahi,All Time Greats Geeta Dutt,Geeta Dutt
Takhono Jageni Prabhater Shuktara,All Time Greats,Talat Mahmood
Ore Ghar - Chhara Musafir,Banchita,Talat Mahmood
Anek Sandhyatara,Bengali Modern Songs,Talat Mahmood
Bou Katha Kau,Bengali Modern Songs,Talat Mahmood
Ei Rim Jhim Jhim Barashay,Bengali Modern Songs,Talat Mahmood
Jetha Ramdhanu Othe Hese,Bengali Modern Songs,Talat Mahmood
Tomare Parini Je Bhulite,Bengali Modern Songs,Talat Mahmood
Tumi Sundar Jodi Nahi Hao,Bengali Modern Songs,Talat Mahmood
Brindabone Shyam Nai,Best Of Geeta Dutta,Geeta Dutt
Bhaber Kheya Ebar Baoa,Chaar Jugey Hoi Janam,Geeta Dutt
Ekhono Dustar Lajja,Chaar Jugey Hoi,Geeta Dutt
Ekti Kamal Phutechilo,Chaar Jugey Hoi,Geeta Dutt
Hriday Amar Kichhu Jadi Bale,Chaar Jugey Hoi,Geeta Dutt
Jaak Na Muchhe Jak,Chaar Jugey Hoi,Geeta Dutt
Kabe Kon Tara Jwala Raater Chhayay,Chaar Jugey Hoi,Geeta Dutt
Katha Achhe Tumi Aaj Asbe,Chaar Jugey Hoi,Geeta Dutt
Ogo Amar Moner Chira-Udas,Chaar Jugey Hoi,Geeta Dutt
Rajani Pohalo Sakhi,Chaar Jugey Hoi,Geeta Dutt
Shudhu Ekbar Bole Jao,Chaar Jugey Hoi,Geeta Dutt
Sonay Dheke Ango,Chaar Jugey Hoi,Geeta Dutt
Tomar Ashay Path Cheye,Chaar Jugey Hoi,Geeta Dutt
Kancher Churir Chhatay,Dak Harkara,Geeta Dutt
Alote Chhayate,Down Memory Lane,Talat Mahmood
Chander Eto Alo,Down Memory Lane,Talat Mahmood
Hula Huper Khela,Dui Bechara,Geeta Dutt
Karona Phere,Dui Bechara,"Manna Dey, Geeta Dutt"
Tere Liye Aaya,Gali Thekey Rajpath,Geeta Dutt
Jadubhara Oi Banshi,Geeta Ei To Holo Arichay,Geeta Dutt
Chouko Chouko,Get Famous Winning Tracks,Subhankar Bhaskar
Mastime Jhumo Nachoo,Get Famous Winning Tracks,Talat Mahmood
Ami Rekhechhi Je Duyar Khule,Ghumer Chhaya Chaander,Talat Mahmood
Chokher Jaler Daag,Ghumer Chhaya Chaander,Talat Mahmood
Dekhi Natun Natun Desh,Ghumer Chhaya Chaander,Talat Mahmood
E Jodi Akash Hoy,Ghumer Chhaya Chaander,Talat Mahmood
Ei To Besh Ei Nadir Teere,Ghumer Chhaya Chaander,Talat Mahmood
Jodi Jibane Kebali,Ghumer Chhaya Chaander,Talat Mahmood
Se Kon Saoni Megh,Ghumer Chhaya Chaander,Talat Mahmood
Sedin Je Gaan Geyechhi Dujane,Ghumer Chhaya Chaander,Talat Mahmood
Tomar Akash Bhore Alor Madhuri,Ghumer Chhaya Chaander,Talat Mahmood
Tumi Eso Phire Eso,Ghumer Chhaya Chaander,Talat Mahmood
Tumi Je Amar,Harano Sur,Geeta Dutt
Anjan Diyechhi Chokhe Sakhi,Hits Of Geeta Dutt,Geeta Dutt
Bhulite Je Pari Na,Hits Of Geeta Dutt,Geeta Dutt
Ei To Holo Parichay,Hits Of Geeta Dutt,Geeta Dutt
O Badhu Shono,Hits Of Geeta Dutt,Geeta Dutt
Ei Sundar Swarnali Sandhaye,Hospital,Geeta Dutt
Ghum Majhi Oi Haal Dhorechhe,Hospital,Geeta Dutt
Durer Tumi Aaj,Indrani,Geeta Dutt
Jhanak Jhanak Kanak Knakan,Indrani,Geeta Dutt
Neer Chhoto Kshati Nei,Indrani,"Hemanta Mukherjee, Geeta Dutt"
Ogo Sundar Jano Naki,Indrani,Geeta Dutt
Tumi Chiradin Jodi Nahi Rabe,Jodi Bhule Jao More,Talat Mahmood
Tumi Chiradin Jodi Nahi Rabe,Jodi Bhule Jao More Tribute To Subal Dasgupta,Talat Mahmood
Hay Bhalobasa,,Talat Mahmood
Hay Bhalobasa,Jodi Bhule Jao More Tribute,Talat Mahmood
Aaha Rang Dhorechhe Phule Phule,Joutuk,Geeta Dutt
Shudhu Ektukhani Chaoa,Lukochuri,"Kishore Kumar, Geeta Dutt"
Tomar Eto Bhalobasa,Madhya Raater Tara,Geeta Dutt
Aakul-Basante Aji,Mahakobi Girishchandra,Geeta Dutt
Aay Re Chhute Aay,Oi Sur Bhara Dur Nilimai,"Geeta Dutt, Chorus"
Akash Jure Swapno Maya,Oi Sur Bhara Dur Nilimai,"Geeta Dutt, Chorus"
Ektu Chaoya Aar Ektu Paoya,Oi Sur Bhara Dur Nilimai,Geeta Dutt
