Song,Film/Album,Artists
Chanchal Mon Anmona Hoy,Adwitiya,Hemanta Mukherjee
Ei Eto Alo Eto Akash,Aalo Aamar Aalo,Manna Dey
Jabar Bela Pichhu Theke,Adwitiya,Hemanta Mukherjee
Anek To Din Kete Gelo,Achena Atithi,Manna Dey
Ei Sandhyay Sei Pantha,Agni Sanskar,Hemanta Mukherjee
Shatabdi Baran,Agami Prithivi Shono,"Manna Dey, Haimanti Sukla"
Dhanadhanya Pushpabhara,Agnishwar,"Hemanta Mukherjee, Chorus"
Apabad Hok Na Aaro,All Time Great Manna Dey,Manna Dey
Natun Natun Rang Dhorechhe,Ajana Shapath,Hemanta Mukherjee
E Nadi Emon Nadi,All Time Greats Manna Dey,Manna Dey
O Akash Sona Sona,Ajana Shapath,"Hemanta Mukherjee, Chorus"
Mori Mori Ore Manomohan,Amar Bhoopali,"Lata Mangeshkar, Manna Dey"
Emon Ekta Jhar Uthuk,All Time Greats,Hemanta Mukherjee
Ami Jamini Tumi Shashi Hey,Antony Firingee,Manna Dey
Sabai Chole Geche,All Time Greats,Hemanta Mukherjee
Ami Je Jalsaghare,Antony Firingee,Manna Dey
Tumi Chole Gele,All Time Greats,Hemanta Mukherjee
Champa Chameli Golaperi Baage,Antony Firingee,"Manna Dey, Sandhya Mukherjee"
Aaro Bhalo Hoto,Ami Je Tomari Romantic Hits,Hemanta Mukherjee
Keu Ba Korchhen Barristeri,Antony Firingee,"Adhir Bagchi, Manna Dey"
Amon Dagor Dagor Chokhe Keno,Ami Je Tomari Romantic Hits,Hemanta Mukherjee
Ma Tui Amay Daya Korbi Ki Na Bol,Antony Firingee,Manna Dey
Sedin Tomay Dekhechhilam,Ami Je Tomari Romantic Hits,Hemanta Mukherjee
Satya Bate Ami Jetete,Antony Firingee,"Manna Dey, Adhir Bagchi"
Nouka Baoar Gaan,Ami Jharer In Memory Of,Hemanta Mukherjee
Shuno Hey Antony,Antony Firingee,"Alok Bagchi, Manna Dey"
Amar Natun Gaaner Janamatithi,Ashanta Ghurni,Hemanta Mukherjee
Shib Shambhu Tripurari,Baba Taraknath,Manna Dey
E Ki Chanchalata Jage,Atal Jaler Ahwan,Hemanta Mukherjee
Tini Ekti Belpatatei Tushta,Baba Taraknath,Manna Dey
Jakhan Daaklo Banshi,Baghini,Hemanta Mukherjee
O Kokila Tore Sudhai Re,Baghini,Manna Dey
Bhajo Gauranga Kaho Gauranga,Balika Badhu,Hemanta Mukherjee
Agun Legechhe Legechhe,Basanta Bilap,"Manna Dey, Rabi Ghosh"
Lag Lag Ranger Bhelki,Balika Badhu,"Hemanta Mukherjee, Chorus"
Aajo Hriday Amar,Baluchari,Hemanta Mukherjee
Hisab Milate Giye Dekhi,Baluchari,Hemanta Mukherjee
Ekhane Sabi Bhalo,Barnachora,"Hemanta Mukherjee, Chorus"
Ore Batas Phulshakhate,Barnachora,Hemanta Mukherjee
Ekhono Amar Mone,Bengali Modern Songs,Hemanta Mukherjee
Kato Katha Chhilo Mone,Bengali Modern Songs,Hemanta Mukherjee
Abire Abire Eso,Bhagya Chakra,Hemanta Mukherjee
Taray Taray Jwaluk Baati,Bibhas,Hemanta Mukherjee
Megher Swapan Dekhi,Bishkanya,Hemanta Mukherjee
Malati Bhramore Kare Oi Kanakani,Bondhu,Hemanta Mukherjee
Mou Bone Aaj Mou Jomechhe,Bondhu,Hemanta Mukherjee
Oi Rajar Dulali Seeta,Chandranath,Hemanta Mukherjee
Jodi Bhabo E To Khela Ghar,Chaoa Paoa,Hemanta Mukherjee
Dhitang Dhitang Bole,Chayanika,Hemanta Mukherjee
Palkir Gaan,Chayanika,"Hemanta Mukherjee, Chorus"
Ami Jharer Kachhe Rekhe Gelaam,Chayanika Mone,Hemanta Mukherjee
O Amar Sona Bandhure,Chena Achena,Hemanta Mukherjee
Kachhe Rabe Kachhe Rabe,Chowringhee,Hemanta Mukherjee
Amar Gaaner Swaralipi Lekha Rabe,Chyanika,Hemanta Mukherjee
Amio Pather Mato,Chyanika,Hemanta Mukherjee
Duranta Ghurnir Ei Legechhe Paak,Chyanika,Hemanta Mukherjee
Ghum Nei Keno Chokhe,Chyanika,Hemanta Mukherjee
Janina Kakhan Tumi,Chyanika,Hemanta Mukherjee
Kato Din Pare Ele,Chyanika,Hemanta Mukherjee
Kon Pakhi Dhara Dite Chaaye,Chyanika,Hemanta Mukherjee
Konodin Balakara,Chyanika,Hemanta Mukherjee
Path Harabo Bolei Ebar,Chyanika,Hemanta Mukherjee
Pherano Jabe Na Aar,Chyanika,Hemanta Mukherjee
Saat Suron Ki Bandh Payeliya,Dadar Kirti,Hemanta Mukherjee
Ei Raat Tomar Amar,Deep Jwele Jai,Hemanta Mukherjee
E Byatha Ki Je Byatha,Dhanyi Meye,Hemanta Mukherjee
Radhe Monta Rekhe Eli,Dhanyi Meye,Hemanta Mukherjee
Oi Dustu Chokher Mishti Hasi,Dui Bari,Hemanta Mukherjee
Amar Jibaner Eto Khushi,Dui Bhai,Hemanta Mukherjee
Ogo Ja Peyechhi,Dui Bhai,Hemanta Mukherjee
Taare Bole Diyo,Dui Bhai,Hemanta Mukherjee
Durga Durgati Nashini,Durga Durgati Nashini,"Hemanta Mukherjee, Arundhati Holme Chowdhury"
Madhur Madhur Smritigulo,Ek Tukro Agun,Hemanta Mukherjee
Prithibir Gaan Akash Ki Mone Rakhe,Gariber Meye,Hemanta Mukherjee
Chole Chole Majhkhane,Golden Hour,Hemanta Mukherjee
Chole Chole Majhkhane,Golden Hour Hemanta Mukarjee,Hemanta Mukherjee
Nijhum Nishithe,Gulmohor,Hemanta Mukherjee
Aaj Krishnachurar Aabir Niye,Hangsamithun,Hemanta Mukherjee
Aaj Dujanar Duti Path,Harano Sur,Hemanta Mukherjee
"Bondhu, Tomar Pather Sathike",Hemanta Mukherjee,Hemanta Mukherjee
Jibaner Anekta Path,Hemanta Mukherjee,Hemanta Mukherjee
Ei Chhande Chhande Bhara,High Heel,Hemanta Mukherjee
Jodi Konodin Jhara Bakuler Gandhe,Indradhanu,Hemanta Mukherjee
Sei Pratham Dekhar Raate,Indradhanu,Hemanta Mukherjee
Neer Chhoto Kshati Nei,Indrani,Hemanta Mukherjee
Surjyo Dobar Pala Ase Jadi,Indrani,Hemanta Mukherjee
Eto Phul Phutechhe,Jal Jangal,Hemanta Mukherjee
Keno Jete Gele Jaoya,Jaya,Hemanta Mukherjee
Ami Tomar Majhe Pelam Khunje,Jiban Kahini,Hemanta Mukherjee
Ei Je Pother Ei Dekha,Joutuk,Hemanta Mukherjee
Moneri Kothati Ogo,Joutuk,Hemanta Mukherjee
Ei Pathe Mor,Kaatha Koyo Naako,Hemanta Mukherjee
Jaanitey Jodi Go Tumi,Kaatha Koyo Naako,Hemanta Mukherjee
Katha Koyo Nako Shudhu Shono,Kaatha Koyo Naako,Hemanta Mukherjee
