Song,Film/Album,Artists
Ekushe Pa,Agami Prithibi Sono,Anjan Dutta
"O Prajapati, Prajapati",A Legend Of Glory,Lata Mangeshkar
Aar Ekta Naam,Anjan Dutt Calcutta 16,Anjan Dutta
Banshi Keno Hai,Aamaar Priyo Gaan,Lata Mangeshkar
Ekdin Brishtite,Anjan Dutt Calcutta 16,Anjan Dutta
Ami Cholte Cholte Theme Gechhi,Abaak Rater Tara,Lata Mangeshkar
Gaanola,Anjan Dutt Chalo Badlai,"Abhisekh Mukherjee, Anjan Dutta"
Bhulo Na Pratham Se Din,Abaak Rater Tara,Lata Mangeshkar
Niye Ja,Anjan Dutt Keu Gaan Gai,Anjan Dutta
Niye Ja,,Anjan Dutta
Dharanir Pathe Pathe,Abaak Rater Tara,Lata Mangeshkar
Bela Bose,Anjan Dutta,Anjan Dutta
Ei Jiban,Abaak Rater Tara,Lata Mangeshkar
Darjeeling,Anjan Dutta Purono Guiter,Anjan Dutta
O Amar Pran Sajani,Abaak Rater Tara,Lata Mangeshkar
Duto Manush,Anjan Dutta Purono Guiter,Anjan Dutta
Duto Manush,,Anjan Dutta
Saat Sakaale,Abaak Rater Tara,Lata Mangeshkar
Jachchhe Chole,Anjan Dutta Purono Guiter,Anjan Dutta
Sabar Aarale,Abaak Rater Tara,Lata Mangeshkar
Maa Go Amar Maa Go,Anjan Dutta Purono Guiter,Anjan Dutta
Amar A Bedan Majhe Tumi,All Time Greats,Nirmala Mishra
Chalse,Ashomoy Anjan Dutta,Anjan Dutta
"Eso, Kachhe Boso",All Time Greats,Tarun Banerjee
Chhotoder Chhotto Gaan,Ashomoy Anjan Dutta,Anjan Dutta
Jete Jete Path Bhulechhi,All Time Greats,Hemanta Mukherjee
Happy Birthday,Ashomoy Anjan Dutta,Anjan Dutta
Mon Lage Na,All Time Greats,Lata Mangeshkar
Neel Mane,Ashomoy Anjan Dutta,Anjan Dutta
Runner,All Time Greats,Lata Mangeshkar
Jatismar,Bata Bengali Modern,Kabir Suman
Oi Je Sabuj Bonbithika,All Time Greats,Madhuri Chatterjee
Abhibadan,Bengali Top 50 Modern,Kabir Suman
Abhibadan,,Kabir Suman
Jodi Jante Go Tumi,All Time Greats Manabendra Mukherjee,Manabendra Mukherjee
Chalo Lets Go,Chalo Let'S Go,Anjan Dutta
Chaitali Dine,All Time Greats,Sabita Chowdhury
Ei Path,Chalo Let'S Go,"Anjan Dutta, Ujjaini"
Ghum Aay Ghum Aay,All Time Greats,Sabita Chowdhury
Gaanwala,Chayanika Gems,Kabir Suman
Bibhutibushan,Gaanola Kabir Suman,Kabir Suman
Ekushe February,Gaanola Kabir Suman,Kabir Suman
Gaan Tumi Hao,Gaanola Kabir Suman,Kabir Suman
Nadir Galpo,Gaanola Kabir Suman,Kabir Suman
Pratham Sob Kichhu,Gaanola Kabir Suman,Kabir Suman
Pratham Sob Kichhu,,Kabir Suman
Half Chocolate,Godfrey Philips India,Anjan Dutta
Half Chocolate,Gaanola Kabir Suman,Kabir Suman
Ranjana Ami Aar Aasbo Na,Hits Of 2007,"Anjan Dutta, Neel Dutta"
Ichhe,Ichchhe Korei Eksathe,Anjan Dutta
Kato Ki Karar Chhilo,Madly Bangali,Anjan Dutta
Akash Bhara,Millennium,Anjan Dutta
Bobby Roy,Nagar Baul Bengali Modern,Anjan Dutta
Chyapta Golap,Nagar Baul Bengali,Anjan Dutta
Darjeelinger Rastay,Nagar Baul Bengali,Anjan Dutta
Feludar Gaan,Nagar Baul Bengali,"Anjan Dutta, Kabir Suman, Modern Songs"
Jeremir Behala,Nagar Baul Bengali,Anjan Dutta
Jeremir Behala,,Anjan Dutta
Mr.Hall,Nagar Baul Bengali,Anjan Dutta
Pagla Sanai,Nagar Baul Bengali,Kabir Suman
Shesh Picasso,Nagar Baul Bengali,Kabir Suman
Sukumar Roy,Nagar Baul Bengali,Kabir Suman
Chalo Badlai,Naktala Udayan Sangha,Anjan Dutta
Mary Ann,Naktala Udayan Sangha,Anjan Dutta
Tumi Asbei,Naktala Udayan Sangha,Kabir Suman
Tumi Asbei,Purono Guitar Modern Songs,Anjan Dutta
Ali Baba,Purono Guitar Modern Songs,Anjan Dutta
Amar Janala,Purono Guitar Modern Songs,Anjan Dutta
Asamoy,Purono Guitar Modern Songs,Anjan Dutta
Bandhu,Purono Guitar Modern Songs,Anjan Dutta
Bob Dylan-Er Gaan,Purono Guitar Modern Songs,Anjan Dutta
Boyas Amar Baro,Purono Guitar Modern Songs,Anjan Dutta
Bristi,Purono Guitar Modern Songs,Anjan Dutta
Calcium,Purono Guitar Modern Songs,Anjan Dutta
Darjeeling,Purono Guitar Modern Songs,Anjan Dutta
Darjeeling,,Anjan Dutta
Dasbabur Cabin,Purono Guitar Modern Songs,Anjan Dutta
Debalina,Purono Guitar Modern Songs,Anjan Dutta
Ektu Bhalo Kore Bachbo Bole,Purono Guitar Modern Songs,Anjan Dutta
Ghar,Sumaner Gaan Tomake Chai,Anjan Dutta
Ghar,Purono Guitar Modern Songs,"Anjan Dutta, Kabir Suman"
Haripada,,Anjan Dutta
Haripada,Purono Guitar Modern Songs,Anjan Dutta
Jhagra,Ranjana Ami Ar Ashbona,Kabir Suman
Jhagra,Purono Guitar Modern Songs,Anjan Dutta
Katha Shunte Bhalo Lage,Purono Guitar Modern Songs,Anjan Dutta
Keu Gaan Gay,Purono Guitar Modern Songs,Anjan Dutta
Khyapa Shahar,Shunte Ki Chao Anjan Dutta,Kabir Suman
Khyapa Shahar,Purono Guitar Modern Songs,Anjan Dutta
Kolkata 16,,Anjan Dutta
Kolkata 16,Purono Guitar Modern Songs,Anjan Dutta
Mala,,Anjan Dutta
Mala,Purono Guitar Modern Songs,Anjan Dutta
Maser Pratham Din,,Anjan Dutta
Maser Pratham Din,Purono Guitar Modern Songs,Anjan Dutta
Parini,,Anjan Dutta
Parini,Purono Guitar Modern Songs,Anjan Dutta
Purono Guitar,,Anjan Dutta
Purono Guitar,Purono Guitar Modern Songs,Anjan Dutta
Sakal Belar Khide,Purono Guitar Modern Songs,Anjan Dutta
Samson,,Anjan Dutta
Samson,Purono Guitar Modern Songs,Anjan Dutta
Sei Adbhut Bhalo Lokta,Purono Guitar Modern Songs,Anjan Dutta
Shunte Ki Chao ?,,Anjan Dutta
Shunte Ki Chao ?,Purono Guitar Modern Songs,Anjan Dutta
Sunshine,Purono Guitar Modern Songs,Anjan Dutta
Tumi Asbe Bole,,Anjan Dutta
Tumi Asbe Bole,Purono Guitar Modern Songs,Anjan Dutta
Tumi Dekhechho Ki,,Anjan Dutta
Tumi Dekhechho Ki,Purono Guitar Modern Songs,Anjan Dutta
Joyita,Rang Pencil Anjan Dutta,Anjan Dutta
Rang Pencil,Rang Pencil Anjan Dutta,Anjan Dutta
Brishti,Sumaner Gaan Tomake Chai,
Brishti,Ranjana Ami Ar Ashbona,Anjan Dutta
Raasta,,Anjan Dutta
Raasta,Ranjana Ami Ar Ashbona,Anjan Dutta
Sabai Keno,,Anjan Dutta
Sabai Keno,Ranjana Ami Ar Ashbona,Anjan Dutta
Ranjana Ami Aar Aasbo Na,Sera Dash Anjan Dutta,Anjan Dutta
Bose Achhi Istisane,,Anjan Dutta
Bose Achhi Istisane,Shunte Ki Chao Anjan Dutta,Anjan Dutta
Tv Dekhona,Shunte Ki Chao Anjan Dutta,Anjan Dutta
Sabdhan Hao Paramita,Suman Chaichhi,"Tomar Bandhuta, Kabir Suman"
Ghumou Boundule,Suman Chatterjee Ghumou,"Baundule, Kabir Suman"
Kabi,Suman Chattopadhyay,"Nishiddha Istehar, Kabir Suman"
Bose Aanko,Sumaner Gaan Bose Aanko,Kabir Suman
Khata Dekhe Gaan Geyo Naa,Sumaner Gaan Bose Aanko,Kabir Suman
Surjo Bollo Ish,Sumaner Gaan Bose Aanko,Kabir Suman
Banshuriya,Purono Guitar Modern Songs,Kabir Suman
Banshuriya,Sumaner Gaan Ichchey Holo,Kabir Suman
Boyesh Amar Mukher Rekhay,Sumaner Gaan Ichchey Holo,Kabir Suman
Ichchhe Holo,Sumaner Gaan Ichchey Holo,Kabir Suman
Nabab Nababi Kore,Sumaner Gaan Ichchey Holo,Kabir Suman
Pratidin Surja Othe,Sumaner Gaan Ichchey Holo,"Anjan Dutta, Kabir Suman"
Uttoroto Jana,,Kabir Suman
Uttoroto Jana,Sumaner Gaan Ichchey Holo,Kabir Suman
Chena Dukkha Chen Sukh,Purono Guitar Modern Songs,Anjan Dutta
Chena Dukkha Chen Sukh,Sumaner Gaan Tomake Chai,Kabir Suman
Dash Phoot Bai Dash Phoot,Sumaner Gaan Tomake Chai,Kabir Suman
Haal Chherona Bondhu,,Kabir Suman
Haal Chherona Bondhu,Sumaner Gaan Tomake Chai,Kabir Suman
Jodi Bhabo Kinchho Amay,Sumaner Gaan Tomake Chai,Kabir Suman
Kakhono Samay Aase,Sumaner Gaan Tomake Chai,Kabir Suman
Mon Kharap Kora Bikel,Sumaner Gaan Tomake Chai,Kabir Suman
Pagol,Sumaner Gaan Tomake Chai,Kabir Suman
Petkati Chandiyal,Sumaner Gaan Tomake Chai,Kabir Suman
Tomake Chai,Sumaner Gaan Tomake Chai,Kabir Suman
Tui Heshe Uthlei,Sumaner Gaan Tomake Chai,Kabir Suman
Tumi Na Thakle,Purono Guitar Modern Songs,Kabir Suman
Tumi Na Thakle,The Bong Connection,"Anjan Dutta, Usha Uthup"
