Song,Film/Album,Artists
Aadhkhanaa Chaand Haasichhe,Aamar Aachee Asim Aakash,Manabendra Mukherjee
Tori Naamer Kabaj Dole,Abismaraniyo,Bhabani Das
Ajike Gaaner Ban Esechhe,Ajike Ganer Ban Esechhe,Manabendra Mukherjee
Ami Sundar Nohi Jani Hee Bondhu,Ajike Ganer Ban Esechhe,Manabendra Mukherjee
Elo Oi Purnoshashi,Ajoy Chakraborty,Ajoy Chakraborty
Adho Adho Bol,All Time Greats,Manabendra Mukherjee
Alga Karo Go Khonpar Bandhan,All Time Greats,Manabendra Mukherjee
Ami Chirotare Dure Chole Jabo,All Time Greats,Firoza Begum
Antare Tumi Achho Chirodin,All Time Greats,Anup Ghoshal
Arunkanti Ke Go Jogi,All Time Greats,Manabendra Mukherjee
Bagichay Bulbuli Tui,All Time Greats,Manabendra Mukherjee
Bhoriya Paran Shunitechhi Gaan,All Time Greats,Manabendra Mukherjee
Bondhu Tomar Amar Ei Je Biraha,All Time Greats,Manabendra Mukherjee
Bou Katha Kao,All Time Greats,Manabendra Mukherjee
Chand Herichhe Chandmukh Tar,All Time Greats,Anup Ghoshal
Eto Jal O Kajal Chokhe,All Time Greats,Manabendra Mukherjee
Ganga Sindhu Narmada,All Time Greats,Anup Ghoshal
Jago Jogmaya Jago Mrinmoyee,All Time Greats,Manabendra Mukherjee
Jani Jani Priyo,All Time Greats,Firoza Begum
Jare Haat Diye Mala Diye Paro Nai,All Time Greats,Manabendra Mukherjee
Keno Aano Phuldor,All Time Greats,Manabendra Mukherjee
Keno Kande Paran,All Time Greats,Manabendra Mukherjee
Kon Kule Aaj Bhirlo Tari,All Time Greats,Manabendra Mukherjee
Mitilo Na Sadh,All Time Greats,Manabendra Mukherjee
Mlan Aloke Phutli Keno,All Time Greats,Anup Ghoshal
Momer Putul Momir Desher,All Time Greats,Firoza Begum
Mone Pare Aaj Se Kon Janame,All Time Greats,Firoza Begum
Mor Ghumghore Ele Monohar,All Time Greats,Firoza Begum
Mora Aar Janame Hangsamithun Chhilam,All Time Greats,Firoza Begum
"Musafir , Mochh Re Ankhijal",All Time Greats,Manabendra Mukherjee
Ogo Priyo Tobo Gaan,All Time Greats,Firoza Begum
Palash Phooler Mou Piye,All Time Greats,Manabendra Mukherjee
Pashaner Bhangale Ghum,All Time Greats,Anup Ghoshal
Pathik Bondhu Eso,All Time Greats,Manabendra Mukherjee
Paye Je Bnidhchhe Kanta,All Time Greats,Manabendra Mukherjee
Piya Gechhe Kabe Paradesh,All Time Greats,Manabendra Mukherjee
Projapati Projapati,All Time Greats,Firoza Begum
Saat Bhai Champa Jago Re,All Time Greats,Manabendra Mukherjee
Sajiachho Jogi,All Time Greats,Anup Ghoshal
Shunya Aaji Gulbagicha,All Time Greats,Firoza Begum
Timir-Bidari Alakh-Bihari,All Time Greats,Manabendra Mukherjee
Tomar Ankhir Mato Akasher Duti Tara,All Time Greats,Firoza Begum
Tumi Sundar Tai Cheye Thaki,All Time Greats,Satinath Mukherjee
Danrale Duare Mor,All Time Greats,Firoza Begum
Bosiya Bijane Keno Eka Mone,All Time Greats,Satinath Mukherjee
Aahar Deben Tini,All Time Greats Songs Of,Anup Ghoshal
Bhor Holo Oth Jag Musafir,All Time Greats Songs Of,Anup Ghoshal
Path-Hara Pakhi Kende Phere Eka,Amar Gaaner Bulbuli,Pratima Banerjee
Aabaar Bhaalobaasaar Saadh Jaage,Ami Surjamukhi Phuler Mato,Haimanti Sukla
Bhiru E Moner Kali,Ami Surjamukhi Phuler Mato,Haimanti Sukla
Hey Parthasarathi,Anjali All Time Greats Nazrul,Anjali Mukherjee
Chirodin Kaharo Saman Nahi Jay,Antare Tumi Aacho Chirodin,Dhananjay Bhattacharya
Nai Chinile Amay Tumi,Anup Ghosal Ganga,Anup Ghoshal
Rimjhim Rimjhim Jhim Ghana Deya,Baaje Na Bansari,Manabendra Mukherjee
Aar Lukabi Kothay Maa,Bal Re Jaba Bal,Pannalal Bhattacharya
Amar Kalo Meyer Payer Talay,Bal Re Jaba Bal,Pannalal Bhattacharya
Aamra Sakti Aamra Bal,Balo Bhai Mabhoi Mabhoi,Gourikedar Bhattacharya
Chal Chal Chal,Balo Bhai Mabhoi Mabhoi,Gourikedar Bhattacharya
Karar Oi Louha Kapat,Balo Bhai Mabhoi Mabhoi,Girin Chakraborty
Bal Re Jaba Bal,Balre Jaba Bal,Anjali Mukherjee
Kalo Meyer Payer Tolaaye,Balre Jaba Bal,Pannalal Bhattacharya
Ma Go Chinmoyee Rup Dhore Aay,Balre Jaba Bal,Manabendra Mukherjee
Nayan Bhara Jal Go Tomar,Bedonar Bhairabi,Shyamal Mitra
Shashane Jagichhe Shyama,Bengali Classical Songs,Jnanendraprasad Goswami
Parajaname Dekha Hobe Priyo,Bengali Songs,Purabi Dutta
Bhorer Jhiler Jale,Bhoriya Paran,Manabendra Mukherjee
Sakhi Bal Oke Chole,Bhoriya Paran,Manabendra Mukherjee
Amar Desher Mati,Bidrohi Kabir Deshatobodhok,Ansuman Roy
Tora Sab Joydhwani Kar,Bidrohi Kabir Deshatobodhok,"Ansuman Roy, Chorus"
Basanta Mukhar Aaji,Biraha Basanta,Indrani Sen
Bholo Priyo Bholo,Biraha Basanta,Indrani Sen
Dakhin Samiran Sathe,Biraha Basanta,Indrani Sen
Or Nishith-Samadhi Bhangiyo Na,Biraha Basanta,Indrani Sen
Amar Ganer Mala Ami Korbo Kare Daan,Birahi Papiya,Anup Ghoshal
Rum Jhum Rum Jhum Badal Nupur,Bulbuli Neerab Nargis Bone,Firoza Begum
Amar Aponar Cheye,,Masuda Anam Kalpona
Amar Aponar Cheye,Chayanika Devotional Songs,Dhiren Bose
Jogi Shiv Shankar,Chayanika Devotional Songs,"Girin Chakraborty, Masuda Anam Kalpona"
Durgam Giri Kantar Moru,Chayanika Patriotic Songs,"Chorus, Ila Basu"
Sanghasharan Thirtha Jathra Pathe,Chayanika Patriotic Songs,Bisher Banshi Goshthi
