Song,Film/Album,Artists
Aamar Pujar Phool,Aamar Pujar Phool,Kishore Kumar
Se Jeno Aamar Pashe,Aamar Pujar Phool,Kishore Kumar
Aaj Theke Aar Bhalobashar,Aamar Pujar Phool,Kishore Kumar
Joriye Dhorechhi Jare,Aamar Pujar Phool,Kishore Kumar
Mon Janala Khule Dena,Aamar Pujar Phool,Kishore Kumar
Keno Re Tui Chorli,Aamar Pujar Phool,Kishore Kumar
Tomay Poreche Mone,Aamar Pujar Phool,Kishore Kumar
Chokher Jaler Hoyna Kono Rang,Aamar Pujar Phool,Kishore Kumar
Aha Ki Darun Dekhte,Mother,Kishore Kumar
Amar Shopno Je Sotty Holo Aaj,Anusandhan,"Kishore Kumar, Lata Mangeshkar"
Adho Alo Chhyaate,Kalankini Kankabati,"Kishore Kumar, Asha Bhosle"
Dujanete Lekha Gaan,Abhiman,Kishore Kumar
Thik Saare Panchta Jei Bejechhe,Abhiman,Kishore Kumar
Amar Deep Nebhano Raat,All Time Greats,Kishore Kumar
Se To Elo Na,All Time Greats,Kishore Kumar
Bipinbabur Karan-Sudha,Amanush,"Kishore Kumar, Chorus"
Jodi Hoi Chorkanta,Amanush,"Kishore Kumar, Asha Bhosle"
Ki Ashai Bandhi Khelaghar,Amanush,Kishore Kumar
Amar Swapna Tumi Ogo,Ananda Ashram,"Kishore Kumar, Asha Bhosle"
Asha Chhilo Bhalobasa Chhilo,Ananda Ashram,Kishore Kumar
Prithibi Bodle Gechhe,Ananda Ashram,Kishore Kumar
Ogo Nirupama,Anindita,Kishore Kumar
Ami Je Ke Tomar,Anurager Chhowa,Kishore Kumar
Chhero Na Chhero Na Haath,Anyay Abichar,"Kishore Kumar, Sabina Yasmin"
Dekhle Kemon Tumi Khel,Anyay Abichar,"Kishore Kumar, Chorus"
Rui Katla Ilish To Noy,Anyay Abichar,Kishore Kumar
Aaj Hridaye Bhalobese,Aradhana,"Kishore Kumar, Lata Mangeshkar"
Eto Kachhe Dujane,Aradhana,Kishore Kumar
Gunjane Dole Je Bhramar,Aradhana,"Kishore Kumar, Asha Bhosle"
Mor Swapneri Saathi,Aradhana,Kishore Kumar
Neel Neel Akashe,Ashrita,Kishore Kumar
Mone Hoy Swarge Aachhi,Bandi,Kishore Kumar
Mone Naa Rang Lagle,Bandi,"Kishore Kumar, Asha Bhosle, Chorus"
Ei Jiboner Poth Soja Noy,Bandhobi,Kishore Kumar
Chaaridike Paaper Andhar,Bedonar Baluchare,Kishore Kumar
Akash Keno Daake,Bedonar Baluchare,Kishore Kumar
"Ami Nei, Ami Nei",Bedonar Baluchare,Kishore Kumar
Ei Je Nadi Jay Sagare,Bedonar Baluchare,Kishore Kumar
Ek Din Aaro Gelo,Bedonar Baluchare,Kishore Kumar
Ek Din Pakhi Ure Jabe,Bedonar Baluchare,Kishore Kumar
Nayan Sarasi Keno Bhoreche Jaale,Bedonar Baluchare,Kishore Kumar
Dake Loke Amake Clown,Bengali Modern Songs,Kishore Kumar
Amar Andhar Bhubane,Bengali Modern Songs,Kishore Kumar
Ami Dukkhake Sukh Bhebe,Bengali Modern Songs,Kishore Kumar
Ami Premer Pather Pathik,Bengali Modern Songs,Kishore Kumar
Andhakarer Ei Raater Sheshe,Bengali Modern Songs,Kishore Kumar
E Jiban Premeri Ek Patabahar Kabita,Bengali Modern Songs,Kishore Kumar
Hey Priyotama Ami To Tomay,Bengali Modern Songs,Kishore Kumar
Jakhan Ami Anek Dure,Bengali Modern Songs,Kishore Kumar
Cigarette Naho Tumi Swet-Pari,Dake Loke Amake Clown,Kishore Kumar
Prem Baro Madhur,Dake Loke Amake Clown,Kishore Kumar
O Babu Tomra Jatoi,Debibaran,Kishore Kumar
Akash Pathe Prem Korechhi,Dui Adhyay,Kishore Kumar
Hey Jore Chalo,Dujane,Kishore Kumar
Chhalaki Chhalaki Mon,Dustu Prajapati,Kishore Kumar
Eureka Eureka,Dustu Prajapati,"Kishore Kumar, Ranu Mukherjee, Chorus"
Guten Morgen Bonjo,Dustu Prajapati,Kishore Kumar
Dustar Parabar Periye,Ektuku Chhonwa Lage,"Kishore Kumar, Hemanta Mukherjee"
Saraswatir Seba Kari,Ektuku Chhonwa Lage,Kishore Kumar
Bujhte Nari Naree Ki Chay,Ghare Baire,Kishore Kumar
Chal Re Chal Sabe Bharatsantan,Ghare Baire,Kishore Kumar
