Song,Film/Album,Artists
Dekho Veer Jawanon,Aakraman,Kishore Kumar
Aaj Purani Raahon Se,Aadmi,Mohammed Rafi
Achha To Hum Chalte Hain,Aan Milo Sajna,"Lata Mangeshkar, Kishore Kumar"
Aaj Mere Yaar Ki Shaadi Hai,Aadmi Sadak Ka,"Mohammed Rafi, Deven Varma, Ravi"
Jawani O Diwani Tu Zindabad,Aan Milo Sajna,Kishore Kumar
Ab Aan Milo Sajna,Aan Milo Sajna,Lata Mangeshkar
Yehan Wahan Sare,Aan Milo Sajna,Kishore Kumar
Aap Aye Bahaar Ayee,Aap Aye Bahar Ayee,Mohammed Rafi
Is Mod Se Jate Hain,Aandhi,"Lata Mangeshkar, Kishore Kumar"
Mujhe Teri Mohabbat Ka Sahara,Aap Aye Bahar Ayee,Mohammed Rafi
Tere Bina Zindagi Se,Aandhi,"Lata Mangeshkar, Kishore Kumar"
Tu Is Tarah Se Mere Zindagi Main,Aap To Aise Na The,Mohammed Rafi
Tum Aa Gaye Ho Noor Aa Gaya,Aandhi,"Lata Mangeshkar, Kishore Kumar"
Aashaon Ke Sawan Mein,Aasha,Lata Mangeshkar
Aankhon Aankhon Mein Baat Hone Do,Aankhon Aankhon Mein,"Kishore Kumar, Asha Bhosle"
Wadiyan Mera Daman,Abhilasha,Mohammed Rafi
Hum To Aap Ke Deewane Hain,Aap Ke Deewane,"Kishore Kumar, Amit Kumar"
Teri Bindiya Re,Abhimaan,Lata Mangeshkar
Jai Jai Shiv Shankar,Aap Ki Kasam,"Lata Mangeshkar, Kishore Kumar"
Zameen Se Humen Aasman Par,Adalat,"Asha Bhosle, Mohammed Rafi"
Karvaten Badalte Rahe,Aap Ki Kasam,"Kishore Kumar, Lata Mangeshkar"
An Evening In Paris,Ae Dil Hai Mushkil,Mohammed Rafi
Paas Nahin Aana Bhool Nahin Jana,Aap Ki Kasam,"Lata Mangeshkar, Kishore Kumar"
Ajnabee Duniya Mein,Ajnabee,Mohammed Rafi
Suno Kaho Suna,Aap Ki Kasam,"Lata Mangeshkar, Kishore Kumar"
Door Rah Kar Na Karo Baat,Amaanat,Mohammed Rafi
Zindagi Ke Safar Mein,Aap Ki Kasam,Kishore Kumar
Insaaf Ka Mandir Hai Yeh,Amar,Mohammed Rafi
Nainon Mein Darpan Hai,Aarop,"Lata Mangeshkar, Kishore Kumar"
Aasman Se Aaya Farishta,An Evening In Paris,Mohammed Rafi
Dariya Mein Phenk Do Chabi,Aas Paas,"Lata Mangeshkar, Kishore Kumar"
Akele Akele Kahan Ja Rahe Ho,An Evening In Paris,Mohammed Rafi
Eena Meena Deeka,Aasha,Kishore Kumar
Diwane Ka Naam To Poochho,An Evening In Paris,Mohammed Rafi
Pyar Hua Hai Jab Se,Abhilasha,"Lata Mangeshkar, Kishore Kumar"
Hoga Tumse Kal Bhi Sanma,An Evening In Paris,Mohammed Rafi
Meet Na Mila Re Man Ka,Abhimaan,Kishore Kumar
Raat Ke Hamsafar,An Evening In Paris,"Asha Bhosle, Mohammed Rafi"
Tere Mere Milan Ki Yeh Raina,Abhimaan,"Lata Mangeshkar, Kishore Kumar"
Sa Re Ga Ma Pa,Abhinetri,"Lata Mangeshkar, Kishore Kumar"
Bheegi Bheegi Raaton Mein,Ajnabee,"Lata Mangeshkar, Kishore Kumar"
Ek Ajnabee Haseena Se,Ajnabee,Kishore Kumar
Hum Dono Do Premi,Ajnabee,"Lata Mangeshkar, Kishore Kumar"
Dil Aesa Kisine Mera Toda,Amanush,Kishore Kumar
Na Poochho Koi Hamen,Amanush,Kishore Kumar
Chingari Koi Bhadke,Amar Prem,Kishore Kumar
Kuchh To Log Kahenge,Amar Prem,Kishore Kumar
Yeh Kya Hua,Amar Prem,Kishore Kumar
Meri Bheegi Bheegi Si,Anamika,Kishore Kumar
Sara Pyar Tumhara,Anand Ashram,"Asha Bhosle, Kishore Kumar"
Zindagi Ek Safar Hai Suhana,Andaz,Kishore Kumar
Rote Rote Hansna Seekho,Andhaa Kaanoon,Kishore Kumar
Haal Kya Hai Dilon Ka,Anokhi Ada,Kishore Kumar
Aapke Anurodh Pe,Anurodh,Kishore Kumar
Aate Jate Khoobsurat Awara,Anurodh,Kishore Kumar
Jab Dard Nahin Tha,Anurodh,Kishore Kumar
Mere Dil Ne Tadap Ke,Anurodh,Kishore Kumar
Kajra Lagake Gajra Sajake,Apna Desh,"Kishore Kumar, Lata Mangeshkar"
Ro Na Kabhi Nahin Rona,Apna Desh,Kishore Kumar
Kaise Din Jeevan Mein Aaye,Apne Paraye,Kishore Kumar
Humare Siva Tumhare Aur,Apradh,"Kishore Kumar, Lata Mangeshkar"
Tum Mile Pyar Se,Apradh,"Kishore Kumar, Asha Bhosle"
Kora Kagaz Tha Yeh Man Mera,Aradhana,"Lata Mangeshkar, Kishore Kumar"
Mere Sapnon Ki Rani,Aradhana,Kishore Kumar
Roop Tera Mastana,Aradhana,Kishore Kumar
Haan Pahli Bar,Aur Kaun,Kishore Kumar
Piya Piya Piya Mora Jiya Pukare,Baap Re Baap,"Asha Bhosle, Kishore Kumar"
Aaj Kahin Na Ja,Bade Dil Wala,"Lata Mangeshkar, Kishore Kumar"
Jeevan Ke Din,Bade Dil Wala,Kishore Kumar
Kahan Tak Yeh Man Ko Andhere,Baton Baton Mein,Kishore Kumar
Suniye Kahiye Kahiye,Baton Baton Mein,"Kishore Kumar, Asha Bhosle"
Apno Mein Main Begaanaa,Begaanaa,Kishore Kumar
Ek Roz Main Tadapkar,Bemisal,Kishore Kumar
