Song,Film/Album,Artists
Aankhon Se Teri Sanam,15 August,"Kumar Sanu, Alka Yagnik"
Dil Ke Kareeb Aake,15 August,Kumar Sanu
Jhoom E Dil Woh Mera,15 August,Kumar Sanu
Tumhi Ho Mehboob Mere,15 August,Kumar Sanu
Ek Ladki Ko Dekha,1942: A Love Story,"Kumar Sanu, Kavita Krishnamurthy"
Kuch Na Kaho,1942: A Love Story,Kumar Sanu
Rimjhim Rimjhim,1942: A Love Story,Kumar Sanu
Rooth Na Jana,1942: A Love Story,Kumar Sanu
Shadi Ke Baad,2 Chehre,"Kumar Sanu, Poornima"
Teri Meei Dosti,2001: Do Hazaar Ek,"Kumar Sanu, Udit Narayan, Anuradha Paudwal"
Yun Na Rootho Jaan Meri,2001: Do Hazaar Ek,Kumar Sanu
Bachke Kahan Jaayega,7 Days,"Kumar Sanu, Kavita Krishnamurti"
Ek Din Bhi Aisa Nahin,7 Days,Kumar Sanu
Ek Din Bhi Aisa Nahin (Sad),7 Days,Kumar Sanu
Jaanu Meri Jaanu,7 Days,Kumar Sanu
Mujhe Tumse Koi Male,7 Days,Kumar Sanu
Yaad Bahut Tum Aate Ho,7 Days,Kumar Sanu
O Yaaro Maaf Karna,Aa Ab Laut Chalen,"Kumar Sanu, Alka Yagnik, Abhijeet, Shabbir Kumar, Sonu Nigam, Saud Khan, Vijeta"
O Yaaro Maaf Karna (Sad),Aa Ab Laut Chalen,Kumar Sanu
Yeh Kaisi Mulaqat Hai,Aa Ab Laut Chalen,Kumar Sanu
Aaj Humein Malum Hua,Aa Gale Lag Jaa,"Kumar Sanu, Anuradha Paudwal, Alka Yagnik, Kavita Krishnamurthy, Vibha Sharma, Sujata Goswami"
Main Aashique Hoon,Aa Gale Lag Jaa,Kumar Sanu
Tere Baghair,Aa Gale Lag Jaa,Kumar Sanu
Yaad Teri Aati Hai,Aa Gale Lag Jaa,Kumar Sanu
Zindagi Zindagi Lagti Hai Sath Tere,Aabra Ka Daabra,"Kumar Sanu, Alka Yagnik"
Dhak Dhak Dil Mera,Aadmi,Kumar Sanu
Dil Tere Naam Se,Aadmi,"Kumar Sanu, Sadhana Sargam, Kavita Krishnamurthy"
Jaan Se Bhadkar Janam,Aadmi,Kumar Sanu
Mehndi Lagane Ki Raat,Aadmi Khilona Hai,"Kumar Sanu, Sadhana Sargam"
Ankhon Mein Tum Ho,Aag,"Kumar Sanu, Alka Yagnik, Solo Poornima"
Main Tera Majnu,Aag,Kumar Sanu
Muskura Ke Jiyo Zindagi,Aag,Kumar Sanu
Tumko Mujhse Pyaar Hai,Aag Aur Chingari,"Kumar Sanu, Alka Yagnik"
Aisi Waisi Nazron Se,Aag Ka Toofan,"Kumar Sanu, Alka Yagnik"
Main Dil Bhar Ke Dekhu Tumhe,Aag Ka Toofan,Kumar Sanu
Tu Chand Se Mukhde,Aag Ka Toofan,Kumar Sanu
Dil Ko Pathar,Aaghaaz,"Kumar Sanu, Alka Yagnik"
Nav Nav Lakha,Aaghaaz,Kumar Sanu
Meri Sanson Mein,Aaina,"Kumar Sanu, Asha Bhosle"
Lashkara Lashkara Teri Bindiya Ka,Aaj Ka Goonda Raaj,"Kumar Sanu, Alka Yagnik"
Mohabbat Kitne Rang (Sad),Aaj Ke Shahenshah,Kumar Sanu
Mohabbat Kitne Rang Badalti Hai,Aaj Ke Shahenshah,Kumar Sanu
Title Song,Aaj Ki Taaqat,"Kumar Sanu, Shabbir Kumar"
Pehle Tum Phir Aap,Aaj Kie Aurat,"Kumar Sanu, Chandrani Mukherjee"
Roshni Andhera Mitathi Hai,Aaj Kie Aurat,Kumar Sanu
Dudhia Jisma Gulabi Gaal,Aakhri Chetawani,"Kumar Sanu, Anupama Deshpande, Mohammed Aziz, Pramod Sarkar"
Teri Mohabbat Ne Mujhko,Aakhri Chetawani,"Kumar Sanu, Usha Timothy"
Tum Takum Tum Takum,Aakhri Chetawani,Kumar Sanu
Aai Hai Divaali,Aamdani Atthanni Kharcha Rupaiya,"Kumar Sanu, Alka Yagnik, Shaan, Sneha Pant, Udit Narayan"
Dil Se Dilbar,Aan: Men at Work,"Kumar Sanu, Anuradha Paudwal"
Lehron Se Khalen Hai Payal,Aanch,"Kumar Sanu, Alka Yagnik"
Phir Dil Ne Woh Chot Khayi,Aandhiyan,Kumar Sanu
Angana Mein Baba,Aankhen,"Kumar Sanu, Sadhana Sargam"
Bade Kaam Ka Bander,Aankhen,"Kumar Sanu, Mohammed Aziz, Arun Bakshi"
Chowkhat Pe Tere,Aankhen,"Kumar Sanu, Mohammed Aziz, Sapna Mukherjee"
Ek Tamannaa Jivan Ki,Aankhen,"Kumar Sanu, Asha Bhosle"
Lal Dupate Wali Tera Naam To Bata,Aankhen,"Kumar Sanu, Alka Yagnik, Sudesh Bhosle, Kavita Krishnamurthy"
