Song,Film/Album,Artists
Swapno Jano Pelo Bhasha,Saat Paake Bandha,"Kunal Ganjawala, Mahalakshmi Iyer"
Mahi Ve,Challenge,Kunal Ganjawala
Jani Na,Faande Poriya Boga Kaande Re,"Kunal Ganjawala, Monali Thakur"
Uru Uru Swapne Ek Rajkonye,Prem Aamar,Kunal Ganjawala
Prem Amar Title Song,Prem Aamar,"Kunal Ganjawala, June Banerjee"
Oh My Love,Amanush,"Kunal Ganjawala, Shreya Ghoshal"
It's Only Pyaar,Dui Prithibi,"Kunal Ganjawala, Monali Thakur"
O Yaara Ve,Dui Prithibi,"Kunal Ganjawala, Bonnie Chakraborty, June Banerjee, Monali Thakur"
Ekta Bindas Para,Le Chakka,"Kunal Ganjawala, Shahdab Hussain, Prasenjit Mukherjee"
Shabba Rabba Reeba Ru,Le Chakka,"Kunal Ganjawala, Monali Thakur"
Le Chakka Title Track,Le Chakka,"Kunal Ganjawala, Prasenjit Mukherjee"
Mon Je Kore Uru Uru Title Track,Mon Je Kore Uru Uru,"Kunal Ganjawala, June Banerjee"
Shedin Dekha Hoyechilo Title Track,Shedin Dekha Hoyechilo,Kunal Ganjawala
Koro Selam,Wanted,"Kunal Ganjawala, Rajesh Roy, Kalpana"
Mon banjara,Fighter,"Kunal Ganjawala, Monali Thakur"
Mon Bebagi,Paglu,"Kunal Ganjawala, Akriti Kakkar, Rana Mazumder"
Elo Melo,Khokababu,Kunal Ganjawala
Jane Jana,Macho Mustanaa,"Kunal Ganjawala, Shreya Ghoshal"
Bailamos,Macho Mustanaa,"Kunal Ganjawala, Sunidhi Chauhan"
Kichu Halka,Jaaneman,Kunal Ganjawala
Love You Love You,Le Halua Le,Kunal Ganjawala
Beporowa Mone,Kanamachi,Kunal Ganjawala
Prem Amar 2 Title Track,Prem Amar 2,Kunal Ganjawala
