Song,Film/Album,Artists
Tumi Achho Eto Kachhe Tai,Surer Rajanigandha,Kumar Sanu
Tumi Janona Naki Bojhona,Surer Rajanigandha,Kumar Sanu
Tumi Elena Keno Elena,Surer Rajanigandha,Kumar Sanu
Tomar Sure Sur Bendhechhi,Surer Rajanigandha,Kumar Sanu
Phuler Chhnoa Jadi Lage,Surer Rajanigandha,Kumar Sanu
Kato Dur Chale Elam,Surer Rajanigandha,Kumar Sanu
Keno Tumi Amake Je Eto Bhalobaso,Surer Rajanigandha,Kumar Sanu
Koto Je Sagar Nodi,Priyotoma Mone Rekho,Kumar Sanu
Tomar Hasite Bodhu,Priyotoma Mone Rekho,Kumar Sanu
O Chokhe Amar,Priyotoma Mone Rekho,Kumar Sanu
Ke Bale Thakuma,Priyotoma Mone Rekho,Kumar Sanu
Aar Katokal Ami Saibo,Priyotoma Mone Rekho,Kumar Sanu
Ghumao O Chand,Priyotoma Mone Rekho,Kumar Sanu
Tomra Asbe To,Priyotoma Mone Rekho,Kumar Sanu
Chander Eto Alo,Priyotoma Mone Rekho,Kumar Sanu
Duti Pakhi Duti Teere,Priyotoma Mone Rekho,Kumar Sanu
Eto Noy Shudhu Gaan,Priyotoma Mone Rekho,Kumar Sanu
Tomari Pathpane Chahi,Priyotoma Mone Rekho,Kumar Sanu
Eto Sur Aar Eto Gaan,Priyotoma Mone Rekho,Kumar Sanu
Ei Raat Bhalobashar,Atithi Shilpi,Kumar Sanu
