Song,Film/Album,Artists
Je Pradip Jalchho Tumi,Shwet Pathorer Thala,Lata Mangeshkar
Na Bolo Na Kichhu Bolo Na,1942 A Love Story,Lata Mangeshkar
"O Prajapati, Prajapati",A Legend Of Glory,Lata Mangeshkar
"Priyotamo , Ki Likhi Tomay",A Legend Of Glory,Lata Mangeshkar
Banshi Keno Hai,Aamaar Priyo Gaan,Lata Mangeshkar
Ami Cholte Cholte Theme Gechhi,Abaak Rater Tara,Lata Mangeshkar
Bhulo Na Pratham Se Din,Abaak Rater Tara,Lata Mangeshkar
Dharanir Pathe Pathe,Abaak Rater Tara,Lata Mangeshkar
Ei Jiban,Abaak Rater Tara,Lata Mangeshkar
O Amar Pran Sajani,Abaak Rater Tara,Lata Mangeshkar
Saat Sakaale,Abaak Rater Tara,Lata Mangeshkar
Sabar Aarale,Abaak Rater Tara,Lata Mangeshkar
Bojho Na Keno Je,Adwitiya,Lata Mangeshkar
Chanchal Mon Anmona Hoy,Adwitiya,Hemanta Mukherjee
Chanchal Moyuri E Raat,Adwitiya,Lata Mangeshkar
Jabar Bela Pichhu Theke,Adwitiya,Lata Mangeshkar
Mon Lage Na,All Time Greats,Lata Mangeshkar
Padmapatay Bhorer Shisir,All Time Greats,Lata Mangeshkar
Runner,All Time Greats,Lata Mangeshkar
Tomar Bakulbone,All Time Greats,Lata Mangeshkar
Ghanashyam Sundar,Amar Bhoopali,"Lata Mangeshkar, Manna Dey"
Mori Mori Ore Manomohan,Amar Bhoopali,"Lata Mangeshkar, Manna Dey"
Sukhe Mate Chita,Amar Bhoopali,Lata Mangeshkar
Kemone Taribo Tara,Anindita,Lata Mangeshkar
Ore Mon Pakhi,Anindita,Lata Mangeshkar
Aaj Hridaye Bhalobese,Aradhana,"Kishore Kumar, Lata Mangeshkar"
Chandra Je Tui,Aradhana,Lata Mangeshkar
Madhabi Phutechhe Oi,Aradhana,"Lata Mangeshkar, R.D.Burman"
Ami Shuini Sararaat,Ashrita,Lata Mangeshkar
Jodio Rajani Pohalo,Baghini,Lata Mangeshkar
O Palash O Shimul,Bani Jetha Chiradin Rabe,Lata Mangeshkar
Mone Rekho Mone Rekho,Bani Jethe Chiradin Rabe,Lata Mangeshkar
Jete Chai Tomari Bhalobasa,Bengali Modern Songs,Lata Mangeshkar
Tomar Gabhir Bhalobasay,Bengali Modern Songs,Lata Mangeshkar
Tomari Ami Aar Kano Na,Bengali Modern Songs,Lata Mangeshkar
Dongshili Tui,Chaitalee,Lata Mangeshkar
O Mor Moyna Go,Chayanika,Lata Mangeshkar
Saat Bhai Champa Jagore,Chayanika Mone,Lata Mangeshkar
Aaj Jeno Nei Kono Bhabna,Deep Jwele Jai,Lata Mangeshkar
Amar Katha Sishir Bheja,Dolna,"Lata Mangeshkar, Kishore Kumar"
Jago Mohan Pritam,Ek Din Raatre,"Lata Mangeshkar, Chorus"
Ja Re Jare Ure Jare Pakhi,Bengali Modern Of,Lata Mangeshkar
Ogo Maa Ganga Mago Maa Ganga,Gangotsav,Lata Mangeshkar
Asta Akasher Godhuli,Hits Of Lata Mangeshkar,Lata Mangeshkar
Duyo Duyo Ari,Hits Of Lata Mangeshkar,Lata Mangeshkar
Duyo Duyo Ari,,Lata Mangeshkar
Jochhanar Raati Pichhu,Hits Of Lata Mangeshkar,"Lata Mangeshkar, Modern Songs"
Jodi Baran Karo Tabe Jabo Na,Hits Of Lata Mangeshkar,Lata Mangeshkar
Ke Jabi Aay,Hits Of Lata Mangeshkar,Lata Mangeshkar
Pa Ma Ga Re Sa,Hits Of Lata Mangeshkar,Lata Mangeshkar
E Mon Bihanga,Joutuk,Lata Mangeshkar
Hothat Bhishon Bhalo Lagchhe,Kabita,Lata Mangeshkar
Bujhbe Na Keu Bujhbe Na,Kabita,Lata Mangeshkar
Asta Akashe Boner Chita Jwale,Kari O Komal,Lata Mangeshkar
Ami Boli Tomay Dure Thako,Ki Likhi Tomai Priyotama,Lata Mangeshkar
Behaya Banshi Dake Je,Ki Likhi Tomai Priyotama,Lata Mangeshkar
Bhalobasar Agun Jwele,Ki Likhi Tomai Priyotama,Lata Mangeshkar
Dure Akash Samiyanai,Ki Likhi Tomai Priyotama,Lata Mangeshkar
Jhilik Jhilik Jhinuk,Ki Likhi Tomai Priyotama,Lata Mangeshkar
Juin Shada Reshmi,Ki Likhi Tomai Priyotama,Lata Mangeshkar
Keno Je Kandao Bare Bare,Ki Likhi Tomai Priyotama,Lata Mangeshkar
Krishnachura Shon Shon Shon,Ki Likhi Tomai Priyotama,Lata Mangeshkar
Nao Go Ma Phul Nao,Ki Likhi Tomai Priyotama,Lata Mangeshkar
Surjo Dekha,Ki Likhi Tomay Priyotamo,"Lata Mangeshkar, Chorus"
De Dol Dol,Kotha Koyonako,"Hemanta Mukherjee, Lata"
Eso Kachhe Eso,Kuheli,Lata Mangeshkar
Ke Jege Aachho,Kuheli,Lata Mangeshkar
Ebar Ami Amar Theke,Bengali Songs,Lata Mangeshkar
Jhim Chiki Chak,Bengali Songs,"Lata Mangeshkar, Chorus"
Haay Haay Praan Jaay,Marjinna Abdulla,Lata Mangeshkar
Chole Jete Jete Din,Mon Niye,Lata Mangeshkar
Asharh Sraban Mane Na To Mon,Monihar,Lata Mangeshkar
Bondhuya Keno Gelo Parabase,Monihar,Lata Mangeshkar
Ke Jeno Go Dekechhe Amay,Monihar,"Hemanta Mukherjee, Lata Mangeshkar"
Nijhum Sandhaye Pantha,Monihar,Lata Mangeshkar
Ki Je Kori Dure Jete Hay,More Gems From,Lata Mangeshkar
Keno Kichhu Katha Balo Na,Music Of Salil Chowdhury,Lata Mangeshkar
O Tui Nayan Pakhi Amar Re,Music Of Salil Chowdhury,Lata Mangeshkar
Baro Bishad Bhara Rajani,Music Of Salil Chowdhury,"Lata Mangeshkar, Chorus"
Phande Poria Baga Kande Rey,O Amar Desher Mati,Lata Mangeshkar
Dol Dol Dol Maton Legeche,Ore Mon Mon Amar,Lata Mangeshkar
Ore Mon Mon Amar,Ore Mon Mon Amar,Lata Mangeshkar
