Song,Film/Album,Artists
Ei Nadi Boye Jay,Abhoya O Srikanta,Hemanta Mukherjee
Yeh Raat Khushnaseeb Hai,Aaina,Lata Mangeshkar
Kar Bansari Baje Multani Sure,Agnibeena Classical Kazi,Arati Mukherjee
Ab Aan Milo Sajna,Aan Milo Sajna,Lata Mangeshkar
Mone Rekho More,Ajana Shapath,Arati Mukherjee
Achha To Hum Chalte Hain,Aan Milo Sajna,"Lata Mangeshkar, Kishore Kumar"
Ogo Bondhu Aamar,Ajana Shapath,Arati Mukherjee
Is Mod Se Jate Hain,Aandhi,"Lata Mangeshkar, Kishore Kumar"
Aaro Katodin Ami Khunjechhi Tomake,All Time Greats,Arati Mukherjee
Tere Bina Zindagi Se,Aandhi,"Lata Mangeshkar, Kishore Kumar"
Aaynate Mukh Dekhbo Na,All Time Greats,Arati Mukherjee
Tum Aa Gaye Ho Noor Aa Gaya,Aandhi,"Lata Mangeshkar, Kishore Kumar"
Ami Shakuntala Noi,All Time Greats,Arati Mukherjee
Mujhe Teri Mohabbat Ka Sahara,Aap Aye Bahar Ayee,Mohammed Rafi
Banya Banya E Aranya,All Time Greats,Arati Mukherjee
Jai Jai Shiv Shankar,Aap Ki Kasam,"Lata Mangeshkar, Kishore Kumar"
Karvaten Badalte Rahe,Aap Ki Kasam,"Kishore Kumar, Lata Mangeshkar"
Paas Nahin Aana Bhool Nahin Jana,Aap Ki Kasam,"Lata Mangeshkar, Kishore Kumar"
Suno Kaho Suna,Aap Ki Kasam,"Lata Mangeshkar, Kishore Kumar"
Agar Mujhse Mohabbat Hai,Aap Ki Parchhaiyan,Lata Mangeshkar
Nainon Mein Darpan Hai,Aarop,"Lata Mangeshkar, Kishore Kumar"
Dariya Mein Phenk Do Chabi,Aas Paas,"Lata Mangeshkar, Kishore Kumar"
Aashaon Ke Sawan Mein,Aasha,Lata Mangeshkar
Sheesha Ho Ya Dil Ho,Aasha,Lata Mangeshkar
Pyar Hua Hai Jab Se,Abhilasha,"Lata Mangeshkar, Kishore Kumar"
Ab To Hai Tumse Har Khushi Apni,Abhimaan,Lata Mangeshkar
Loote Koi Man Ka Nagar,Abhimaan,"Lata Mangeshkar, Manhar Udhas"
Nadiya Kinare,Abhimaan,Lata Mangeshkar
Piya Bina Piya Bina,Abhimaan,Lata Mangeshkar
Tere Mere Milan Ki Yeh Raina,Abhimaan,"Lata Mangeshkar, Kishore Kumar"
Teri Bindiya Re,Abhimaan,Lata Mangeshkar
O Ghata Sanwari,Abhinetri,Lata Mangeshkar
Sa Re Ga Ma Pa,Abhinetri,"Lata Mangeshkar, Kishore Kumar"
Yun Hasraton Ke Dagh,Adalat,Lata Mangeshkar
Sari Sari Raat Teri Yaad Sataye,Aji Bas Shukriya,Lata Mangeshkar
Bheegi Bheegi Raaton Mein,Ajnabee,"Lata Mangeshkar, Kishore Kumar"
Hum Dono Do Premi,Ajnabee,"Lata Mangeshkar, Kishore Kumar"
Bada Natkhat Hai Yeh,Amar Prem,Lata Mangeshkar
Raina Beeti Jaye,Amar Prem,Lata Mangeshkar
Tumhen Yaad Karte Karte,Amrapali,Lata Mangeshkar
Bahon Mein Chale Aao,Anamika,Lata Mangeshkar
Na Jiya Lage Na,Anand,Lata Mangeshkar
Dil Ki Nazar Se,Anari,"Lata Mangeshkar, Mukesh"
Tera Jana,Anari,Lata Mangeshkar
Yeh Zindagi Usiki Hai,Anarkali,Lata Mangeshkar
Rim Jhim Ke Geet,Anjaana,Lata Mangeshkar
Gairon Pe Karam,Ankhen,Lata Mangeshkar
Milti Hai Zindagi Men,Ankhen,Lata Mangeshkar
Aap Ki Nazron Ne Samjha,Anpadh,Lata Mangeshkar
Dhire Dhire Machal,Anupama,"Lata Mangeshkar, Kishore Kumar"
Kuchh Dil Ne Kaha Kuchh Bhi Nahin,Anupama,Lata Mangeshkar
Tere Nainon Ke Main Deep Jalaoonga,Anuraag,Mohammed Rafi
Kajra Lagake Gajra Sajake,Apna Desh,"Kishore Kumar, Lata Mangeshkar"
Aadmi Musafir Hai,Apnapan,Lata Mangeshkar
Humare Siva Tumhare Aur,Apradh,"Kishore Kumar, Lata Mangeshkar"
Baghon Mein Bahar Hai,Aradhana,Lata Mangeshkar
Chanda Hai Tu Mera Suraj Hai Tu,Aradhana,Lata Mangeshkar
Chanda Hai Tu Mera Suraj Hai Tu,,"Lata Mangeshkar, Kishore Kumar"
Kora Kagaz Tha Yeh Man Mera,Aradhana,"Lata Mangeshkar, Kishore Kumar"
Pardes Jake Pardesia,Arpan,Lata Mangeshkar
Aji Rooth Kar Ab Kahan Jaiyega,Arzoo,Lata Mangeshkar
Tera Mera Pyar Amar,Asli Naqli,Lata Mangeshkar
Tujhe Jeevan Ki Dor Se,Asli Naqli,Lata Mangeshkar
Ghar Aaya Mera Pardesi,Awaara,Lata Mangeshkar
Aya Sawan Jhoom Ke,Aya Sawan Jhoom Ke,Lata Mangeshkar
Saathiya Nahin Jana,Aya Sawan Jhoom Ke,Lata Mangeshkar
Suno Sajna,Aye Din Bahar Ke,"Lata Mangeshkar, Kishore Kumar"
O Sanam Tere Ho Jayen Hum,Ayee Milan Ki Bela,Lata Mangeshkar
Aaj Kahin Na Ja,Bade Dil Wala,"Lata Mangeshkar, Kishore Kumar"
Aaja Piya Tohe Pyar Doon,Baharon Ke Sapne,Lata Mangeshkar
Kya Janu Sajan,Baharon Ke Sapne,Lata Mangeshkar
Duniya Kare Sawaal To Ham,Bahu Begum,Lata Mangeshkar
Tu Ganga Ki Mauj,Baiju Bawra,Lata Mangeshkar
Chhoti Si Umar Men Lag Gaya Rog,Bairaag,Lata Mangeshkar
Mora Gora Ang Laile,Bandini,Lata Mangeshkar
Barsaat Mein Humse Mile,Barsaat,Lata Mangeshkar
Bichhde Huye Pardesi,Barsaat,Lata Mangeshkar
Hawa Mein Udta Jaye,Barsaat,Lata Mangeshkar
Jiya Beqarar Hai,Barsaat,Lata Mangeshkar
Uthe Sabke Kadam Dekho Ram Pam,Baton Baton Mein,"Lata Mangeshkar, Pearl Padamse, Amit Kumar"
Mast Pawan Dole Re,Bawarchi,Lata Mangeshkar
Dikhai Diye Yun,Bazaar,Lata Mangeshkar
Phir Chiddi Raat,Bazaar,"Lata Mangeshkar, Talat Aziz"
Kahin Deep Jale Kahin Dil,Bees Saal Baad,Lata Mangeshkar
Ae Ri Pawan,Bemisal,Lata Mangeshkar
Kitni Khoobsoorat Yeh Tasveer Hai,Bemisal,Lata Mangeshkar
Jab Hum Jawan Honge,Betaab,"Lata Mangeshkar, Shabbir Kumar"
Chali Chali Re Patang,Bhabhi,Lata Mangeshkar
Dil Jo Na Keh Saka,Bheegee Raat,Lata Mangeshkar
Ae Phansa,Bobby,Lata Mangeshkar
Ankhiyon Ko Rahne De,Bobby,Lata Mangeshkar
Hum Tum Ek Kamre Mein,Bobby,Lata Mangeshkar
Mujhe Kuchh Kahna Hai,Bobby,Lata Mangeshkar
Dil Tera Hai Main Bhi Teri Hoon,Bombay To Goa,"Lata Mangeshkar, Kishore Kumar"
Tum Meri Zindagi Mein Kuchh,Bombay To Goa,"Lata Mangeshkar, Kishore Kumar"
Chadhti Jawani Meri Chaal Mastani,Caravan,Lata Mangeshkar
Dilbar Dil Se Pyare,Caravan,Lata Mangeshkar
Kitna Pyara Wada Hai,Caravan,Lata Mangeshkar
