Song,Film/Album,Artists
Ei Eto Alo Eto Akash,Aalo Aamar Aalo,Manna Dey
Aaschhe Shatabdite,Agami Prithivi Shono,Sandhya Mukherjee
Anek To Din Kete Gelo,Achena Atithi,Manna Dey
Amar Duarkhani Batas Ese,Agni Sanskar,Sandhya Mukherjee
Shatabdi Baran,Agami Prithivi Shono,"Manna Dey, Haimanti Sukla"
Ei Sundar Raatri,Agni Sanskar,Sandhya Mukherjee
Apabad Hok Na Aaro,All Time Great Manna Dey,Manna Dey
Ekti Sukher Neer,Agni Sanskar,Sandhya Mukherjee
E Nadi Emon Nadi,All Time Greats Manna Dey,Manna Dey
Gaane Mor Kon Indradhanu,Agnipariksha,Sandhya Mukherjee
Mori Mori Ore Manomohan,Amar Bhoopali,"Lata Mangeshkar, Manna Dey"
Jodi Bhul Korei Bhul Madhur Holo,Agnipariksha,Sandhya Mukherjee
Ami Jamini Tumi Shashi Hey,Antony Firingee,Manna Dey
Ke Tumi Amare Dako,Agnipariksha,Sandhya Mukherjee
Ami Je Jalsaghare,Antony Firingee,Manna Dey
Phuler Kane Bhramar Aane,Agnipariksha,Sandhya Mukherjee
Champa Chameli Golaperi Baage,Antony Firingee,"Manna Dey, Sandhya Mukherjee"
Bhalobasar Dinguli Mor,All Time Greats,Sandhya Mukherjee
Keu Ba Korchhen Barristeri,Antony Firingee,"Adhir Bagchi, Manna Dey"
Saradin Tomar Kathai Mone Pore,Antaraal,Sandhya Mukherjee
Ma Tui Amay Daya Korbi Ki Na Bol,Antony Firingee,Manna Dey
Satya Bate Ami Jetete,Antony Firingee,"Manna Dey, Adhir Bagchi"
Shuno Hey Antony,Antony Firingee,"Alok Bagchi, Manna Dey"
Shib Shambhu Tripurari,Baba Taraknath,Manna Dey
Tini Ekti Belpatatei Tushta,Baba Taraknath,Manna Dey
O Kokila Tore Sudhai Re,Baghini,Manna Dey
Agun Legechhe Legechhe,Basanta Bilap,"Manna Dey, Rabi Ghosh"
Ami Ki Aar Bhalo Habona,Bengali Modern Songs,Manna Dey
Ei To Akash,Bengali Mordern Songs,Manna Dey
Mone Pore,Bengali Mordern Songs,Manna Dey
Ami Akash Hote Pari,Bengali Puja Hits,Manna Dey
Tumi Anek Jatno Kore,Bengali Songs Manna Dey,Manna Dey
Swapan Jodi Madhur Emon,Bhalobashar Rajprashadey,Manna Dey
Bendhona Phulomala Dore,Bilambita Loy,"Manna Dey, Arati Mukherjee"
Bani Bani Bani,Brojobuli,Manna Dey
Ekhoni Keno Jabe Chole,Byapika Biday,Manna Dey
Sudhu Ekdin Bhalobasa,Chayanika,Manna Dey
Aaj Abar Sei Pathei,Chayanika,Manna Dey
Aamar Bhalobasar Rajprasade,Chayanika,Manna Dey
Abar Habe To Dekha,Chayanika,Manna Dey
Amay Akash Bollo,Chayanika,Manna Dey
Ami Niralay Bose,Chayanika,Manna Dey
Chander Ashay Nibhayechhilam,Chayanika,Manna Dey
Char Deyaler Modhye Nanan Drishyake,Chayanika,Manna Dey
Daradi Go Ki Cheyechi,Chayanika,Manna Dey
E Ki Apurba Prem,Chayanika,Manna Dey
Ei Kule Ami Aar Oi Kule Tumi,Chayanika,Manna Dey
Ei To Sedin Tumi,Chayanika,Manna Dey
Jani Tomar Premer Jogyo Ami To Noi,Chayanika,Manna Dey
Ka Phonta Chokher Jal Phelechho,Chayanika,Manna Dey
Khub Jante Icha Kare,Chayanika,Manna Dey
Lalita Go Oke Aaj Chole Jete Bal Na,Chayanika,Manna Dey
Ma Mago Ma Ami Elem Tomar Kole,Chayanika,Manna Dey
O Amar Mon Jamunar Ange Ange,Chayanika,Manna Dey
Raat Jaga Duti Chokh,Chayanika,Manna Dey
Se Amar Chhoto Bon,Chayanika,Manna Dey
Sei To Abar Kachhe Ele,Chayanika,Manna Dey
Ami Kon Pathe Je Chali,Chhadmabeshi,Manna Dey
Banchaao Ke Aachho,Chhadmabeshi,Manna Dey
Phul Pakhi Bondhu Amar Chhilo,Chirodiner,Manna Dey
Lal Neel Sabujeri Mela,Chirodiner,Manna Dey
Manush Khun Hole Pore,Chirodiner,Manna Dey
Tumi Amar Chirodiner,Chirodiner,"Manna Dey, Sandhya Mukherjee"
Baro Eka Laage (Male),Chowringhee,Manna Dey
Janam Abdhi,Dadar Kirti,Manna Dey
Mon Re Amar Hay Shunli Na,Dak Harkara,Manna Dey
Ogo Tomar Shesh Bicharer,Dak Harkara,Manna Dey
Emon Bondhu Aar Ke Aache,Deep Jwele Jai,"Manna Dey, Sandhya Mukherjee"
Jedin Labo Biday,Hits Of Manna Dey,Manna Dey
Jedin Labo Biday,Devdas,Manna Dey
Shaon Raate Jodi,Devdas,Manna Dey
Sab Khelar Sera Bangalir,Dhanyi Meye,"Manna Dey, Chorus"
Behag Jadi Na Hoi,Dui Purush,Manna Dey
"Jago, Natun Prabhat Jago",Duti Mon,Manna Dey
Ei Duniyay Bhai,Ek Din Raatre,Manna Dey
Esechhi Ami Esechhi,Har Mana Har,Manna Dey
Tomar Deher Bhangimati,Har Mana Har,Manna Dey
Anek Katha Boleo Tobu,Hits Of Manna Dey,Manna Dey
Ei Achhi Besh,,Manna Dey
Ei Achhi Besh,Hits Of Manna Dey,Manna Dey
Amar Ekdike Shudu Tumi,Hits Of Manna Dey,Manna Dey
Ami Aaj Akasher Mato Ekela,Hits Of Manna Dey,Manna Dey
Coffee Houser Sei Addata Aaj Aar Nei,Hits Of Manna Dey,Manna Dey
Dukkha Amar Tomay Ami Je,Hits Of Manna Dey,Manna Dey
Ei Kshantuku Keno Eto Bhalo Lage,Hits Of Manna Dey,Manna Dey
Kato Dure Aar Niye Jabe,Hits Of Manna Dey,Manna Dey
Ki Dekhle Tumi Amate,Hits Of Manna Dey,Manna Dey
Paro Jodi Phire Eso,Hits Of Manna Dey,Manna Dey
Pousher Kachhakachhi Rod Makha,Hits Of Manna Dey,Manna Dey
Tumi Aar Deko Na,Hits Of Manna Dey,Manna Dey
Tumi Nijer Mukhei Bolle Jedin,Hits Of Manna Dey,Manna Dey
Tumi Noy Nai Kachhe Aasle,Hits Of Manna Dey,Manna Dey
Khela Football Khela,Hits Of Manna Dey,Manna Dey
Oi Mahasindhur Opar Theke,Homage Manna Dey,Manna Dey
Matir Prithibi Marichika Maymoy,Jabanbandi,Manna Dey
Ke Tumi Ke Tumi,Jiban Rahasya,Manna Dey
Kono Katha Na Bole,Jibon Mrityu,"Manna Dey, Sandhya Mukherjee"
Amar Chokhe Barsha,Jodi Prashna Kari,Manna Dey
Bhab Kore Ki Sukh Paoa Jai,Khub Jaantey Ichhey Karey,Manna Dey
Ke Jane Shyam,Khub Jaantey Ichhey Karey,Manna Dey
Tui Ki Amar Putul Putul,Ki Emon Katha Manna Dey,Manna Dey
"Rangini Kato Mon, Mon Dite Chay",Legends Manna Dey,Manna Dey
Majhraate Ghum Bhenge Jay,Legends Manna Dey,Manna Dey
Jakhan Keu Amake Pagol Bale,Live At Salt Lake Stadium,Manna Dey
Maron Tomar Har Holo Je,Manjari Opera,Manna Dey
Amay Chinte Keno Parchho Na Ma,Manna Dey Bengali,Manna Dey
Ami Raji,Manna Dey Bengali,Manna Dey
Eso Jouban,Manna Dey Bengali,Manna Dey
Hanti Hanti Pa Pa,Manna Dey Bengali,Manna Dey
Tumi Aar Ami,Manna Dey Bengali,Manna Dey
Tumi Ekjoni Shudhu Bondhu Amar,Manna Dey Chirasathi,Manna Dey
Besh To Tai Hok,Manna Dey Modren,Manna Dey
Ami Taar Thikana Rakhini,Manna Dey Sabai To,Manna Dey
Baje Go Beena,Marjinna Abdulla,Manna Dey
Ebar Mole Suto Hobo,Mouchak,Manna Dey
Pagla Garad Kothay Achhe,Mouchak,"Manna Dey, Asha Bhosle, Chorus"
Ta Bole Ki Prem Debo Na,Mouchak,Manna Dey
Ja Khushi Ora Bale Boluk,Nishipadma,Manna Dey
Na Na Na Aaj Raate Aar,Nishipadma,Manna Dey
Ek Din Dal Bendhe,Picnic,Manna Dey
Kashmire Noy Shilongeo Noy,Picnic,Manna Dey
Ami Sree Sree Bhajohori Manna,Pratham Kadam Phul,Manna Dey
Ei Shahar Theke Aaro Anek Dure,Pratham Kadam Phul,Manna Dey
Sabai To Sukhi Hote Chay,Puja Hits Volume 84,Manna Dey
Abhimane Chole Jeo Na,Sabai To Sukhi Hotey Chai,Manna Dey
Chand Dekhte Giye Ami,Sabai To Sukhi Hotey Chai,Manna Dey
E To Raag Noy Go E Je Abhiman,Sabai To Sukhi Hotey Chai,Manna Dey
Ek Jhank Pakhider Mato Kichhu Roddur,Sabai To Sukhi Hotey Chai,Manna Dey
Hridayer Gaan Shikhe To Gaay Go Sabai,Sabai To Sukhi Hotey Chai,Manna Dey
Jaroyar Jhumko Theke,Sabai To Sukhi Hotey Chai,Manna Dey
Katha Dao Aabar Asbe,Sabai To Sukhi Hotey Chai,Manna Dey
Kathay Kathay Je Raat Hoye Jay,Sabai To Sukhi Hotey Chai,Manna Dey
Ke Tumi Tandraharani,Sabai To Sukhi Hotey Chai,Manna Dey
O Chand Samle Rakho Jochhnake,Sabai To Sukhi Hotey Chai,Manna Dey
O Keno Eto Sundari Holo,Sabai To Sukhi Hotey Chai,Manna Dey
Rim Jhim Jhim Bristi,Sabai To Sukhi Hotey Chai,Manna Dey
Sundari Go Dohai Dohai,Sabai To Sukhi Hotey Chai,Manna Dey
Teer Bhanga Dheu,,Manna Dey
Teer Bhanga Dheu,Sabai To Sukhi Hotey Chai,Manna Dey
Dekhoni Ki Pathareo Phote Phul,Sabarmati,Manna Dey
Bhalobasar Aagun Jwalaao,Sanyasi Raja,Manna Dey
Ghar Sangsar Sabai To Chay,Sanyasi Raja,Manna Dey
Hujoor Bole Selam Kore,Sanyasi Raja,Manna Dey
Kaharba Noy Dadra Bajao,Sanyasi Raja,Manna Dey
Karan Sebay Baran Karo,Sanyasi Raja,Manna Dey
Ami Agantuk,Shankhabela,Manna Dey
Ke Pratham Kachhe Esechhi,Shankhabela,"Manna Dey, Lata Mangeshkar"
Ogo Chandrabadoni,Shuk Sari,Manna Dey
Katodin Dekhini Tomay,Songs To Remember,Manna Dey
Menechhi Go Haar Menechhi,Songs To Remember,Manna Dey
Radha Cholechhe,Sorry Madam,Manna Dey
Hazar Takar Jharbatita,Trinayanee Maa,"Manna Dey, Hemanta Mukherjee"
Hazar Takar Jharbatita,Stree,"Manna Dey, Hemanta Mukherjee"
Jemon Sapinike Posh Manay Ojha,Stree,Manna Dey
Tabo Charon Nimne,Subhas Chandra,Manna Dey
Jiban Maroner Sathi,Sudur Niharika,"Manna Dey, Arati Mukherjee"
Keno Dako Michhe Papiya,Sudur Niharika,Manna Dey
Ogo Barsha Tumi Jhoro Na Go,Sundari Go Romantic Hits,Manna Dey
Jodi Kagoje Lekho Naam,Sur Jetha Chiradin Rabe,Manna Dey
Ami Sagarer Bela,Sur Jetha Chiradin Rabe,Manna Dey
Amar Na Jodi Thake Sur,Swapane Baje Go Banshi,Manna Dey
Andhakarer Antarete Ashru Badal Jhare,Swapane Baje Go Banshi,Manna Dey
E Jibane Jato Byatha Peyechhi,Swapane Baje Go Banshi,Manna Dey
Gahan Megher Chhaya Ghanay,Swapane Baje Go Banshi,Manna Dey
Jwalao Akash Pradip,Swapane Baje Go Banshi,Manna Dey
Na Na Jeo Na,Swapane Baje Go Banshi,Manna Dey
Prakhar Darun Oti,Swapane Baje Go Banshi,Manna Dey
Swapane Baje Go Banshi,Swapane Baje Go Banshi,Manna Dey
Tomar Oi Hasite,Swapane Baje Go Banshi,Manna Dey
Hoyto Tomari Janya,Teen Bhubaner Parey,Manna Dey
Jibane Ki Pabo Na,Teen Bhubaner Parey,"Manna Dey, Chorus"
Golaper Oli Achhe,Tilottoma,Manna Dey
Trinayanee Maa,,Manna Dey
Trinayanee Maa,Trinayanee Maa,Manna Dey
Ami Ajiban Shudhu Bhul Kore Gechhi,Tumi Aar Deko Na,Manna Dey
Deep Chhilo Shikha Chhilo,Tumi Aar Deko Na,Manna Dey
"Ei, Jibaner Beshitai Dukha",Tumi Aar Deko Na,Manna Dey
Je Kshati Ami Niyechhilam Mene,Tumi Aar Deko Na,Manna Dey
Je Samadhi Beditar Thik Opore,Tumi Aar Deko Na,Manna Dey
Nid Nahi Ankhipate,Tumi Aar Deko Na,Manna Dey
Tomar Nihshwase Bish Chhilo,Tumi Aar Deko Na,Manna Dey
Tomay Kichhui Bolini To,Tumi Aar Deko Na,Manna Dey
