Song,Film/Album,Artists
Aaj Purani Raahon Se,Aadmi,Mohammed Rafi
Aaj Mere Yaar Ki Shaadi Hai,Aadmi Sadak Ka,Mohammed Rafi
Ab Aan Milo Sajna,Aan Milo Sajna,Lata Mangeshkar
Aap Aye Bahaar Ayee,Aap Aye Bahar Ayee,Mohammed Rafi
Mujhe Teri Mohabbat Ka Sahara,Aap Aye Bahar Ayee,Mohammed Rafi
Tu Is Tarah Se Mere Zindagi Main,Aap To Aise Na The,Mohammed Rafi
Aashaon Ke Sawan Mein,Aasha,Lata Mangeshkar
Wadiyan Mera Daman,Abhilasha,Mohammed Rafi
Teri Bindiya Re,Abhimaan,Lata Mangeshkar
Zameen Se Humen Aasman Par,Adalat,"Asha Bhosle, Mohammed Rafi"
An Evening In Paris,Ae Dil Hai Mushkil,Mohammed Rafi
Ajnabee Duniya Mein,Ajnabee,Mohammed Rafi
Door Rah Kar Na Karo Baat,Amaanat,Mohammed Rafi
Insaaf Ka Mandir Hai Yeh,Amar,Mohammed Rafi
Aasman Se Aaya Farishta,An Evening In Paris,Mohammed Rafi
Akele Akele Kahan Ja Rahe Ho,An Evening In Paris,Mohammed Rafi
Diwane Ka Naam To Poochho,An Evening In Paris,Mohammed Rafi
Hoga Tumse Kal Bhi Sanma,An Evening In Paris,Mohammed Rafi
Raat Ke Hamsafar,Baharen Phir Bhi Aayengi,"Asha Bhosle, Mohammed Rafi"
Dil Use Do Jo Jaan De De,Andaz,"Mohammed Rafi, Asha Bhosle"
Re Mama Re Mama Re,Andaz,Mohammed Rafi
Rim Jhim Ke Geet,Anjaana,Lata Mangeshkar
Rim Jhim Ke Geet,Anuraag,Mohammed Rafi
Tere Nainon Ke Main Deep Jalaoonga,Anuraag,Mohammed Rafi
Aadmi Musafir Hai,Apnapan,Lata Mangeshkar
Baghon Mein Bahar Hai,Aradhana,Lata Mangeshkar
Gun Guna Rahe Hai Bhanvare,Aradhana,"Asha Bhosle, Mohammed Rafi"
Ae Nargise Mastana,Arzoo,Mohammed Rafi
Ae Phoolon Ki Rani,Arzoo,Mohammed Rafi
Chhalke Teri Ankhon Se,Arzoo,Mohammed Rafi
Tujhe Jeevan Ki Dor Se,Asli Naqli,Lata Mangeshkar
Aya Sawan Jhoom Ke,Aya Sawan Jhoom Ke,Lata Mangeshkar
Saathiya Nahin Jana,Aya Sawan Jhoom Ke,Lata Mangeshkar
Mera Dushman Tu Meri Dosti Ko Tarse,Aye Din Bahar Ke,Mohammed Rafi
Mere Dushman,Aye Din Bahar Ke,Mohammed Rafi
O Sanam Tere Ho Jayen Hum,Ayee Milan Ki Bela,Lata Mangeshkar
Tum Kamsin Ho Nadaan Ho,Ayee Milan Ki Bela,Mohammed Rafi
Aap Ke Haseen Rukh Pe,Baharen Phir Bhi Aayengi,Mohammed Rafi
Aap Ke Haseen Rukh Pe,,Mohammed Rafi
Ham Intezar Karenge,Bahu Begum,Mohammed Rafi
Man Tarpat Hari Darsan Ko Aaj,Baiju Bawra,Mohammed Rafi
O Duniya Ke Rakhwale,Baiju Bawra,Mohammed Rafi
Tu Ganga Ki Mauj,Baiju Bawra,Lata Mangeshkar
Tu Ganga Ki Mauj,Bairaag,"Asha Bhosle, Mohammed Rafi"
Sare Shaher Men Aap Sa Koi Nahin,Bairaag,"Asha Bhosle, Mohammed Rafi"
Na To Caravan Ki Talash Hai,Barsaat Ki Raat,"Mohammed Rafi, Manna"
Nahin Bhulegi Woh Barsat Ki Rat,Barsaat Ki Raat,Mohammed Rafi
Zindagi Bhar Nahi Bhoolegi,Barsaat Ki Raat,Mohammed Rafi
Chali Chali Re Patang,Bhabhi,Lata Mangeshkar
Is Bhari Duniya Mein,Bharosa,Mohammed Rafi
Yeh Jhuke Jhuke Naina,Bharosa,Mohammed Rafi
Dil Jo Na Keh Saka,Bheegee Raat,Mohammed Rafi
Govinda Aala Re Aala,Bluff Master,Mohammed Rafi
Diwana Mastana Hua Dil,Bombai Ka Babu,"Mohammed Rafi, Asha Bhosle"
Saathi Na Koi Manzil,Bombai Ka Babu,Mohammed Rafi
Aajkal Tere Mere Pyar Ke Charche,Brahmachari,Mohammed Rafi
Chakke Men Chakka Chakke Pe Gaadi,Brahmachari,Mohammed Rafi
Dil Ke Jharokhe Mein,Brahmachari,Mohammed Rafi
Ankhon Hi Ankhon Mein,C.I.D.,"Mohammed Rafi, Geeta Dutt"
Aye Dil Hai Mushkil Jeena Yahan,C.I.D.,"Mohammed Rafi, Geeta Dutt"
Leke Pahla Pahla Pyar,C.I.D.,Mohammed Rafi
Chadhti Jawani Meri Chaal Mastani,Caravan,Lata Mangeshkar
Goriya Kahan Tera Des Re,Caravan,"Mohammed Rafi, Asha Bhosle"
Kitna Pyara Wada Hai,Caravan,Lata Mangeshkar
Simti Hui Yeh Ghadiyan,Chambal Ki Kassam,Lata Mangeshkar
Aaja Teri Yaad Aayee,Charas,Lata Mangeshkar
Chaudhvin Ka Chand Ho,Chaudhvin Ka Chand,Mohammed Rafi
Baar Baar Dekho Hazar Baar Dekho,China Town,Mohammed Rafi
Teri Aankhon Ke Siva,Chirag,Mohammed Rafi
Man Re Tu Kahe Na Dheer Dhare,Chitralekha,Mohammed Rafi
Ek Daal Par Tota Bole,Chor Machaye Shor,Lata Mangeshkar
Sa Re Ga Ma,Chupke Chupke,Kishore Kumar
Na Tu Zameen Ke Liye,Dastaan,Mohammed Rafi
Khuda Bhi Aasman Se,Dharti,Mohammed Rafi
Bolo Bolo Kuchh To Bolo,Dil Deke Dekho,Mohammed Rafi
Dil Deke Dekho Dil Deke Dekho,Dil Deke Dekho,Mohammed Rafi
Hum Aur Tum Aur Ye Sama,Dil Deke Dekho,Mohammed Rafi
Koi Sagar Dil Ko Bahlata Nahin,Dil Diya Dard Liya,Mohammed Rafi
Yaad Na Jaye Beete Dinon Ki,Dil Ek Mandir,Mohammed Rafi
Dil Ne Phir Yaad Kiya,Dil Ne Phir Yaad Kiya,"Mohammed Rafi, Suman Kalyanpur, Mukesh"
Dil Tera Diwana Hai Sanam,Dil Tera Deewana,Lata Mangeshkar
Mujhe Kitna Pyar Hai Tumse,Dil Tera Deewana,Lata Mangeshkar
Naseeb Men Jiske Jo Likha Tha,Do Badan,Mohammed Rafi
Raha Gardishon Mein Hardam,Do Badan,Mohammed Rafi
Tumhari Nazar Kyon Khafa Ho Gayi,Do Kaliyan,Lata Mangeshkar
Chup Gaye Sare Nazare,Do Raaste,Lata Mangeshkar
Dil Ne Dil Ko,Do Raaste,Mohammed Rafi
Yeh Reshmi Zulfen,Do Raaste,Mohammed Rafi
Chal Kahin Door Nikal Jayen,Doosara Aadmi,Lata Mangeshkar
Chahoonga Main Tujhe,Dosti,Mohammed Rafi
Janewalo Zara Mudke Dekho,Dosti,Mohammed Rafi
Mera To Jo Bhi Kadam,Dosti,Mohammed Rafi
Meri Dosti Mera Pyar,Dosti,Mohammed Rafi
Raahi Manwa Dukh Ki Chinta,Dosti,Mohammed Rafi
Suhani Raat Dhal Chuki,Dulari,Mohammed Rafi
Aap Yun Hi Agar Humse Milte Rahe,Ek Musafir Ek Hasina,"Asha Bhosle, Mohammed Rafi"
Bahut Shukriya Badi Meherbani,Ek Musafir Ek Hasina,"Asha Bhosle, Mohammed Rafi"
Main Pyar Ka Rahi Hoon,Ek Musafir Ek Hasina,"Asha Bhosle, Mohammed Rafi"
Parda Hata Do,Ek Phool Do Mali,"Asha Bhosle, Mohammed Rafi"
Ham Tum Se Juda Hoke,Ek Sapera Ek Lutera,Mohammed Rafi
Hum Tumse Juda Hoke,Ek Sapera Ek Lutera,Mohammed Rafi
Baar Baar Din Ye Aaye,Farz,Mohammed Rafi
Mast Baharon Ka Main Aashiq,Farz,Mohammed Rafi
Tumse O Haseena,Farz,Mohammed Rafi
Rang Aur Noor Ki Barat,Gazal,Mohammed Rafi
Mere Mitwa Mere Meet Re,Geet,"Lata Mangeshkar, Mohammed Rafi"
Botal Se Ik Baat Chali,Ghar,"Asha Bhosle, Mohammed Rafi"
Husnwale Tera Jawab Nahin,Gharana,Mohammed Rafi
Tu Mere Sapnon Ki Rani Banegi,Gora Aur Kala,Mohammed Rafi
Din Dhal Jaye Haye,Guide,Mohammed Rafi
Kya Se Kya Ho Gaya Bewafa,Guide,Mohammed Rafi
Tere Mere Sapne Ab Ek Rang Hain,Guide,Mohammed Rafi
Hum Kale Hai To,Gumnaam,"Mohammed Rafi, Mahmood"
Naina Lad Jaihen,Gunga Jumna,Mohammed Rafi
Wada Kar Le Sajna,Haath Ki Safai,Lata Mangeshkar
Nafrat Ki Duniya Ko Chhod Ke,Haathi Mere Saathi,Mohammed Rafi
Aaja Ki Intezar Mein,Halaku,"Mohammed Rafi, Talat"
Mujhko Apne Gale Laga Lo,Hamrahi,Mohammed Rafi
Tum Jo Mil Gaye Ho,Hanste Zakhm,"Mohammed Rafi, Lata Mangeshkar"
Yeh Mana Meri Jan Mohabbat,Hanste Zakhm,"Mohammed Rafi, Balbir"
Hoke Majboor Mujhe,Haqeeqat,"Mohammed Rafi, Talat"
Bekhudi Mein Sanam,Hasina Maan Jayegi,Lata Mangeshkar
Chale The Saath Milkar,Hasina Maan Jayegi,Mohammed Rafi
O Dilbar Janiye,Hasina Maan Jayegi,Mohammed Rafi
Teri Galiyon Mein,Hawas,Mohammed Rafi
Yeh Duniya Yeh Mehfil,Heer Raanjha,Mohammed Rafi
Abhi Na Jao Chhod Kar,Hum Dono,"Asha Bhosle, Mohammed Rafi"
Kabhi Khud Pe Kabhi Halat Pe Rona,Hum Dono,Mohammed Rafi
Main Zindagi Ka Saath Nibhata,Hum Dono,Mohammed Rafi
Chand Mera Dil Chandni Ho Tum,Hum Kisi Se Kum Nahin,Mohammed Rafi
Hum Kisi Se Kum Nahin,Hum Kisi Se Kum Nahin,"Mohammed Rafi, Asha Bhosle"
Kya Hua Tera Vada,Hum Kisi Se Kum Nahin,"Mohammed Rafi, Sushma Shreshtha"
Ye Ladka Hay Allah Kaisa Hai Diwana,Hum Kisi Se Kum Nahin,"Asha Bhosle, Mohammed Rafi"
Dil Ki Aawaz Bhi Sun,Hum Saya,Mohammed Rafi
Dhal Gaya Din Ho Gayi Sham,Humjoli,"Asha Bhosle, Mohammed Rafi"
Haye Re Haye,Humjoli,Lata Mangeshkar
Hum Tumhare Liye,Intaqam,Lata Mangeshkar
Yeh Dil Diwana Hai,Ishq Par Zor Nahin,Lata Mangeshkar
Ye Dil Tum Bin Lagta Nahin,Izzat,Lata Mangeshkar
Tere Haathon Mein,Jaani Dushman,"Mohammed Rafi, Asha Bhosle"
Affoo Khudaya,Jab Jab Phool Khile,Mohammed Rafi
Ek Tha Gul Aur Ek Thi Bulbul,Jab Jab Phool Khile,"Mohammed Rafi, Nanda"
Na Na Karte Pyar Tumhin Se,Jab Jab Phool Khile,Mohammed Rafi
Pardesiyon Se Na Ankhiyan Milana,Jab Jab Phool Khile,Mohammed Rafi
Yahan Main Ajnabi Hoon,Jab Jab Phool Khile,Mohammed Rafi
Jab Pyar Kisi Se Hota Hai,,Mohammed Rafi
Jab Pyar Kisi Se Hota Hai,Jab Pyar Kisi Se Hota Hai,Mohammed Rafi
Sau Saal Pahle,Jab Pyar Kisi Se Hota Hai,Lata Mangeshkar
Teri Zulfon Se Judai To,Jab Pyar Kisi Se Hota Hai,Mohammed Rafi
Uff Umma,Jab Pyar Kisi Se Hota Hai,Mohammed Rafi
Hum Laye Hain Toofan Se,Jagriti,Mohammed Rafi
Lal Chhadi Maidan Khadi,Janwar,Mohammed Rafi
Tumse Achchha Kaun Hai,Janwar,Mohammed Rafi
Aa Mere Humjoli Aa,Jeene Ki Raah,Lata Mangeshkar
Aane Se Uske Aaye Bahar,Jeene Ki Raah,Mohammed Rafi
Jhilmil Sitaron Ka Angan Hoga,Jeevan Mrityu,Lata Mangeshkar
Dil Pukare Aare Aare,Jewel Thief,Lata Mangeshkar
Kahan Chal Diye Idhar To Aao,Jhuk Gaya Aasman,Mohammed Rafi
Kaun Hai Jo Sapnon Mein Aaya,Jhuk Gaya Aasman,Mohammed Rafi
Aai Aai Aa Sukoo Sukoo,Junglee,Mohammed Rafi
Din Sara Guzara Tore Angana,Junglee,Lata Mangeshkar
Ehsan Tera Hoga Mujh Par,Junglee,Mohammed Rafi
Yahoo Chahe Mujhe Koi Junglee Kahen,Junglee,Mohammed Rafi
Dekhi Zamane Ki Yaari,Kaagaz Ke Phool,Mohammed Rafi
Chhoo Lene Do Nazuk Honthon Ko,Kaajal,Mohammed Rafi
Bahon Mein Teri Masti Ke Ghere,Kaala Patthar,Lata Mangeshkar
Apni To Har Aah Ek Toofan Hai,Kala Bazar,Mohammed Rafi
Khoya Khoya Chand Khula Aasman,Kala Bazar,Mohammed Rafi
Rimjhim Ke Tarane Leke Aai Barsaat,Kala Bazar,"Mohammed Rafi, Geeta Dutt"
Achha Ji Main Haari Chalo,Kala Pani,"Asha Bhosle, Mohammed Rafi"
Hum Bekhudi Mein Tum Ko Pukare,Kala Pani,Mohammed Rafi
Laagi Chhoote Na Ab To Sanam,Kali Topi Lal Rumal,Mohammed Rafi
Likhe Jo Khat Tujhe,Jab Pyar Kisi Se Hota Hai,"Asha Bhosle, Mohammed Rafi"
Likhe Jo Khat Tujhe,Kanyadaan,Mohammed Rafi
Dard-E-Dil Dard-E-Jigar,Karz,Mohammed Rafi
Diwana Hua Badal,Kashmir Ki Kali,"Asha Bhosle, Mohammed Rafi"
Hai Duniya Usiki Zamana Usika,Kashmir Ki Kali,Mohammed Rafi
Isharon Isharon Men Dil Lenewale,Kashmir Ki Kali,"Asha Bhosle, Mohammed Rafi"
Kahin Na Kahin Dil Lagana Padega,Kashmir Ki Kali,Mohammed Rafi
Meri Jaan Balle Balle,Kashmir Ki Kali,"Asha Bhosle, Mohammed Rafi"
Subhanallah Haseen Chehra,Kashmir Ki Kali,Mohammed Rafi
Taarif Karoon Kya Uski,Kashmir Ki Kali,Mohammed Rafi
Badi Der Bhai Nandlala,Khandan,Mohammed Rafi
Khilona Jan Kar Tum To,Khilona,Mohammed Rafi
Khush Rahe Tu Sada,Khilona,Mohammed Rafi
Do Sitaron Ka Zameen Par,Kohinoor,Lata Mangeshkar
Madhuban Mein Radhika Nache Re,Kohinoor,Mohammed Rafi
Chana Jor Garam,Kranti,Lata Mangeshkar
