Song,Film/Album,Artists
Otho Otho Surjai,Aami Aalpanaa Enke Jaai,Alpana Banerjee
Akashe Aaj Ranger Khela,Aakashe Aaj Ranger Khela,Asha Bhosle
Palasher Kane Kane,Akash Kusum Diye Ami,Lalita Dharchowdhury
Besh To Na Hoy,All Time Greats,Tarun Banerjee
Meghla Meye Megheri Saj Porechhe,All Time Great Manna Dey,Manna Dey
Chalo Rina Casurinar,All Time Greats,Tarun Banerjee
Aaro Katodin Ami Khunjechhi Tomake,All Time Greats,Arati Mukherjee
Ei Mom Jochhonay Ango Bhijiye Eso Na,All Time Greats,Arati Mukherjee
Aaynate Mukh Dekhbo Na,All Time Greats,Arati Mukherjee
Jale Nebo Na,All Time Greats,Arati Mukherjee
Banya Banya E Aranya,All Time Greats,Arati Mukherjee
Kagajer Phul Bole,All Time Greats,Nirmala Mishra
Chalo Aaj Kichhu Path Chole Jai,All Time Greats,Nirmala Mishra
Shesh Dekha Sei Raate,Amar Gaaner Swaralipi,Pintoo Bhattacharya
Ekta Gaan Likho Amar Janyo,All Time Greats,Pratima Banerjee
Amay Bansher Banshi Dao Bajate,Bengali Modern Songs,Nirmala Mishra
Elo Barasha Je [ Rim Jhim Jhim Gaan ],All Time Greats,Satinath Mukherjee
Emon Ekti Jhinuk Khunje,Bengali Modern Songs,Nirmala Mishra
Jadi Akash Hoto Ankhi,All Time Greats,Arati Mukherjee
Ei Raat E Akash,Bengali Modern Songs,Shyamal Mitra
Keno Ele Balo Tai,All Time Greats,Nirmala Mishra
Nilanjona Re,Bengali Songs,Tarun Banerjee
Nach Mayuri Nach Re,All Time Greats,Asha Bhosle
Anek Durer Oi Je Akash,Best Of Sandhya Mukherjee,Sandhya Mukherjee
Sonar Haate Sonar,All Time Greats,Satinath Mukherjee
Putul Nebe Go [1 and 2],Bhanu Pelo Lottery,Manabendra Mukherjee
Taar Churite Je Rekhechhi Mon,All Time Greats,Manabendra Mukherjee
Bendhona Phulomala Dore,Bilambita Loy,"Manna Dey, Arati Mukherjee"
Tapur Tupur Sara Dupur,All Time Greats,Arati Mukherjee
Ek Baishakhe Dekha Holo Dujanay,Bilambita Loy,Arati Mukherjee
Tomar Deoya Anguriyo,All Time Greats,Pratima Banerjee
Malati Bhramore Kare Oi Kanakani,Bondhu,Hemanta Mukherjee
Bolte Tumi Paro,All Time Greats,Arati Mukherjee
Mou Bone Aaj Mou Jomechhe,Bondhu,Hemanta Mukherjee
Chhi Chhi Chhi Eki Kando,All Time Greats Banasree,Banasree Sengupta
Bahudin Pare Bhramar Esechhe,Bonpalasir Padabali,Utpala Sen
Gaan Geye Phire Gechhi,All Time Greats Dhananjoy,Dhananjay Bhattacharya
E Noy Phoolsajya,Bonpalasir Padabali,Adhir Bagchi
O Bhaber Nagari,Bonpalasir Padabali,"Manna Dey, Swapna Dasgupta"
Bani Bani Bani,Brojobuli,Manna Dey
Chotto Pakhi Chandana,Chandrani Chhotto Chhotto,Chandrani Mukherjee
Moynar Ma Moina Moti,Chandrani Chhotto Chhotto,"Chandrani Mukherjee, Manna Dey, Sandhya Mukherjee"
Ei Je Kachhe Daka,Chaoa Paoa,Sandhya Mukherjee
Jodi Bhabo E To Khela Ghar,Chaoa Paoa,Hemanta Mukherjee
Aaj Keno O Chokhe Laj Keno,Chayanika,Sandhya Mukherjee
Aamar Bhalobasar Rajprasade,Chayanika,Manna Dey
Ka Phonta Chokher Jal Phelechho,Chayanika,Manna Dey
Mayaboti Meghe Elo Tandra,Chayanika,Sandhya Mukherjee
Nebo Na Sonar Chanpa,Chayanika,Sandhya Mukherjee
Ogo Sindur Ranga Megh,Chayanika,Sandhya Mukherjee
Tara Jhilmil Swapna Michhil,Chayanika,Sandhya Mukherjee
Tumi Jodi Dakte Paro,Chayanika,Sandhya Mukherjee
"Lajja , Mori Mori Eki Lajja",Chayanika Mone Rakha,Arati Mukherjee
Tomake Swapne Dekheo Sukh [1],Chhinna Patra,Arati Mukherjee
Nadir Jemon Jharna Aachhe,Chhutir Phande,Arati Mukherjee
Phul Pakhi Bondhu Amar Chhilo,Chirodiner,Manna Dey
Ami Abhisare Jabo,Chirodiner,Sandhya Mukherjee
Lal Neel Sabujeri Mela,Chirodiner,Manna Dey
Manush Khun Hole Pore,Chirodiner,Manna Dey
Tumi Amar Chirodiner,Chirodiner,"Manna Dey, Sandhya Mukherjee, Chandrani Mukherjee"
Amar Gaaner Swaralipi Lekha Rabe,Chyanika,Hemanta Mukherjee
Kon Pakhi Dhara Dite Chaaye,Chyanika,Hemanta Mukherjee
Bou Katha Kao,Dhanyi Meye,Arati Mukherjee
E Byatha Ki Je Byatha,Dhanyi Meye,Hemanta Mukherjee
Radhe Monta Rekhe Eli,Dhanyi Meye,Hemanta Mukherjee
Sab Khelar Sera Bangalir,Dhanyi Meye,"Manna Dey, Chorus, Nirmala Mishra"
Pahare Bikel Naame,Emon Ekra Jhinuk Khunje,Nirmala Mishra
Aaj Dujane Mando Hole,Fariyad,Asha Bhosle
Nach Achhe Gaan Achhe,Fariyad,Asha Bhosle
Se Amar Buk Bharano,Fariyad,Arati Mukherjee
Anek Prasangsa Ajasra Haattali [2],Hotel Snow Fox,Manna Dey
Durer Tumi Aaj,Indrani,Geeta Dutt
Jhanak Jhanak Kanak Knakan,Indrani,Geeta Dutt
Neer Chhoto Kshati Nei,Indrani,"Hemanta Mukherjee, Geeta Dutt"
Ogo Sundar Jano Naki,Indrani,Geeta Dutt
Sabhi Kuchh Lutakar,Indrani,Mohd.Rafi
Surjyo Dobar Pala Ase Jadi,Indrani,Hemanta Mukherjee
Ekgochha Rajonigandha,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Jodi Jante Chao Tumi,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Megh Kalo Andhar Kalo,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Tarpar Tar Aar Par Nei,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Bone Noy Mone Mor,Manabendra All Time Greats,Manabendra Mukherjee
O Amar Chandramallika,Manabendra All Time Greats,Manabendra Mukherjee
Tumi Ekjoni Shudhu Bondhu Amar,Manna Dey Chirasathi,Manna Dey
Besh Korechhi Prem,Mouchak,Asha Bhosle
Ebar Mole Suto Hobo,Mouchak,Manna Dey
