Song,Film/Album,Artists
Shatabdi Baran,Agami Prithivi Shono,"Manna Dey, Haimanti Sukla, Indrani Sen, Swagatalakshmi, Dasgupta, Lopamudra Mitra, Srikanto Acharya"
Bater Jhuri Beye,Annaya Haoa,Lopamudra Mitra
Chhele Belar Bristi,Annaya Haoa,Lopamudra Mitra
Hein Go Ma Durga,Annaya Haoa,Lopamudra Mitra
Anek Shahar Gram Chhariye,Best Of Lopamudra Mitra,"Lopamudra Mitra, Nachiketa Chakraborty"
Barho Bedam Chutchhe,Best Of Lopamudra Mitra,Lopamudra Mitra
Bendar Katha,Best Of Lopamudra Mitra,Lopamudra Mitra
Bendar Katha,,Lopamudra Mitra
Dere Nana,Best Of Lopamudra Mitra,Lopamudra Mitra
Hallaraja,Best Of Lopamudra Mitra,Lopamudra Mitra
Jao Pakhi,Best Of Lopamudra Mitra,Lopamudra Mitra
Mushkil Aasan,Best Of Lopamudra Mitra,Lopamudra Mitra
Phurai Na,Best Of Lopamudra Mitra,Lopamudra Mitra
Rajar Uthan,Best Of Lopamudra Mitra,Lopamudra Mitra
Sakale Uthiya Ami,Best Of Lopamudra Mitra,Lopamudra Mitra
Sankota Dulchhe,Best Of Lopamudra Mitra,Lopamudra Mitra
Sankota Dulchhe,,Lopamudra Mitra
Abishwaser Rin,Best Of Nachiketa,Nachiketa Chakraborty
Ambition,Best Of Nachiketa,Nachiketa Chakraborty
Andhakar Sarani Dhore,Best Of Nachiketa,Nachiketa Chakraborty
Anirban,Best Of Nachiketa,Nachiketa Chakraborty
Antabihin Path Chalai Jiban Shudhu,Best Of Nachiketa,Nachiketa Chakraborty
Box Office,Best Of Nachiketa,Nachiketa Chakraborty
Daktar,Best Of Nachiketa,Nachiketa Chakraborty
Eka Eka Path Chala,Best Of Nachiketa,Nachiketa Chakraborty
Ekla Cholte Hoy,Best Of Nachiketa,Nachiketa Chakraborty
Eri Naam Holo,Best Of Nachiketa,Nachiketa Chakraborty
Hoyto Karo Buke Matha Rekhe,Best Of Nachiketa,Nachiketa Chakraborty
Jaiona Jaiona Kanya,Best Of Nachiketa,Nachiketa Chakraborty
Jibito Bibahito,Best Of Nachiketa,Nachiketa Chakraborty
Kalo Meye,Best Of Nachiketa,Nachiketa Chakraborty
Kapal Amar Mondo,Best Of Nachiketa,Nachiketa Chakraborty
Kare Michhil,Best Of Nachiketa,Nachiketa Chakraborty
Madarir Gaan,Best Of Nachiketa,Nachiketa Chakraborty
Matha Debo Na,Best Of Nachiketa,Nachiketa Chakraborty
Nilame Uthchhe Desh,Best Of Nachiketa,Nachiketa Chakraborty
Pacemaker,Best Of Nachiketa,Nachiketa Chakraborty
Pagla Jagai,Best Of Nachiketa,Nachiketa Chakraborty
Pagla Jagai,Best Of Lopamudra Mitra,Nachiketa Chakraborty
Pheriwala,Best Of Nachiketa,Nachiketa Chakraborty
Poulami,Best Of Nachiketa,Nachiketa Chakraborty
Rajashree,Best Of Nachiketa,Nachiketa Chakraborty
Sarkari Karmachari,Best Of Nachiketa,Nachiketa Chakraborty
Swadhinata,Best Of Nachiketa,Nachiketa Chakraborty
Ulto Rajar Deshe,Best Of Nachiketa,Nachiketa Chakraborty
201 Dharmatalla,Best Of Nachiketa,Nachiketa Chakraborty
Achena E Sahare,Best Of Nachiketa,Nachiketa Chakraborty
Ahare,Best Of Nachiketa,Nachiketa Chakraborty
Amar Buker Jwala,Best Of Nachiketa,Nachiketa Chakraborty
Andhar Bhora Raati,Best Of Nachiketa,Nachiketa Chakraborty
Anya Premer Gaan,Best Of Nachiketa,Nachiketa Chakraborty
Baaro Taka,Best Of Nachiketa,Nachiketa Chakraborty
Basbei Bhalo,Best Of Nachiketa,Nachiketa Chakraborty
Bhoy,Best Of Nachiketa,Nachiketa Chakraborty
Chal Jabo Toke Niye,Best Of Nachiketa,Nachiketa Chakraborty
Dulchhe Haoay,Best Of Nachiketa,Nachiketa Chakraborty
Ei Agune Haat Rakho,Best Of Nachiketa,Nachiketa Chakraborty
Ei To Jibon,Best Of Nachiketa,Nachiketa Chakraborty
Ek Din Jhar Theme Jabe,Best Of Nachiketa,Nachiketa Chakraborty
Ekdin Jaboi Chole,Best Of Nachiketa,Nachiketa Chakraborty
Ghum Aay Re Aay,Best Of Nachiketa,Nachiketa Chakraborty
Jibaner Sabtai,Best Of Nachiketa,Nachiketa Chakraborty
