Song,Film/Album,Artists
Ore Jhar Neme Aay,Aaj Jyotsnaratey Sobai,Sagar Sen
Ogo Bhagyadebi,Aapan Mone Srabani Sen,Srabani Sen
Gram-Chhara Oi Ranga Matir Path,Aji Kon Sure Bandhibo,Suchitra Mitra
Darun Agnibane Re,Aakashe Patiya Kaan,Pijushkanti Sarkar
Bandh Bhenge Dao,Amader Jatra Holo Suru,"Tarun Banerjee, Shyamal"
Kato Je Tumi Monohar,Aamar Mukti Aloy Aloy,Suchitra Mitra
Mora Satyer Pare Mon,Amader Jatra Holo Suru,Kanika Banerjee
Amal Dhabal Pale Legechhe,Aapan Mone Srabani Sen,Srabani Sen
Amader Santiniketan,Amader Jatra Holo Suru,"Dwijen Mukherjee, Kanika Banerjee, Others"
Sei To Basanta Phire Elo,Abismaraniyo Debabrata,Debabrata Biswas
Je Ami Oi,Ami Kebal Geye Berai,Rajasree Bhattacharya
Shyamolo Shobhon Srabon,Aditi Gupta Gitabitan,Aditi Gupta
Aay Re Mora Fashal Kati,Ami Ki Gaan Gabo Je,Sagar Sen
Biday Niye Giyechhilem,Ahobhan,Manoj Murali Nair
Hey Akash Bihari Nirad,Anusthanik Rabindra,Geeta Sen
"E Ki Maya, Lukao Kaya",Ahobhan,Manoj Murali Nair
Nai Nai Bhoy Hobe Hobe,Ashoketaru Tomar Beenai,Ashoketaru Banerjee
Enechho Oi Shirish Bakul,Ahobhan,Manisha Murali Nair
"Ogo Nadi, Apan Bege Pagal-Para",Baje Ramyabeena,Lopamudra Mitra
Kakhan Badal Chhonya Lege,Ahobhan,Manoj Murali Nair
Se Kon Pagol,Basaye Phera Daner Shabda,Ashoketaru Banerjee
Ora Akarane Chanchal,Ahobhan,Manoj Murali Nair
Chhilo Je Paraner Andhakare,Bengali Tagore Songs,Purabi Mukherjee
Amar Mallika Bone,All Time Greats,Kanika Banerjee
Madhur Madhur Dhwani Baje,Bhalobasa E Ki Laabanye,Swapna Ghoshal
Ami Sraban-Akashe Oi Diyechhi Pati,All Time Greats,Pankaj Kumar Mullick
Jaago Alasa Shayana Bilagna,Bichitrita,Agnibha Banerjee
Ogo Saontali Chhele,All Time Greats,Sumitra Sen
Bishwavidyatirthaprangan Karo,Bishwa Bandanay Manab,Sunanda Ghosh
Ogo Tumi Panchadashi,All Time Greats,Pankaj Kumar Mullick
Ami Keboli Swapan Korechhi Bapan,Chayanika,Swapna Ghoshal
Saghan Gahan Raatri,All Time Greats,Hemanta Mukherjee
Tomar Holo Shuru Amar Holo Sara,Chayanika,Hemanta Mukherjee
Anek Diner Moner Manush,All Time Greatsmore Gems,Sumitra Sen
Aami Ki Gaan Gabo Je,Ami Ki Gaan Gabo Je,Sagar Sen
Kichhu Bolbo Bole Esechhilem,Amra Dujana Arundhati Holme Chowdhury And Sivaji,Sivaji Chatterjee
Kichhu Bolbo Bole Esechhilem,Amra Dujana Arundhati,Sivaji Chatterjee
Se Ki Bhabe Gopan Rabe,Amra Dujana Arundhati Holme Chowdhury And Sivaji,Arundhati Holme Chowdhury
Se Ki Bhabe Gopan Rabe,Amra Dujana Arundhati,Arundhati Holme Chowdhury
Bedona Ki Bhashay Re,Antabihin Path Shreya,Shreya Guhathakurta
Dekho Dekho Shuktaraa,Antabihin Path Shreya,Shreya Guhathakurta
Kotha Je Udhao Holo,Arati Mukherjee Tagore,Arati Mukherjee
Neel Nabaghane Asharhgagane,Arghya Sen Pada Prante,Arghya Sen
Aaj Bari Jhare Jharo Jharo,Badal Megh,Sagar Sen
Pub-Sagarer Paar Hote,Badal Megh,Arghya Sen
Esechhile Tobu Aaso Nai Janaye Gele,Bajilo Kahar Beena,Ritu Guha
Akash Hotey Khaslo Tara,Bani Tabo Dhay Suchitra,Suchitra Mitra
Ei Kathatai Chhilem Bhule,Bani Tabo Dhay Suchitra,Suchitra Mitra
Kusume Kusume Charonchinha,Baro Asha Kore Ese Chigo,Asha Bhosle
Chena Phuler Gandhasrote,Barsha Aase Basanta,Sugata Sen
Amar Bone Bone Dharlo Mukul,Barshaa Aasey Basanta,Roma Mondal
Megher Kole Kole Jay Re Chole,Barshaa Aasey Basanta,Roma Mondal
Neel Akasher Kone Kone,Barshaa Aasey Basanta,Roma Mondal
Asharh Kotha Hote Aaj,Barshar Gaan,Santanu Roychowdhury
Asharhsandhya Ghaniye Elo,Barshar Gaan,Hemanta Mukherjee
Bhebechhilem Asbe Phire,Barshar Gaan,Bani Tagore
