Song,Film/Album,Artists
Amar Jadi-I Bela Jay Go Boye,Aaj Jyotsnaratey Sobai,
Ore Jhar Neme Aay,Aaj Jyotsnaratey Sobai,Sagar Sen
Ekla Bose Hero Tomar Chhabi,Aakul Aaloy Rahul Mitra,Rahul Mitra
O Chand Tomay Dola Debe Ke,Aaji E Basante Tagore Songs,Arghya Sen
Mon Jane Monomohan Aailo,Aakul Aaloy Rahul Mitra,Rahul Mitra
Darun Agnibane Re,Aakashe Patiya Kaan,Pijushkanti Sarkar
Pran Chay Chokshu Na Chay,Aalo,"Sampa Kundu, Others"
Kato Je Tumi Monohar,Aamar Mukti Aloy Aloy,Suchitra Mitra
"Badhu, Michhe Raag Koro Na",Aapan Mone Srabani Sen,Srabani Sen
Amal Dhabal Pale Legechhe,Aapan Mone Srabani Sen,Srabani Sen
Tumi Jeyo Na,Aapan Mone Srabani Sen,Srabani Sen
Sei To Basanta Phire Elo,Abismaraniyo Debabrata,Debabrata Biswas
"Sakhi, Oi Bujhi Banshi Baje",Abhisar,Rezwana Chowdhury Bannya
Shyamolo Shobhon Srabon,Aditi Gupta Gitabitan,Aditi Gupta
Ek Din Chine Nebe Tare,Abismaraniyo Debabrata,Aditi Gupta
Biday Niye Giyechhilem,Ahobhan,"Manoj Murali Nair, Manisha Murali Nair"
"E Ki Maya, Lukao Kaya",Ahobhan,Manoj Murali Nair
Hey Kshaniker Atithi,Adhara Madhuri Tagore,Hemanta Mukherjee
Enechho Oi Shirish Bakul,Ahobhan,Manisha Murali Nair
Dekh Cheye Dekh Tora,Aditi Gupta Gitabitan,Aditi Gupta
Kakhan Badal Chhonya Lege,Ahobhan,Manoj Murali Nair
Ha Shokhi O Adore,Aditi Gupta Gitabitan,Aditi Gupta
Ora Akarane Chanchal,Ahobhan,"Manoj Murali Nair, Manisha Murali Nair"
Purano Sei Diner Kotha,Agnishwar,Hemanta Mukherjee
Amar Mallika Bone,All Time Greats,Kanika Banerjee
Aaro Ektu Boso Tumi,Akashbhara Surya Tara,Debabrata Biswas
Aaj Jemon Kore Gaichey Akash,All Time Great,Kanika Banerjee
Ami Je Gaan Gaai Jani Ne,All Time Greats,Sagar Sen
Ami Tomar Preme Habo Sabar,All Time Greats,Sagar Sen
Charan Rekha Tabo Je Pathe,All Time Greats,Chinmoy Chatterjee
Oi Janalar Kachhe Bose Achhe,All Time Greats,Dwijen Mukherjee
"Sakhi, Bhabana Kahare Bale",All Time Greats,Lopamudra Mitra
Aji Ankhi Juralo,All Time Greats Ritu Guha,Ritu Guha
Chander Hasir Bandh Bhengechhe,All Time Greatsmore Gems,Lopamudra Mitra
Chander Hasir Bandh Bhengechhe,Bhara Thak Smritisudhai,Chinmoy Chatterjee
Bhalo Jodi Baso Sakhi,Alo Amar Alo Ogo,Chinmoy Chatterjee
Amaro Prane Gabhira,Aloke Adhare,Tanusree Basu Sarkar
Aaji Godhuli-Lagane,Amar Apan Gan,Subinoy Roy
Amar Apon Gaan Amar Agochare,Amar Apan Gan,Subinoy Roy
"Pathik Paran, Chal, Chal Se Pathe Tui",Amay Thakte De,Sagar Sen
"Tomar Gopan Kathati, Sakhi",Amay Thakte De,Sagar Sen
Lukaale Bolei Khunje,Apan Pane Chahi Rezwana,Rezwana Chowdhury Bannya
Trishnar Shanti Sundarkanti,Arup Tomar Bani,"Kanan Devi, Hemanta Mukherjee"
Amar Paran Loye,Aye Aye Re Pagal Rahul,Rahul Mitra
Amar Paran Loye,Charanarekha Tabo,Sudeshna Mitra
"Bondhuya, Asamoye Keno",Baandhanhara Gaan Jayati,Jayati Acharya
Bendhechho Premer Pashe,Bajao Tumi Kabi,"Santidev Ghosh, Hemanta Mukherjee"
Dheere Dheere Prane Amar Eso Hey,Banani Ghosh Tagore Songs,Banani Ghosh
Amar Mon Manne Na,Baro Asha Kore Ese Chigo,Asha Bhosle
Amar Mon Manne Na,,Asha Bhosle
Tumi Kon Kananer Phul,Baro Asha Kore Ese Chigo,Asha Bhosle
Tumi Kon Kananer Phul,,Asha Bhosle
Aaji Dakshin Pabane,Basanta,Kanika Banerjee
Chaitrapabane Mamo Chittobone,Basante,Hemanta Mukherjee
Ore Aamar Hriday Aamar,Bengali Songs,Chittapriya Mukherjee
Ore Aamar Hriday Aamar,Chayanika Tagore Songs,Krishna Guhathakurata
Gopan Kathati Rabe Na Gopane,Bhalobasha Bhalobasha,"Santu Mukherjee, Others"
Chhutir Banshi Bajlo,Bhara Thak Smritisudhai,Chinmoy Chatterjee
Bahir Pathe Bibagi Hiya,Bibagi Hiya,Kamalini Mukherjee
Gaanguli Mor Shoibaleri Dol,Bibagi Hiya,Kamalini Mukherjee
Bhalobeshe Sakhi Nibhrite Jatane,Bipul Taranga Shreya,Shreya Guhathakurta
Bone Jadi Phutlo Kusum,Bipul Taranga Shreya,Shreya Guhathakurta
Asa Jaoar Majhkhane,Bishsaye Lopamudra Mitra,Lopamudra Mitra
Emono Dine Tare Bala Jay,Brishti Ashey Kamalini,"Kamalini Mukherjee, Rezwana Chowdhury Bannya"
Anantasagarmajhe,Charanarekha Tabo,Sudeshna Mitra
Ami Chini Go Chini Tomare,Charulata,Kishore Kumar
E Pathe Ami Je Gechhi Bar Bar,Chayanika,Hemanta Mukherjee
Tumi Mor Pao Nai Parichay,Chayanika Songs Of Tagore,"Hemanta Mukherjee, Jayati Acharya"
Aami Kareo Bujhi Ne,Chayanika Tagore Songs,Geeta Sen
Aaro Kichhukhan Na Hoy Bosiyo,Chayanika Tagore Songs,Chinmoy Chatterjee
Aaro Kichhukhan Na Hoy Bosiyo,Baro Asha Kore Ese Chigo,
Ami Ashay Ashay Thaki,Chayanika Tagore Songs,Ramanuj Dasgupta
Ami Ashay Ashay Thaki,,Banani Ghosh
Ami Phul Tulite Elem Bone,Chayanika Tagore Songs,Krishna Guhathakurata
Ami Phul Tulite Elem Bone,Chinmoy Chatterjee Tagore,
Chapal Tabo Nabin,Chayanika Tagore Songs,Dwijen Mukherjee
Era Porke Apon Kare,Rabindra Sankalan Gaaner,Suchitra Mitra
Era Porke Apon Kare,Baro Asha Kore Ese Chigo,Suchitra Mitra
Era Porke Apon Kare,Chayanika Tagore Songs,Suchitra Mitra
Mamo Ruddha Mukuldale Eso,Chayanika Tagore Songs,Bithin Banerjee
"Nai Nai Nai Je Baki, Samay Amar",Chayanika,Hemanta Mukherjee
Mamo Dukkher Sadan,Chaynika,Sushil Mullick
Mamo Dukkher Sadan,Chayanika Tagore,Nilima Sen
Esechhinu Dware Tabo Shrabanorate,,Iman Chakraborty
Esechhinu Dware Tabo Shrabanorate,Chaynika,Sushil Mullick
Mor Bina Othe Kon Sure Baji,Chena Phagun,Swagatalakshmi Dasgupta
Tumi Kichu Diye Jao,Chena Phagun,Swagatalakshmi Dasgupta
Tomarei Koriyachhi Jibaoner Dhrubatara,Chetonay Robi,Mohan Singh
Aaha Jaagi Pohalo,,Chinmoy Chatterjee
Aaha Jaagi Pohalo,Chinmoy Chatterjee Hriday,Chinmoy Chatterjee
Dinsesher Ranga Mukul,Chinmoy Chatterjee And,Chinmoy Chatterjee
Ketechhe Ekela Biraher Bela,Chinmoy Chatterjee And,Chinmoy Chatterjee
Kholo Kholo Dwar,,Chinmoy Chatterjee
Kholo Kholo Dwar,Chinmoy Chatterjee And,Chinmoy Chatterjee
Mamo Joubannikunje Gahe Pakhi,Chinmoy Chatterjee Rare,Chinmoy Chatterjee
Tora Je Ja Bolish Bhaai,,Srabani Sen
Tora Je Ja Bolish Bhaai,Chinmoy Chatterjee Rare,Chinmoy Chatterjee
"Boli, O Amar Golapbala",Chinmoy Chatterjee Tagore,Chinmoy Chatterjee
Tumi Sandhyar Meghmala,Chinmoy Chatterjee Tagore,Chinmoy Chatterjee
Anek Katha Jaoje Bole,Chinmoy Chatterjee Tagore,Chinmoy Chatterjee
Man Abhiman Bhasiye Diye,Chita Chatustaya,"Aditi Mohsin, Ritu Guha"
Joyjatray Jao Go,Emono Dine Tare Bola Jaye,Sati Devi
Joyjatray Jao Go,Compilation Of Tagore,Sati Devi
Badhu Kon Alo Laaglo Chokhe,Emono Dine Tare Bola Jaye,Arundhati Holme Chowdhury
Badhu Kon Alo Laaglo Chokhe,Dadar Kirti,Arundhati Holme Chowdhury
Ami Chahite Esechhi Shudhu,Dinsesher Ranga Mukul,Chinmoy Chatterjee
Amar Dosar Je Jan,Dosar Je Jan Iman,Iman Chakraborty
Keho Karo Mon Bujhe Na,Dosar Je Jan Iman,"Chakraborty, Iman Chakraborty"
O Keno Churi Kore Chay,Dosar Je Jan Iman,Iman Chakraborty
Prem Esechhilo Nishshabdhacharane,Dosar Je Jan Iman,Iman Chakraborty
"Sakhi, Tora Dekha Ja Ebar",Chinmoy Chatterjee Hriday,Iman Chakraborty
"Sakhi, Tora Dekha Ja Ebar",Dosar Je Jan Iman,Iman Chakraborty
Kar Chokher Chaoyar,Durer Bandhu Chinmoy,Chinmoy Chatterjee
Keno Bajao Kaankan Kankan,Dwijen Mukherjee Tagore,Dwijen Mukherjee
Monomandirsundari Manimanjir Gunjari,Chinmoy Chatterjee And,Tarun Sarkar
Monomandirsundari Manimanjir Gunjari,Dwijen Mukherjee Tagore,Dwijen Mukherjee
Aami Chini Go Chini,Ei Naba Phalguner Dine,Tarun Sarkar
Akashe Aaj Kon Charaner,Ekante Tagore Songs,"Chinmoy Chatterjee, Srabani Sen"
Ke Dilo Abar Aghat,Ekla Pathe Debabrata,Debabrata Biswas
Amare Karo Tomar Beena,Ekla Pathik Pijushkanti,Pijushkanti Sarkar
Amar Ange Ange,Ekti Jiban,Swagatalakshmi Dasgupta
Bone Jodi Phutlo Kusum,Emono Dine Tare Bola Jaye,"Chinmoy Chatterjee, Aditi Mohsin"
Ki Sur Baje Amar Prane,Emono Dine Tare Bola Jaye,Aditi Mohsin
Mori Lo Mori,,Aditi Mohsin
Mori Lo Mori,Emono Dine Tare Bola Jaye,Aditi Mohsin
"Aaha, Tomar Sange Praner Khela",Esechho Prem,Kamalini Mukherjee
Mone Rabe Ki Na Rabe Amare,Esechho Prem,Kamalini Mukherjee
Premer Joware Bhasabe Donhare,Gaaner O Pare Amrita Datta,Amrita Dutta
"Esechhi Priyatoma , Khama More Khama",Ganer Surar Dhara,Kanika Banerjee
Doibe Tumi Kakhan Neshai Peye,Ganer Surer Dhara,Dwijen Mukherjee
Ki Dhwani Baje,Geeta Ghatak Ki Ragini,Geeta Ghatak
Je Chhayare Dhorbo Bole,Gems From Shantiniketan,Swastika Mukherjee
Chhinna Shikal Paye Niye Ore Pakhi,Durer Bandhu Chinmoy,Ritu Guha
Chhinna Shikal Paye Niye Ore Pakhi,Gems From Tagore,Ritu Guha
Ekhono Tare Chokhe Dekhini,Gems From Tagore,Banani Ghosh
Sunil Sagarer Shyamal Kinare,Gems From Tagore,Hemanta Mukherjee
Aar Keno Aar Keno,Gems From Tagore,Kanika Banerjee
Dhara Se Je Day Nai,Gems From Tagore,Kanika Banerjee
"De Lo, Sakhi De",Golden Hour Kanika,Kanika Banerjee
"Dujane Dekha Holo, Madhujamini Re",Golden Hour Kanika,Kanika Banerjee
"Na Na Na Dakbo Na,Dakbo Na",Golden Hour Sagar Sen,Sagar Sen
E Din Aji Kon Ghare Go,Grihadaha,Sumitra Sen
Shuni Khaney Khaney Mone Mone,Hemanta Mukherjee,Hemanta Mukherjee
Amar Nayan Tabo Nayaner,Chinmoy Chatterjee Tagore,Hemanta Mukherjee
Amar Nayan Tabo Nayaner,Hemanta Mukherjee,Hemanta Mukherjee
Ami Tomar Sange Bendhechhi Amar Pran,Hemanta Mukherjee,Hemanta Mukherjee
Ami Tomar Sange Bendhechhi Amar Pran,Rabindra Sankalan Gaaner,Hemanta Mukherjee
Ami Tomar Sange Bendhechhi Amar Pran,Baro Asha Kore Ese Chigo,Hemanta Mukherjee
Anmona Anmona,Hemanta Mukherjee,Hemanta Mukherjee
E Ki Sudharas Aane,Hemanta Mukherjee,Hemanta Mukherjee
Jakhan Esechhile Andhakare,Hemanta Mukherjee,Hemanta Mukherjee
Se Din Dujane Dulechhinu,Hemanta Mukherjee,Hemanta Mukherjee
Anek Paoar Majhe Majhe,Hemanta Mukherjee Tagore,Hemanta Mukherjee
Samay Aamar Naai Je Baaki,Hemanta Agore,Hemanta Mukherjee
Biraso Din Birolo Kaaj,Hey Nutan Rabindra Sangeet,Swagatalakshmi Dasgupta
Dekha Na Dekhay Mesha,Hits Of 2007 Tagore Songs,Srikanto Acharya
Ki Ragini Bajale,Hits Of 2007 Tagore Songs,"Nilima Sen, Rahul Mitra"
Kato Katha Tare Chhilo Bolite,Hriday Basanta Bone Love,"Lopamudra Mitra, Nilima Sen"
"Bhalobasi, Bhalobasi",,Sreeradha Banerjee
"Bhalobasi, Bhalobasi",Hriday Basanta Bone Love,
Aaji E Nirala Kunje Amar,Hriday Basanta Bone Love,Santidev Ghosh
Eso Eso Aamar Ghare Eso,Rabindrasangeeter Dhara,Chinmoy Chatterjee
Eso Eso Aamar Ghare Eso,Hriday Basanta Bone Love,Chinmoy Chatterjee
Eso Eso Aamar Ghare Eso,Baro Asha Kore Ese Chigo,Chinmoy Chatterjee
"Hey Sakha, Barata Peyechhi",Hriday Basanta Bone Love,Kanika Banerjee
Ajana Khanir Nutan Monir Genthechhi,Hriday Basanta Bone Love,Pramita Mullick
Ke Uthe Daki,Indrani Sen Alas Anyamone,Indrani Sen
Purano Janiya Cheyo Na,,Indrani Sen
Purano Janiya Cheyo Na,Indrani Sen Alas Anyamone,
Jhare Jay Ure Jaay Go,Jharajhara Barishe,"Purabi Mukherjee, Indrani Sen"
Jhare Jay Ure Jaay Go,Moho Abaran Aditi Gupta,Purabi Mukherjee
Ami Chitrangada,,Lopamudra Mitra
Ami Chitrangada,Kaan Pete Roi Lopamudra,Lopamudra Mitra
Na Chahile Jare Paoya Jay,Kaan Pete Roi Lopamudra,Lopamudra Mitra
Ja Chhilo Kalo Dhalo,Kabi Pranam Volume 2008,Sudeshna Chatterjee
