Song,Film/Album,Artists
Baje Baje Ramyabina Baje,Aaj Jyotsnaratey Sobai,Sagar Sen
Amar Jadi-I Bela Jay Go Boye,Aaj Jyotsnaratey Sobai,Sagar Sen
Uriye Dhwaja Abhrabhedi Rathe,Aaj Jyotsnaratey Sobai,Sagar Sen
Ekla Bose Hero Tomar Chhabi,Aakul Aaloy Rahul Mitra,Rahul Mitra
Yademi Prasphurannibo - Ved Gaan,Aaj Jyotsnaratey Sobai,Sagar Sen
Mon Jane Monomohan Aailo,Aakul Aaloy Rahul Mitra,Rahul Mitra
Aaji Nahi Nahi Nidra Ankhipaate,Aakasher Nir,Jayati Chakraborty
Pran Chay Chokshu Na Chay,Aalo,"Sampa Kundu, Others"
Srabaner Dharar Mato,Aalo,Arundhati Holme
"Badhu, Michhe Raag Koro Na",Aapan Mone Srabani Sen,Srabani Sen
Bipade More Raksha Karo,Aalo Aamar Aalo,"Sumitra Sen, Others"
Tumi Jeyo Na,Aapan Mone Srabani Sen,Srabani Sen
Aamar Andhar Bhalo,Aamar Andhar Bhalo,Basabi Dutta
"Sakhi, Oi Bujhi Banshi Baje",Abhisar,Rezwana Chowdhury Bannya
Bipulo Taranga Re,Aapan Mone Srabani Sen,Srabani Sen
Ek Din Chine Nebe Tare,Abismaraniyo Debabrata,Debabrata Biswas
Prochando Garjane Aasilo E Ki Durdin,Aapan Mone Srabani Sen,Srabani Sen
Adhara Madhuri Dhorechhi,Adhara Madhuri Aditi Gupta,Aditi Gupta
Sukhe Amay Rakhbe,Aapan Mone Srabani Sen,Srabani Sen
Hey Kshaniker Atithi,Adhara Madhuri Tagore,Hemanta Mukherjee
Aaji Pranami Tomare Cholibo,All Time Greats,Sagar Sen
Dekh Cheye Dekh Tora,Aditi Gupta Gitabitan,Aditi Gupta
Bimal Anande Jago Re,All Time Greats,Kanika Banerjee
Ha Shokhi O Adore,Aditi Gupta Gitabitan,Aditi Gupta
Shranta Keno Ohe Pantha,All Time Greats,Ritu Guha
Andhakarer Utso Hote Utsarito Alo,Aloy Alokmoy Karo He,Swagatalakshmi Dasgupta
Aaro Ektu Boso Tumi,Akashbhara Surya Tara,Debabrata Biswas
"Amar Andhar Bhalo, O Amar",Amar Andhar Bhalo Adity,Aditi Mohsin
Aaj Jemon Kore Gaichey Akash,All Time Great,Kanika Banerjee
Aji Bijon Ghare Nishithraate,Amar Andhar Bhalo Adity,Aditi Mohsin
Ami Je Gaan Gaai Jani Ne,All Time Greats,Sagar Sen
Ami Hridayete Path Ketechhi,Ami Ki Gaan Gabo Je,Sagar Sen
Ami Tomar Preme Habo Sabar,All Time Greats,Sagar Sen
Amare Di-I Tomar Haate,Anandadhwani Swagatal-,
Charan Rekha Tabo Je Pathe,All Time Greats,Chinmoy Chatterjee
Anandaloke Mangalaloke,Anandaloke Mangalaloke,Chorus
Oi Janalar Kachhe Bose Achhe,All Time Greats,Dwijen Mukherjee
Aaji E Anandasandhya,Anandasandhya Jayati,Jayati Chakraborty
"Sakhi, Bhabana Kahare Bale",All Time Greats,Sumitra Sen
Amar Byatha Jakhon Aane,Anandasandhya Jayati,Jayati Chakraborty
Oder Sathe Melao,Anandasandhya Jayati,Jayati Chakraborty
"Pratidin Ami,Hey Jibanswami",Anandasandhya Jayati,Jayati Chakraborty
Jodi E Amar Hridayduar,Aradhanar Gaan,Dwijen Mukherjee
Aaji Mamo Mon Chahe,Arati Mukherjee Tagore,Arati Mukherjee
Amay Bandhbe Jodi Kajer Dore,Arup Tomar Bani,"Sumitra Roy, Hemanta Mukherjee"
Amay Chha Jonay Mile Path Dekhay Bole,Ashoketaru Tomar Beenai,Ashoketaru Banerjee
Bani Tabo Dhay Ananta Gagone,Bani Tabo Dhay Suchitra,Kanika Banerjee
Tomari Jharnatalar Nirjane,Baro Asha Kore Ese Chigo,Asha Bhosle
Aaji Mamo Jibane Namichhe Dhire,Basanti Hey Bhubanmohini,Maya Sen
Aaro Aaghat Saibe,Bedona Nabo Nabo,Rahul Mitra
Ke Janito Tumi,Bedona Nabo Nabo Rahul,Rahul Mitra
Har-Mana Har,Bhalobasha Bhalobasha,Sivaji Chatterjee
Tomar Kachhe E Bor Magi,Bhalobasha Bhalobasha,"Hemanta Mukherjee, Rezwana Chowdhury Bannya"
Ei Je Tomar Prem,Bhorer Akash Rezwana,"Rezwana Chowdhury Bannya, Sumitra Sen, Indrani Sen"
Ei Je Tomar Prem,Emon Diney Taare Bola Jaay,Hemanta Mukherjee
