Song,Film/Album,Artists
Ek Kanyake Dekhe To Lagchhe Emon,1942 A Love Story,Kumar Sanu
Mon Aaj Nirash To Noy,1942 A Love Story,Sivaji Chatterjee
Na Bolo Na Kichhu Bolo Na,1942 A Love Story,"Lata Mangeshkar, Kumar Sanu"
Raag Na Karo To Tomake Boli,1942 A Love Story,Kumar Sanu
Rimjhim Rimjhim,1942 A Love Story,"Kumar Sanu, Kavita Krishnamurthy"
Chokhe Chokhe Katha Balo,Aaj Dujane Romantic Hits,Asha Bhosle
Lakshmiti Dohai Tomar,Aaj Dujane Romantic Hits,Asha Bhosle
Na Ekhoni Noy Jabe,Aaj Dujane Romantic Hits,Asha Bhosle
Na Ekhoni Noy Jabe,,Asha Bhosle
Pora Banshi Shunle E Mon,Aaj Dujane Romantic Hits,Asha Bhosle
Sandhya Belay Tumi Ami,Aaj Dujane Romantic Hits,Asha Bhosle
Ei Edike Eso Esona,Aakashe Aaj Ranger Khela,Asha Bhosle
Ei Edike Eso Esona,,Asha Bhosle
Banshi Shune Ki,All Time Greats,Asha Bhosle
Jhum Jhum Jhum Raat Nijhum,All Time Greats,Asha Bhosle
Moyna Balo Tumi,All Time Greats,Asha Bhosle
Phire Elam,All Time Greats,"Asha Bhosle, R.D.Burman"
Se To Elo Na,All Time Greats,Kishore Kumar
Ekti Katha Aami Je Shudhu Jani,All Time Greats Asha Bhosle,Asha Bhosle
Ektu Aaro Noy Kachhe Thako Na,All Time Greats Asha Bhosle,"Asha Bhosle, R.D.Burman"
Hay Go Amar Mon Mane Na,All Time Greats Asha Bhosle,Asha Bhosle
Khub Chena Chena Mukhkhani,All Time Greats Asha Bhosle,Asha Bhosle
Na Na Na Na Parbo Na,All Time Greats Asha Bhosle,Asha Bhosle
Raat Dupure Kothay Jabe,All Time Greats Asha Bhosle,Asha Bhosle
Chhero Na Chhero Na Haath,Anyay Abichar,"Kishore Kumar, Sabina Yasmin"
Dekhle Kemon Tumi Khel,Anyay Abichar,"Kishore Kumar, Chorus"
Mon-Majhi Re,Anyay Abichar,R.D.Burman
Nagor Amar Kancha Peerit,Anyay Abichar,"Asha Bhosle, Shailendra Singh"
Rui Katla Ilish Bhebe,Anyay Abichar,Sabina Yasmin
Aar Ki Tomay Chharchhi,Aparupa,"Asha Bhosle, R.D.Burman"
Ami Jani Na,Aparupa,"Asha Bhosle, Abhijeet"
Angur Angur Chokh,Aparupa,Asha Bhosle
Pelam Tomay,Aparupa,"Amit Kumar, Arati Mukherjee"
Mohuay Jomechhe Aaj Mou Go,Asha Bhosle A Musical Journey,Asha Bhosle
Mohuay Jomechhe Aaj Mou Go,Asha Bhosle,Asha Bhosle
Aasbo Aar Ekdin Aaj Jai,Bani Jetha Chiradin Rabe,Asha Bhosle
Akash Keno Daake,Bedonar Baluchare,Kishore Kumar
Ek Din Pakhi Ure Jabe,Bedonar Baluchare,Kishore Kumar
Chande Jatra,Bengali Modern Song,Asha Bhosle
Tomar Je Oi Haater Mala,Bengali Modern Song Asha,Asha Bhosle
Phire Elam Dure Giye,Bengali Modern Songs,"Asha Bhosle, R.D.Burman"
Balo Ki Achhe Go,Best Of Rahul Deb Burman,R.D.Burman
Balo Ki Achhe Go,Aaj Dujane Romantic Hits,R.D.Burman
