Song,Film/Album,Artists
Prem Elo Chup Shono,1942 A Love Story,Kavita Krishnamurthy
Pather Dhuloy Dudhare Chharano,Aaj Bikeler Dake Banasree,Banasree Sengupta
Swapno Rangano,Aainaate,Kumar Sanu
Keno E Udashi,Abhinetree,"Tapan Sinha, Smita Rakshit"
Duburi Hoye,Aaj Dujane Raghab Chatterjee And Monali Thakur,Raghab Chatterjee
Duburi Hoye,Aaj Dujane Raghab,Raghab Chatterjee
Khonje Emon Raate,Abhinetree,"Rupankar Bagchi, Jojo"
Jana Nei,Aaj Dujane Raghab Chatterjee And Monali Thakur,Raghab Chatterjee
Jana Nei,Aaj Dujane Raghab,Raghab Chatterjee
Thomke Samay Thomke,Abhinetree,Jojo
Jonakira,Aaj Dujane Raghab Chatterjee And Monali Thakur,Monali Thakur
Jonakira,Aaj Dujane Raghab,Monali Thakur
Hoyto Abar Asbe,Adhunik Bengali Songs Of,Nitin Mukesh
Katha Sure Gaane,Aaj Dujane Raghab Chatterjee And Monali Thakur,Monali Thakur
Katha Sure Gaane,Aaj Dujane Raghab,Monali Thakur
Raat Charaar Gaan,Ajantrik,Mokam
Kichhu Raat Jure,Aaj Dujane Raghab Chatterjee And Monali Thakur,Monali Thakur
Kichhu Raat Jure,Aaj Dujane Raghab,Monali Thakur
Sei Ekjan Dio Na Take Mon,All Time Greats,Nirmala Mishra
Na Jabo Na,Aaj Dujane Raghab Chatterjee And Monali Thakur,Raghab Chatterjee
Na Jabo Na,Aaj Dujane Raghab,Raghab Chatterjee
Jodi Amake Dekho Tumi Udasi,All Time Greats Abhijit,Manabendra Mukherjee
O Chokher Hashi,Aaj Dujane Raghab Chatterjee And Monali Thakur,Raghab Chatterjee
O Chokher Hashi,Aaj Dujane Raghab,Raghab Chatterjee
Saradin Tomay Bhebe,All Time Greats Abhijit,Subir Sen
Ei Gaane Gaane Parichay [1],Abooz Mon,Indrani Sen
Kajal Nadir Jale,All Time Greats,Tarun Banerjee
Ami Bali Na Bali,Achena Atithi,"Kumar Sanu, Anuradha Paudwal"
Khamo Aparadh Ohe Dinonath,All Time Greats Bengali Folk,Amar Paul
Balo Ki Je Holo,Achena Atithi,Kumar Sanu
Ankhi Chhala Chhalia,All Time Greats Tarun,Tarun Banerjee
Khushir Anek Range,Achena Atithi,Alka Yagnik
Sudhu Tumi Ele Na,Amader Gaan,Feed Back
Premeri Sur Kare Gun Gun,Achena Atithi,"Kumar Sanu, Alka Yagnik"
Mon Tumi Parbe Na Dite,Amar Bolar Kichhu Chilo Na,Haimanti Sukla
Sabar Mukhe Shuni,Achena Atithi,Anuradha Paudwal
O Jani Bhramra Keno Katha Koy Na,Amar Gaaner Swaralipi,S.D.Burman
Sune Hashi Or Chhute Giye,Achena Atithi,Anuradha Paudwal
Amar Hriday Niye Aar Kato Kal,Ami Eto Je Tomay,Manabendra Mukherjee
Tumi Amar Dasyi Moner,Achena Atithi,Manna Dey
Tumi Shuno Na Amar Katha,Annaya Haoa Lopamudra,Lopamudra Mitra
Nadi Jadi Bale,Ajasra Dhanyabad,Shailendra Singh
Shokal Ashe Na,Antaheen,Shreya Ghoshal
Alta Payer Alto Chhonwa Porechhe,All Time Greats,Tarun Banerjee
Ami To Tomar Chirodiner Hnasi,All Time Greats,Nirmala Mishra
E Jibane Ami Jare Cheyechhi,All Time Greats,Satinath Mukherjee
Ekhono Akashe Chand,All Time Greats,Satinath Mukherjee
Sandhya Belar Ektu Haowa,All Time Greats,Nirmala Mishra
Tomar Akash Duti Chokhe,All Time Greats,Nirmala Mishra
Dur Akashe Tomar Sur,All Time Greats Banasree,Banasree Sengupta
Oi Mousumi Mon Shudhu Rang,All Time Greats Manabendra,
Amar E Gaane Swapna,All Time Greats Satinath,Satinath Mukherjee
Amar E Gaane Swapna,,Satinath Mukherjee
Noy Thakle Aaro Kichhukshan,All Time Greats Subir Sen,Subir Sen
Uri Uri Mon,Amar Akash Raghab,Raghab Chatterjee
Uri Uri Mon,,Raghab Chatterjee
Sei Chithi Knujhe Pelam,Amar Balar Kichhu Chhilo Na,Haimanti Sukla
Ogo Tomay Chaowa,Ami Alpana Enke Jai Alpana,Alpana Banerjee
Emon Swapno Kakhano Dekhini,Ami Se O Sakha,Haimanti Sukla
Mone Hoy Anek Dinei,Annaya Haoa Lopamudra,Lopamudra Mitra
Mone Hoy Anek Dinei,,Lopamudra Mitra
Antaheen,Antaheen,Shaan
Jao Pakhi,Antaheen,"Shreya Ghoshal, Pranab Biswas"
Muthor Romal,Antaheen,Antara Chowdhury
Pherari Mon,Antaheen,"Shreya Ghoshal, Babul Supriyo"
Badsha Begumer Khelaghare,Antarale,Sharon Prabhakar
Sarata Din,Antey Bhor Bengali,Himika Mukherjee
Aaj Noy Kono Ekdin [2],Aparajita,Srikanto Acharya
Phire Elam Dure Giye,Asha And R D Burman,"Mridul Guha, Sharmistha Guha"
Gun Gun Sure Moumachhi Gaane,Ashirbad,Arundhati Holme Chowdhury
Aaj Shanibar Tumi Ashbe,Banashree Sengupta,Banasree Sengupta
Aaj Shanibar Tumi Ashbe,Amar Akash Raghab,Chitra Singh
Mando Bale Loke Boluk Na,Banasree Sengupta Aaj,Banasree Sengupta
Mando Bale Loke Boluk Na,Bangla Adhunik Gaan,Banasree Sengupta
Sanjher Taraka Ami,Bangla Adhunik Gaan,Juthika Roy
Sanjher Taraka Ami,,Juthika Roy
Banaharinir Chakita Chapal Ankhi,Bangla Adhunik Gaan,Sachin Gupta
Amake Dekhchho Kemon,Bangla Ganey Parampara,Chitra Singh
Bedona Madhur Hoye Jaay,Bangla Ganey Parampara,Jagjit Singh
E Moner Krishna Radhay,Bangla Ganey Parampara,Chitra Singh
Aajke Tomake Lagchhe Darun,Bappi Lahiri Housefull,Bappi Lahiri
