Song,Film/Album,Artists
Sharata din Ar Shara Raat,Rupkatha Noy,Rupankar Bagchi
Govire Jao,Baishe Srabon,Rupankar Bagchi
Roopkathara,Aparajita Tumi,Rupankar Bagchi
Chupi Chupi Raat,Chalo Let's Go,Rupankar Bagchi
Amar Mawte,Hemlock society,Rupankar Bagchi
Tobu jodi,Dutta Vs Dutta,Rupankar Bagchi
Jhal Legechey,Ganesh Talkies,Rupankar Bagchi
Shedin Dujoney,Ganesh Talkies,Rupankar Bagchi
E Tumi Kemon Tumi,Jaatishwar,Rupankar Bagchi
Sohosa Ele Ki,Jaatishwar,Rupankar Bagchi
Setai Sotti,Chotushkone,Rupankar Bagchi
Jaago Uma,Uma,Rupankar Bagchi
Bhokatta (title),Bhokatta,Rupankar Bagchi
