Song,Film/Album,Artists
"O Prajapati, Prajapati",A Legend Of Glory,Lata Mangeshkar
Banshi Keno Hai,Aamaar Priyo Gaan,Lata Mangeshkar
Ami Cholte Cholte Theme Gechhi,Abaak Rater Tara,Lata Mangeshkar
Bhulo Na Pratham Se Din,Abaak Rater Tara,Lata Mangeshkar
Dharanir Pathe Pathe,Abaak Rater Tara,Lata Mangeshkar
Ei Jiban,Abaak Rater Tara,Lata Mangeshkar
O Amar Pran Sajani,Abaak Rater Tara,Lata Mangeshkar
Saat Sakaale,Abaak Rater Tara,Lata Mangeshkar
Sabar Aarale,Abaak Rater Tara,Lata Mangeshkar
Amar A Bedan Majhe Tumi,All Time Greats,Nirmala Mishra
"Eso, Kachhe Boso",All Time Greats,Tarun Banerjee
Jete Jete Path Bhulechhi,All Time Greats,Hemanta Mukherjee
Mon Lage Na,All Time Greats,Lata Mangeshkar
Runner,All Time Greats,Lata Mangeshkar
Oi Je Sabuj Bonbithika,All Time Greats,Madhuri Chatterjee
Jodi Jante Go Tumi,All Time Greats,Manabendra Mukherjee
Chaitali Dine,All Time Greats,Sabita Chowdhury
Ghum Aay Ghum Aay,All Time Greats,Sabita Chowdhury
Mon-Mayuri Chharalo Pekham,All Time Greats,Sabita Chowdhury
O Alor Pathjatri,All Time Greats,"Manna Dey, Sabita"
Prajapati ! Prajapati !,All Time Greats,Sabita Chowdhury
Shudhu Tomari Janya,Alor Pathojatri,Antara Chowdhury
Nouka Baoar Gaan,Ami Jharer In Memory Of,Hemanta Mukherjee
O Neel Neel Pakhi,Bengali Modern Song Geetashree Sandhya Mukharjee,Sandhya Mukherjee
O Neel Neel Pakhi,Bengali Modern Song,Sandhya Mukherjee
Ekbar Duibar Tinbar Koilam,Bengali Modern Songs,Banasree Sengupta
Aar Dur Nei Diganter,Bengali Modern Songs,Hemanta Mukherjee
E Jiban Besh Cholchhe,Bengali Modern Songs,Hemanta Mukherjee
Ekhono Amar Mone,Bengali Modern Songs,Hemanta Mukherjee
Haate Moder Ke Debe,Bengali Modern Songs,Hemanta Mukherjee
Oi Ghum Ghum Ghumanta,Bengali Modern Songs,Sabita Chowdhury
Aay Bristi Jhenpe,Best Of Sandhya Mukherjee,Sandhya Mukherjee
Baje Jhanan Jhanan,Biswajit And Basabi,Biswajit Chatterjee
Ei Bagane Phul Tola Mana,Byapika Biday,Sabita Chowdhury
Ekhoni Keno Jabe Chole,Byapika Biday,Manna Dey
Ami Chalte,Chayanika,Pintoo Bhattacharya
Bidroho Aaj Bidroho,Chayanika,Hemanta Mukherjee
Dhitang Dhitang Bole,Chayanika,Hemanta Mukherjee
Emni Chirodin To Kabhu Jai Na,Chayanika,Anup Ghoshal
Ga Ga Re Pakhi Ga,Chayanika,Sandhya Mukherjee
Ghum Ai Ghum Ai,Chayanika,Sabita Chowdhury
Goon Goon Phagun,Chayanika,Madhuri Chatterjee
Gun Gun Mon Bhramara,Chayanika,Sandhya Mukherjee
Ja Re Ja Ja Mon Pakhi,Chayanika,Sabita Chowdhury
Jare Ja Ja Phire Ja,Chayanika,Sandhya Mukherjee
Miti Miti Tarara,Chayanika,Sabita Chowdhury
Mori Hay Go Hay,Chayanika,Sabita Chowdhury
O Mor Moyna Go,Chayanika,Lata Mangeshkar
Palkir Gaan,Chayanika,"Hemanta Mukherjee, Chorus"
Prantarer Gaan Amar,Chayanika,Utpala Sen
Sajani Go Katha Shono,Chayanika,Sandhya Mukherjee
Shyamalbarani Ogo Kanya,Chayanika,Dwijen Mukherjee
Sunayani Ar E Pathe,Chayanika,Nirmalendu Chowdhury
Ami Jharer Kachhe Rekhe Gelaam,Chayanika Mone,Hemanta Mukherjee
Saat Bhai Champa Jagore,Chayanika Mone,Lata Mangeshkar
Dhanya Ami Janmechhi Ma,Chayanika Patriotic Songs,Manna Dey
Aha Oi Anka Banka Je Path,Chayanika,Shyamal Mitra
Ja Jare Ja Ja Pakhi,Chayanika,Shyamal Mitra
Teler Shishi Bhanglo Bole,Chhotoder Gaan,Bani Ghoshal
Duranta Ghurnir Ei Legechhe Paak,Chyanika,Hemanta Mukherjee
Path Harabo Bolei Ebar,Chyanika,Hemanta Mukherjee
Aay Re O Aay Re,Dhitang Dhitang Bole,"Sabita Chowdhury, Chorus"
Ei Duniyay Bhai,Ek Din Raatre,Manna Dey
Jago Mohan Preetam,Ek Din Raatre,"Lata Mangeshkar, Others"
Jago Mohan Pritam,Ek Din Raatre,"Lata Mangeshkar, Chorus"
Se Gaan Ami,Ek Din Raatre,Sandhya Mukherjee
Ja Re Jare Ure Jare Pakhi,Bengali Modern Of,Lata Mangeshkar
Ujjwal Ek Jhank Payra,Ga Gare Sandhya Mukherjee,Sandhya Mukherjee
Hay Phagun Din,Gaan Shudhu Gaan,Anup Ghoshal
Ganga Gangar Tarange,Ganga,"Sabita Chowdhury, Others"
Ichchha Kare Parandare,Ganga,Pankaj Mitra
Hei Samalo,Ghoom Bhanganor Gaan,Montoo Ghosh
O Alor Pathajatri,Ghoom Bhanganor Gaan,"Sabita Chowdhury, Montoo"
Klanti Name Go,Hazar Moner Bhire,Dwijen Mukherjee
Jodi Baran Karo Tabe Jabo Na,Hits Of Lata Mangeshkar,Lata Mangeshkar
Ke Jabi Aay,Hits Of Lata Mangeshkar,Lata Mangeshkar
Pa Ma Ga Re Sa,,Manna Dey
Pa Ma Ga Re Sa,Hits Of Lata Mangeshkar,Lata Mangeshkar
Sei Meye,Hits Of Salil Choudhury,Suchitra Mitra
Akash Kusum Diye Ami,Hits Of Salil Chowdhury,Ranu Mukherjee
Dhin Tak Kurur Dhin Tak,Hits Of Salil Chowdhury,Shyamal Mitra
Dure Prantare,Hits Of Salil Chowdhury,Usha Mangeshkar
Ei Jiban Emni Kore,Hits Of Salil Chowdhury,Sagar Sen
Jay Jay Din,Hits Of Salil Chowdhury,Biswajit Chatterjee
Jay Jodi Jak Na,Hits Of Salil Chowdhury,Chandrani Mukherjee
Megh Baran Kalo Chule,Hits Of Salil Chowdhury,Dwijen Mukherjee
Jak Dhuye Jak Muchhe Jak,Hits Of Shyamal Mitra,"Nirmalendu Chowdhury, Shyamal Mitra"
Hay Hay Ki Herilam,In Memory Of,Nirmalendu Chowdhury
Hothat Bhishon Bhalo Lagchhe,Kabita,Lata Mangeshkar
Ami To Kumir Dhore Anini,Kabita,Manna Dey
Bujhbe Na Keu Bujhbe Na,Kabita,Lata Mangeshkar
Dhyat Teri Maro Guli,Kabita,Sabita Chowdhury
Shuno Shuno Go Sabe,Kabita,Kishore Kumar
Aay Re O Aay Re,Ga Gare Sandhya Mukherjee,Sandhya Mukherjee
Aay Re O Aay Re,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Jhilik Jhilik Jhinuk,Ki Likhi Tomai Priyotama,Lata Mangeshkar
Keno Je Kandao Bare Bare,Ki Likhi Tomai Priyotama,Lata Mangeshkar
Shono Kono Ekdin,Kotha Koyonako Shudhu,Hemanta Mukherjee
Deko Na More Deko Na Go,Lal Pathar,"Shyamal Mitra, Sabita Chowdhury"
Ebar Ami Amar Theke,Bengali Songs Lata,Lata Mangeshkar
Jhim Chiki Chak,Bengali Songs,"Lata Mangeshkar, Chorus"
Gyaner Bodhu,Legend Hemanta Mukherjee,Hemanta Mukherjee
Abaak Prithibi,Live At Salt Lake Stadium,Hemanta Mukherjee
Ami Parini Bujhite,Manabendra Mukherjee,Manabendra Mukherjee
Baje Go Beena,Marjinna Abdulla,Manna Dey
Haay Haay Praan Jaay,Marjinna Abdulla,Lata Mangeshkar
Maar Jharu Maar,Marjinna Abdulla,Sabita Chowdhury
O Bhai Re Bhai,Marjinna Abdulla,"Manna Dey, Chorus"
Oi Anka Banka Je Path,More Gems From Bengal,Shyamal Mitra
Ki Je Kori Dure Jete Hay,More Gems From,Lata Mangeshkar
Moner Janala Dhore Unki Diye,More Gems From,Hemanta Mukherjee
Antabihin Ei Andha Raater,Music Of Salil Chowdhury,Dhananjay Bhattacharya
Dur Noy Beshi Dur Oi,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Dur Noy Beshi Dur Oi,Music Of Salil Chowdhury,Shyamal Mitra
E Mon Mor Jani Na Kotha Je Haralo,Music Of Salil Chowdhury,Nirmala Mishra
Ekdin Phire Jabo Chale,Music Of Salil Chowdhury,Dwijen Mukherjee
Jhanana Jhanana Baje Sur Bahare,Music Of Salil Chowdhury,Dhananjay Bhattacharya
Jodi Kichhu Amare Shudhao,Music Of Salil Chowdhury,Shyamal Mitra
Keno Kichhu Katha Balo Na,Music Of Salil Chowdhury,Lata Mangeshkar
O Tui Nayan Pakhi Amar Re,Music Of Salil Chowdhury,Lata Mangeshkar
Pallabini Go Sancharini,Music Of Salil Chowdhury,Dwijen Mukherjee
Baro Bishad Bhara Rajani,Music Of Salil Chowdhury,"Lata Mangeshkar, Chorus"
Jhir Jhir Jhir Jhir Jhiri Barashay,Pasher Baadi,Dhananjay Bhattacharya
Kichhu To Chahini Ami,Pathe Ebar Namo Sathi,Lata Mangeshkar
Eki E Niyatir Nithur Khela,Pratigna,"Arati Mukherjee, Suresh Wadkar"
Tumi Hey Mata Pita,Pratigna,"Antara Chowdhury, Chorus"
O Majhi Re,Raat Bhor,Shyamal Mitra
Jay Din Emni Jodi,Rai Bahadur,Hemanta Mukherjee
Gahan Raati Ghanay,Salil Chowdhury,Sandhya Mukherjee
Kichhu Aar Kohibo Na Go Priyo,Salil Chowdhury,Sandhya Mukherjee
Runner,Sanchayan Hemanta,Hemanta Mukherjee
Pathe Ebar Namo Sathi Pathe Hobe,Sanchayan,Hemanta Mukherjee
Pathe Ebar Namo Sathi Pathe Hobe,Sanchayan Hemanta Mukherjee,Hemanta Mukherjee
Jodi Naam Dhore Tare Daki,Sandhya Sings For,Sandhya Mukherjee
Aar Deri Nei,Sangeetmoy,Tarun Banerjee
Aar Deri Nei,Sangeetmoy Panchas Bachchar,Tarun Banerjee
Amay Prashna Kare Neel Dhrubatara,Sera Shilpi Sera Gaan,Hemanta Mukherjee
Antabihin Kate Na Aar Jeno,Sera Shilpi Sera Gaan,Lata Mangeshkar
Ogo Aar Kichhu To Naai,Sera Shilpi Sera Gaan,Lata Mangeshkar
Ore O Mon Moyna,Sera Shilpi Sera Gaan,Lata Mangeshkar
Na Jeyo Na Rajani Ekhano,Serashilpi Seragaan,Lata Mangeshkar
Na Mon Lage Na,Serashilpi Seragaan,Lata Mangeshkar
O Jhar Jhar Jharna,Serashilpi Seragaan,Lata Mangeshkar
Ogo Amar Kuntalini Priye,Shuru Hok Path Chala,Pintoo Bhattacharya
Jhun Jhun Moyna Nacho Na,Smaraniyo Adhunik Gaan,Mukesh
Mon Matal Sanjh Sakal,,Mukesh
Mon Matal Sanjh Sakal,Smaraniyo Adhunik Gaan,Mukesh
Thikana,,Hemanta Mukherjee
Thikana,Songs To Remember,Hemanta Mukherjee
Naam Shakuntala Taar,Srikanter Will,"Yesudas, Sabita Chowdhury"
Bou Katha Kao Bole Pakhi,Surer Jharnaa,Sabita Chowdhury
Ene De Ene De Jhumka,Surer Jharnaa,Sabita Chowdhury
Halud Gandar Phul De Ene De,Surer Jharnaa,Sabita Chowdhury
Jhilmil Jhauyer Bone,Surer Jharnaa,Sabita Chowdhury
Lage Dol Patay Patay,Surer Jharnaa,Sabita Chowdhury
Surer Ei Jharjhar Jharna,Songs To Remember,"Antara Chowdhury, Chorus"
Surer Ei Jharjhar Jharna,Surer Jharnaa,Sabita Chowdhury
