Song,Film/Album,Artists
Aaschhe Shatabdite,Agami Prithivi Shono,Sandhya Mukherjee
Chokhe Chokhe Katha Balo,Aaj Dujane Romantic Hits,Asha Bhosle
Amar Duarkhani Batas Ese,Agni Sanskar,Sandhya Mukherjee
Lakshmiti Dohai Tomar,Aaj Dujane Romantic Hits,Asha Bhosle
Ei Sundar Raatri,Agni Sanskar,Sandhya Mukherjee
Na Ekhoni Noy Jabe,Aaj Dujane Romantic Hits,Asha Bhosle
Ekti Sukher Neer,Agni Sanskar,Sandhya Mukherjee
Pora Banshi Shunle E Mon,Aaj Dujane Romantic Hits,Asha Bhosle
Gaane Mor Kon Indradhanu,Agnipariksha,Sandhya Mukherjee
Sandhya Belay Tumi Ami,Aaj Dujane Romantic Hits,Asha Bhosle
Jodi Bhul Korei Bhul Madhur Holo,Agnipariksha,Sandhya Mukherjee
Akashe Aaj Ranger Khela,Aakashe Aaj Ranger Khela,Asha Bhosle
Ke Tumi Amare Dako,Agnipariksha,Sandhya Mukherjee
Amay Tumi Je Bhalobesechho,Aakashe Aaj Ranger Khela,Asha Bhosle
Phuler Kane Bhramar Aane,Agnipariksha,Sandhya Mukherjee
Ei Edike Eso Esona,Aakashe Aaj Ranger Khela,Asha Bhosle
Bhalobasar Dinguli Mor,All Time Greats,Sandhya Mukherjee
Je Gaan Tomay Ami,Aakashe Aaj Ranger Khela,Asha Bhosle
Saradin Tomar Kathai Mone Pore,Antaraal,Sandhya Mukherjee
E Amar Agnipariksha,Abhiman,Asha Bhosle
Thun Thun Thun Kankone Je Ki Sur,Antaraal,Sandhya Mukherjee
Tumi Je Amar,Abhiman,Asha Bhosle
Ami Je Jalsaghare,Antony Firingee,Sandhya Mukherjee
Keno Dako Isharay,Abhishapto Chambal,Asha Bhosle
Champa Chameli Golaperi Baage,Antony Firingee,"Manna Dey, Sandhya Mukherjee"
Moner Manush Khunjte,Adwitiya,Asha Bhosle
Tunhu Mamo Monopran Hey,Antony Firingee,Sandhya Mukherjee
Kachhe Achho Tumi,Ajasra Dhanyabad,"Asha Bhosle, Shailendra Singh"
Aro Kichhu Raat,Baluchari,Sandhya Mukherjee
Prem Kathatai Chhoto,Ajasra Dhanyabad,Asha Bhosle
Shudhu Jale Likhe Naam,Bangla Adhunik Gaan,Sandhya Mukherjee
Banshi Shune Ki,All Time Greats,Asha Bhosle
Amar Mone Nei Mon,Bani Jethe Chiradin Rabe,Sandhya Mukherjee
Jhum Jhum Jhum Raat Nijhum,All Time Greats,Asha Bhosle
Ore Batas Phulshakhate,Barnachora,Hemanta Mukherjee
Moyna Balo Tumi,All Time Greats,Asha Bhosle
Bandho Jhulana,Basant Bahar,Sandhya Mukherjee
Nach Mayuri Nach Re,All Time Greats,Asha Bhosle
Balo Madhuper Sane,Bengali Modern Song Geetashree Sandhya Mukharjee,Sandhya Mukherjee
Balo Madhuper Sane,Bengali Modern Song,Sandhya Mukherjee
O Neel Neel Pakhi,Bengali Modern Song Geetashree Sandhya Mukharjee,Sandhya Mukherjee
O Neel Neel Pakhi,Bengali Modern Song,Sandhya Mukherjee
Chandan Palanke Shuye,Bengali Modern Songs,Sandhya Mukherjee
Swapna Bhora Andhakare,Bengali Modern Songs,Sandhya Mukherjee
Akash! Eki Alo Chhoriye,Bengali Modern Songs,Sandhya Mukherjee
Aay Bristi Jhenpe,Best Of Sandhya Mukherjee,Sandhya Mukherjee
Anek Durer Oi Je Akash,Best Of Sandhya Mukherjee,Sandhya Mukherjee
Jamuna Kinare,Best Of Sandhya Mukherjee,Sandhya Mukherjee
Kojagori Ei Jyotsna Bheja,Best Of Sandhya Mukherjee,Sandhya Mukherjee
Rupali Chand Jhile,Best Of Sandhya Mukherjee,Sandhya Mukherjee
Ami Swapne Tomay Dekhechhi,Bipasha,Sandhya Mukherjee
Klantir Path Bujhiba Phuralo,Bipasha,Sandhya Mukherjee
Mor Bhiru Se Krishnakali,Chandranath,Sandhya Mukherjee
Ei Je Kachhe Daka,Chaoa Paoa,Sandhya Mukherjee
Aaj Keno O Chokhe Laj Keno,Chayanika,Sandhya Mukherjee
Ami Priya Habo Chilo Sadh,Chayanika,Sandhya Mukherjee
Ami To Tomari Kachhe Royechhi,Chayanika,Sandhya Mukherjee
