Song,Film/Album,Artists
Pather Dhuloy Dudhare Chharano,Aaj Bikeler Dake Banasree,Banasree Sengupta
Tumi Allah,Aaj Dujane Raghab Chatterjee And Monali Thakur,Raghab Chatterjee
Keno E Udashi,Abhinetree,"Tapan Sinha, Smita Rakshit"
Pujar Thalay,Abhiman,Anuradha Paudwal
Khonje Emon Raate,Abhinetree,"Rupankar Bagchi, Jojo"
Tumi Arup Swarup,All Time Greats,Krishna Chatterjee
Thomke Samay Thomke,Abhinetree,Jojo
Amar Sadh Na Mitilo,All Time Gteats,Pannalal Bhattacharya
Hoyto Abar Asbe,Adhunik Bengali Songs Of,Nitin Mukesh
Amay De Ma Pagal Kore,All Time Gteats,Pannalal Bhattacharya
Raat Charaar Gaan,Ajantrik,Mokam
Ami Jodi Bhul Kori Ma,All Time Gteats,Pannalal Bhattacharya
Sei Ekjan Dio Na Take Mon,All Time Greats,Nirmala Mishra
Bhebe Dekh Mon Keu Karo Noy,All Time Gteats,Pannalal Bhattacharya
Jodi Amake Dekho Tumi Udasi,All Time Greats Abhijit,Banerjee
Chintamoyee Tara Tumi,All Time Gteats,Pannalal Bhattacharya
Saradin Tomay Bhebe,All Time Greats Abhijit,Subir Sen
Jenechhi Jenechhi Tara,All Time Gteats,Pannalal Bhattacharya
Kajal Nadir Jale,All Time Greats,Tarun Banerjee
Ma Go Muchhiye De Mor,All Time Gteats,Pannalal Bhattacharya
Ma Go Samay To Thakbe Na,All Time Gteats,Pannalal Bhattacharya
Ankhi Chhala Chhalia,All Time Greats Tarun,Tarun Banerjee
Ma Sadanandamoyi Kali,All Time Gteats,Pannalal Bhattacharya
Sudhu Tumi Ele Na,Amader Gaan,Feed Back
Mago Anandamoyee,All Time Gteats,Pannalal Bhattacharya
Mon Tumi Parbe Na Dite,,Haimanti Sukla
Shato Naame Kato Jane,All Time Gteats,Pannalal Bhattacharya
O Jani Bhramra Keno Katha Koy Na,Amar Gaaner Swaralipi,S.D.Burman
Shyama Maa Ki Aamar Kalo,All Time Gteats,Pannalal Bhattacharya
Amar Hriday Niye Aar Kato Kal,Ami Eto Je Tomay,Lopamudra Mitra
Tor Mato Ma Eto Apan,All Time Gteats,Pannalal Bhattacharya
Tumi Shuno Na Amar Katha,Annaya Haoa Lopamudra,Chitra Singh
Ami Mantro Tantro Kichhui Janine Ma,Alltime Greats,Pannalal Bhattacharya
Shokal Ashe Na,Antaheen,S.D.Burman
Ami Sab Chhere Ma,Alltime Greats,Pannalal Bhattacharya
Ja Peyechhi,Anurager Chhowa,Amit Kumar
Chai Naa Mago Raja Hote,Alltime Greats,Pannalal Bhattacharya
Mon Matal Sanjh Sakal,Arundhati Smaran Nadir Pare,Arundhati Holme Chowdhury
Dosh Karo Noy Go Ma,Alltime Greats,Pannalal Bhattacharya
Buke Amar Agun Jwale,Back Again Runa Laila,Runa Laila
Jani Go Phurabe Raat,Back Again Runa Laila,Runa Laila
Jibone Jegechhilo Madhumas,Bangla Adhunik Gaan,Pankaj Kumar Mullick
Malar Kusum Kande,Bangla Adhunik Gaan,Firoza Begum
Ghum Bhulechhi Nijhum E Nishithe,Bani Jetha Chiradin Rabe,S.D.Burman
Amar Balar Kichhu Chhilo Na,Bani Jethe Chiradin Rabe,Haimanti Sukla
Ami Path Cheye Raba,Barne Gandhe Chande Gitite,S.D.Burman
Ami Path Cheye Raba,,S.D.Burman
Ki Kori Ami Ki Kori,Barne Gandhe Chande Gitite,S.D.Burman
Ki Kori Ami Ki Kori,,S.D.Burman
Na Na Amare Shashi Cheyo Na,Barne Gandhe Chande Gitite,S.D.Burman
Tumi Esechhile Porshu,Barne Gandhe Chande Gitite,S.D.Burman
Tumi Esechhile Porshu,Amar Bolar Kichhu Chilo Na,Amar Paul
