Song,Film/Album,Artists
Ei Prithibite Hay,A Legend Of Glory,Shyamal Mitra
Dujanete Lekha Gaan,Abhiman,Kishore Kumar
Sarati Jiban Dhore,A Legend Of Glory,Shyamal Mitra
Thik Saare Panchta Jei Bejechhe,Abhiman,Kishore Kumar
Sraban Raate,Aalo Andhare,"Shyamal Mitra, Pratima Banerjee"
Amar Deep Nebhano Raat,All Time Greats,Kishore Kumar
Ei Punya Prabhate,Abak Prithibi,"Shyamal Mitra, Chorus"
Se To Elo Na,All Time Greats,Kishore Kumar
Tui Chaoyar Mato,Abhoya O Srikanta,Shyamal Mitra
Bipinbabur Karan-Sudha,Amanush,"Kishore Kumar, Chorus"
Chhaya Jhara Bhara Sanjhe,Ajasra Dhanyabad,Shyamal Mitra
Jodi Hoi Chorkanta,Amanush,"Kishore Kumar, Asha Bhosle"
Nawal Kishore Shyamsundar,Ajasra Dhanyabad,"Mohd.Rafi, Asha Bhosle, Shailendra Singh, Shyamal Mitra"
Ki Ashai Bandhi Khelaghar,Amanush,Kishore Kumar
Tumi Je Amari Gaan,Ajasra Dhanyabad,Shyamal Mitra
Amar Swapna Tumi Ogo,Ananda Ashram,"Kishore Kumar, Asha Bhosle"
Mago Tumi Omon Kore,Akash Prodip,Shyamal Mitra
Asha Chhilo Bhalobasa Chhilo,Ananda Ashram,Kishore Kumar
Jakhan Manusher Dukkhhe,Amanush,Shyamal Mitra
Prithibi Bodle Gechhe,Ananda Ashram,Kishore Kumar
Jhiri Jhiri Batas Kande,Amar Gaaner Swaralipi,Shyamal Mitra
Ogo Nirupama,Anindita,Kishore Kumar
Ei Hasi Manay Na To,Ami Se O Sakha,Shyamal Mitra
Aaj Ei Dintake,Antarale,Kishore Kumar
Katha Kichhu Kichhu Bujhe Nite Hoy,Ananda Ashram,"Shyamal Mitra, Arati Mukherjee"
Ami Je Ke Tomar,Anurager Chhowa,Kishore Kumar
Teenti Mantra Niye,Ananda Ashram,Shyamal Mitra
Chhero Na Chhero Na Haath,Anyay Abichar,"Kishore Kumar, Sabina Yasmin"
