Song,Film/Album,Artists
Bhalo Lage Swapnoke,Hero,"Sonu Nigam, Shreya Ghoshal"
Je Kothati Mone,Bandhan,"Sonu Nigam, Shreya Ghoshal"
Aaj Tomay Niye Suru Holo,Bandhan,"Sonu Nigam, Sadhna Sargam"
Mon Rage Anurage,Subhodrishti,"Sonu Nigam, Shreya Ghoshal"
Mukti Dao,Kacher Manush,Sonu Nigam
Jar Chabi Eai Mon Enke Jai,Premi,Sonu Nigam
Tumi Amar Jibon Sathi,Bidhatar Lekha,Sonu Nigam
Ghum Ghum Oi Chokhe,Romeo,"Sonu Nigam, Shreya Ghoshal"
Tokey Niye Banchbo Aami,Bandhan,Sonu Nigam
Kichhu Hashi Kichhu Asha,Bandhan,Sonu Nigam
Hani Alkadi R Gaan,Mishawr Rawhoshyo,Sonu Nigam
Bhalobasa Aalo Aasha,Hero,Sonu Nigam
Mone Rekho Amar Ea Gaan,Premi,"Sonu Nigam, Shreya Ghoshal"
Kichu Asha Khoje Bhasa,Yuddho,"Sonu Nigam, Shreya Ghoshal"
Mon Ore Mon Amar,Agni Shapath,Sonu Nigam
Mon Mane Na,I Love You,Sonu Nigam
Chalre Chalre Bhai,I Love You,Sonu Nigam
Bolo Priya,Saat Paake Bandha,Sonu Nigam
