Song,Film/Album,Artists
Akashe Aaj Ranger Khela,Aakashe Aaj Ranger Khela,Asha Bhosle
Meghla Meye Megheri Saj Porechhe,All Time Great Manna Dey,Manna Dey
Aaro Katodin Ami Khunjechhi Tomake,All Time Greats,Arati Mukherjee
Aaynate Mukh Dekhbo Na,All Time Greats,Arati Mukherjee
Banya Banya E Aranya,All Time Greats,Arati Mukherjee
Chalo Aaj Kichhu Path Chole Jai,All Time Greats,Nirmala Mishra
Ekta Gaan Likho Amar Janyo,All Time Greats,Satinath Mukherjee
Jadi Akash Hoto Ankhi,All Time Greats,Arati Mukherjee
Keno Ele Balo Tai,All Time Greats,Nirmala Mishra
Nach Mayuri Nach Re,All Time Greats,Asha Bhosle
Sonar Haate Sonar,All Time Greats,Satinath Mukherjee
Taar Churite Je Rekhechhi Mon,All Time Greats,Manabendra Mukherjee
Tapur Tupur Sara Dupur,All Time Greats,Arati Mukherjee
Tomar Deoya Anguriyo,All Time Greats,Pratima Banerjee
Bolte Tumi Paro,All Time Greats,Arati Mukherjee
Chhi Chhi Chhi Eki Kando,,Banasree Sengupta
Gaan Geye Phire Gechhi,All Time Greats Dhananjoy,Dhananjay Bhattacharya
Ogo Sucharita,All Time Greats Dhananjoy Bhattacharya,Dhananjay Bhattacharya
Ogo Sucharita,All Time Greats,Dhananjay Bhattacharya
Akash Eto Meghla,All Time Greats,Satinath Mukherjee
Oi Akash Pradip,All Time Greats,Satinath Mukherjee
Eto Sur Aar Eto Gaan,All Time Greats Subir Sen,Subir Sen
Oi Ujjal Din,All Time Greats Subir Sen,Subir Sen
Tomar Hasi Lukiye Achhe,All Time Greats Subir Sen,Subir Sen
Sadher Khancha Pore Rabe,Amritakumbher Sandhane,Amar Paul
Saradin Tomar Kathai Mone Pore,Antaraal,Sandhya Mukherjee
Thun Thun Thun Kankone Je Ki Sur,Antaraal,Sandhya Mukherjee
Tumi Ki Emni Korei,Antaraal,Shyamal Mitra
Jodi Akash Hoto Ankhi,Arati Mukhopadhay Bengali,Arati Mukherjee
Agun Legechhe Legechhe,Basanta Bilap,"Manna Dey, Rabi Ghosh"
Ami Miss Calcutta,Basanta Bilap,Arati Mukherjee
Ek Charetei Thanda,Basanta Bilap,Arati Mukherjee
O Shyam Jakhan Takhan,Basanta Bilap,Arati Mukherjee
Tumi Aasbe Eto Jantam,Bengali Modern Song,Manabendra Mukherjee
Tumi Aasbe Eto Jantam,Bengali Modern Songs,Banasree Sengupta
Andhakarke Bhoy Kori,Bengali Modern Songs,Banasree Sengupta
E Mone Tomake Na Dekhe,Bengali Modern Songs,"Banasree Sengupta, Talat Mahmood"
Ekdin Sei Din,Bengali Modern Songs,Banasree Sengupta
Hira Phele Knach,Bengali Modern Songs,Banasree Sengupta
Paye Paye Hridayer,Bengali Modern Songs,Salil Mitra
Ei Rim Jhim Jhim Barashay,Bengali Modern Songs,"Talat Mahmood, Subir Sen"
Tomare Parini Je Bhulite,Bengali Modern Songs,Talat Mahmood
Rupali Chand Jhile,Best Of Sandhya Mukherjee,Sandhya Mukherjee
Char Deyaler Modhye Nanan Drishyake,Chayanika,Manna Dey
Eki Ange Eto Rup,Chayanika,Manna Dey
Madhur Madhur Banshi Baje,Chayanika,Sandhya Mukherjee
Rum Jhum Jhum Jhum,Chayanika,Sandhya Mukherjee
Ei Jhir Jhir Jhir Batase,Chayanika Mone,Dhananjay Bhattacharya
Chokher Najar Kom Hole Aar,Chayanika,Shyamal Mitra
Kar Manjir Baje Rini,Chayanika,Shyamal Mitra
Neel Akasher Oi Kole,Chayanika,Shyamal Mitra
Tomare Peyechhi Bole,Chayanika,Shyamal Mitra
Champabati Meye Ogo,Chayanika,Shyamal Mitra
Ei Shahare Ei Bandare,Chayanika,Shyamal Mitra
Keno Tumi Phire Ele,Chayanika,Shyamal Mitra
Lal Cheli Parane Taar,Chayanika,Shyamal Mitra
Lal Cheli Parane Taar,All Time Greats Banasree,Shyamal Mitra
Aare Chho Chho Kya Saramke Baat,Chhadmabeshi,Anup Ghoshal
Aaro Dure Chalo Jai,Chhadmabeshi,Asha Bhosle
Amar Din Kate Na,Chhadmabeshi,Asha Bhosle
Ami Kon Pathe Je Chali,Chhadmabeshi,Manna Dey
Banchaao Ke Aachho,Chhadmabeshi,Manna Dey
Kancher Churir Chhatay,Dak Harkara,Geeta Dutt
Lal Paguri Bendhe Mathe,Dak Harkara,Manna Dey
Mon Re Amar Hay Shunli Na,Dak Harkara,Manna Dey
Ogo Tomar Shesh Bicharer,Dak Harkara,Manna Dey
Ek Je Chhilo Bagh [2],Ek Je Chhilo Bagh,Chaiti Roy
Mon Moyna,Ekhono Sarengita Bajchhe,Haimanti Sukla
Naach Mayuri Naach Re,Ekta Gaan Likho,Sreeradha Banerjee
Ja Ja Bole De Re,Emon Ekra Jhinuk,Nirmala Mishra
Aay Chole Aay,Epar Opar,Asha Bhosle
Ami Andhakarer Jatri,Epar Opar,Asha Bhosle
O Chokhe Amay Dekho Na,Eso Na Galpo Kori,Arati Mukherjee
Ke Go Tumi Dakile Amare,Gali Thekey Rajpath,Asha Bhosle
Namo Mata Saraswati,Hangsaraaj,Sandhya Mukherjee
O Babumashai,Hangsaraaj,Arati Mukherjee
O Baro Koste Ami Pelam,Hangsaraaj,Arati Mukherjee
O Didimoni,Hangsaraaj,Arati Mukherjee
O Shamu Shyamre,Hangsaraaj,Arati Mukherjee
Tiya Tiya Tiya,Hangsaraaj,Shyamasree Mazumder
