Song,Film/Album,Artists
Ek Kanyake Dekhe To Lagchhe Emon,1942 A Love Story,Kumar Sanu
"O Prajapati, Prajapati",A Legend Of Glory,Lata Mangeshkar
"Priyotamo , Ki Likhi Tomay",A Legend Of Glory,Lata Mangeshkar
Chokhe Chokhe Katha Balo,Aaj Dujane Romantic Hits,Asha Bhosle
Pora Banshi Shunle E Mon,Aaj Dujane Romantic Hits,Asha Bhosle
Ei Eto Alo Eto Akash,Aalo Aamar Aalo,Manna Dey
Ami Cholte Cholte Theme Gechhi,Abaak Rater Tara,Lata Mangeshkar
Chanchal Mon Anmona Hoy,Adwitiya,Hemanta Mukherjee
Jabar Bela Pichhu Theke,Adwitiya,Lata Mangeshkar
Natun Natun Rang Dhorechhe,Ajana Shapath,Hemanta Mukherjee
Natun Natun Rang Dhorechhe,All Time Greats,Arati Mukherjee
Aaro Katodin Ami Khunjechhi Tomake,All Time Greats,Arati Mukherjee
Aaro Katodin Ami Khunjechhi Tomake,,Subir Sen
Alta Payer Alto Chhonwa Porechhe,All Time Greats,Tarun Banerjee
Ami Ek Jajabar,All Time Greats,Bhupen Hazarika
Banshi Shune Ki,All Time Greats,Asha Bhosle
Banya Banya E Aranya,All Time Greats,Arati Mukherjee
Bistirna Dupare,All Time Greats,Bhupen Hazarika
Chalo Rina Casurinar,All Time Greats,Tarun Banerjee
E Jibane Ami Jare Cheyechhi,All Time Greats,Satinath Mukherjee
Ei Mom Jochhonay Ango Bhijiye Eso Na,All Time Greats,Arati Mukherjee
Ganga Amar Ma,All Time Greats,Bhupen Hazarika
Momer Putul Momir Desher,All Time Greats,Firoza Begum
Moyna Balo Tumi,All Time Greats,Asha Bhosle
Nach Mayuri Nach Re,All Time Greats,Asha Bhosle
Se To Elo Na,All Time Greats,Kishore Kumar
Tapur Tupur Sara Dupur,All Time Greats,Arati Mukherjee
Emon Ekta Jhar Uthuk,All Time Greats Abhijit,Hemanta Mukherjee
Kajal Nadir Jale,All Time Greats,Tarun Banerjee
Dur Akashe Tomar Sur,All Time Greats Banasree,Banasree Sengupta
Bhalo Koira Bajan Go Dotara,All Time Greats Nirmalendu,Nirmalendu Chowdhury
Eto Sur Aar Eto Gaan,All Time Greats Subir Sen,Subir Sen
Oi Ujjal Din,All Time Greats Subir Sen,Subir Sen
Bipinbabur Karan-Sudha,Amanush,"Kishore Kumar, Chorus"
Jodi Hoi Chorkanta,Amanush,"Kishore Kumar, Asha Bhosle"
Ki Ashai Bandhi Khelaghar,Amanush,Kishore Kumar
Runur Jhunur Paay,Amar Gaaner Swaralipi,Nirmalendu Chowdhury
Aaj Jiban Khunje Pabi,Ami Ak Jajabar,Bhupen Hazarika
Manush Manusher Jannya,Ami Ak Jajabar Bhupen,Bhupen Hazarika
Sagar Sangame,Ami Ak Jajabar,Bhupen Hazarika
Asha Chhilo Bhalobasa Chhilo,Ananda Ashram,Kishore Kumar
Prithibi Bodle Gechhe,Ananda Ashram,Kishore Kumar
Ogo Nirupama,Anindita,Kishore Kumar
Ogo Nirupama,Antaraal,Shyamal Mitra
Tomar Samadhi Phoole Phoole Dhaka,Antaraal,Shyamal Mitra
Aaj Ei Dintake,Antarale,Kishore Kumar
Ami Jamini Tumi Shashi Hey,Antony Firingee,Manna Dey
Ami Je Jalsaghare,Antony Firingee,Manna Dey
Tunhu Mamo Monopran Hey,Antony Firingee,Sandhya Mukherjee
Ami Je Ke Tomar,Anurager Chhowa,Kishore Kumar
E Mon Amar Hariye Jay,Anurager Chhowa,Asha Bhosle
Aar Ki Tomay Chharchhi,Aparupa,"Asha Bhosle, R.D.Burman"
Chandra Je Tui,Aradhana,Lata Mangeshkar
Eto Kachhe Dujane,Aradhana,Kishore Kumar
Gunjane Dole Je Bhramar,Aradhana,"Kishore Kumar, Asha Bhosle"
Jodi Akash Hoto Ankhi,Arati Mukhopadhay Bengali,Arati Mukherjee
Jodi Akash Hoto Ankhi,,Arati Mukherjee
Mohuay Jomechhe Aaj Mou Go,Asha Bhosle A,Asha Bhosle
Jakhan Daaklo Banshi,Baghini,Hemanta Mukherjee
O Kokila Tore Sudhai Re,Baghini,Manna Dey
O Palash O Shimul,Bani Jetha Chiradin Rabe,Lata Mangeshkar
Shono Go Dakhin Hawa,Barne Gandhe Chande Gitite,S.D.Burman
Ami Miss Calcutta,Basanta Bilap,Arati Mukherjee
Jatismar,Bata Bengali Modern,Kabir Suman
Jatismar,Arati Mukhopadhay Bengali,"Kishore Kumar, Asha Bhosle"
Chaaridike Paaper Andhar,Bedonar Baluchare,Kishore Kumar
Akash Keno Daake,Bedonar Baluchare,Kishore Kumar
"Ami Nei, Ami Nei",Bedonar Baluchare,Kishore Kumar
Ek Din Pakhi Ure Jabe,Bedonar Baluchare,Kishore Kumar
Nayan Sarasi Keno Bhoreche Jaale,Bedonar Baluchare,Kishore Kumar
Amay Bhasaili Re,Bengali Folk Songs,Kumar Sanu
Dake Loke Amake Clown,Bengali Modern Songs,Kishore Kumar
Aaj Bikeler Dake Tomar Chithi,Bengali Modern Songs,Banasree Sengupta
