Song,Film/Album,Artists
Ei Eto Alo Eto Akash,Aalo Aamar Aalo,Manna Dey
Amar Duarkhani Batas Ese,Agni Sanskar,Sandhya Mukherjee
Ei Sundar Raatri,Agni Sanskar,Sandhya Mukherjee
Ekti Sukher Neer,Agni Sanskar,Sandhya Mukherjee
Gaane Mor Kon Indradhanu,Agnipariksha,Sandhya Mukherjee
Jodi Bhul Korei Bhul Madhur Holo,Agnipariksha,Sandhya Mukherjee
Ke Tumi Amare Dako,Agnipariksha,Sandhya Mukherjee
Phuler Kane Bhramar Aane,Agnipariksha,Sandhya Mukherjee
Bipinbabur Karan-Sudha,Amanush,"Kishore Kumar, Chorus"
Jakhan Manusher Dukkhhe,Amanush,Shyamal Mitra
Jani Na Aaj Je Apon,Amanush,Asha Bhosle
Jodi Hoi Chorkanta,Amanush,"Kishore Kumar, Asha Bhosle"
Ki Ashai Bandhi Khelaghar,Amanush,Kishore Kumar
Na Na Emon Korey,Amanush,Asha Bhosle
Amar Swapna Tumi Ogo,Ananda Ashram,"Kishore Kumar, Asha Bhosle"
Asha Chhilo Bhalobasa Chhilo,Ananda Ashram,Kishore Kumar
Bhalobeshe Dekei Dekho Na,Ananda Ashram,Asha Bhosle
Katha Kichhu Kichhu Bujhe Nite Hoy,Ananda Ashram,"Shyamal Mitra, Arati Mukherjee"
Prithibi Bodle Gechhe,Ananda Ashram,Kishore Kumar
Teenti Mantra Niye,Ananda Ashram,Shyamal Mitra
Ami Jamini Tumi Shashi Hey,Antony Firingee,Manna Dey
Ami Je Jalsaghare (Male),Antony Firingee,Manna Dey
Champa Chameli Golaperi Baage,Antony Firingee,"Manna Dey, Sandhya Mukherjee"
Tunhu Mamo Monopran Hey,Antony Firingee,Sandhya Mukherjee
Mone Naa Rang Lagle,Bandi,"Kishore Kumar, Asha Bhosle, Chorus"
Bendhona Phulomala Dore,Bilambita Loy,"Manna Dey, Arati Mukherjee"
Ek Baishakhe Dekha Holo Dujanay,Bilambita Loy,Arati Mukherjee
Ami Swapne Tomay Dekhechhi,Bipasha,Sandhya Mukherjee
Klantir Path Bujhiba Phuralo,Bipasha,Sandhya Mukherjee
Mou Bone Aaj Mou Jomechhe,Bondhu,Hemanta Mukherjee
Aaha Mori Mori,Bonpalasir Padabali,Shyamal Mitra
Amar Monta Tane,Bonpalasir Padabali,Shyamal Mitra
Bhola Mon Moner Katha,Bonpalasir Padabali,Shyamal Mitra
Dekhuk Para Porshite,Bonpalasir Padabali,Shyamal Mitra
Bani Bani Bani,Brojobuli,Manna Dey
Ei Je Kachhe Daka,Chaoa Paoa,Sandhya Mukherjee
Jodi Bhabo E To Khela Ghar,Chaoa Paoa,Hemanta Mukherjee
Amar Din Kate Na,Chhadmabeshi,Asha Bhosle
Ami Kon Pathe Je Chali,Chhadmabeshi,Manna Dey
Tomake Swapne Dekheo Sukh [1],Chhinna Patra,Arati Mukherjee
Phul Pakhi Bondhu Amar Chhilo,Chirodiner,Manna Dey
Lal Neel Sabujeri Mela,Chirodiner,Manna Dey
Manush Khun Hole Pore,Chirodiner,Manna Dey
Tumi Amar Chirodiner,Chirodiner,"Manna Dey, Sandhya Mukherjee"
Baro Eka Laage (Male),Chowringhee,Manna Dey
Kachhe Rabe Kachhe Rabe,Chowringhee,Hemanta Mukherjee
Twang Shakti Twang Mukti,Debi Choudhurani,Manabendra Mukherjee
Aaj Jeno Nei Kono Bhabna,Deep Jwele Jai,Lata Mangeshkar
Ei Raat Tomar Amar,Deep Jwele Jai,Hemanta Mukherjee
Jedin Labo Biday,Devdas,Manna Dey
Shaon Raate Jodi,Devdas,Manna Dey
Ami Cheye Cheye Dekhi,Deya Neya,Shyamal Mitra
Dole Dodul Dole Jhulana,Deya Neya,"Shyamal Mitra, Manabendra Mukherjee"
E Gaane Prajapati,Deya Neya,Sandhya Mukherjee
Gaane Bhuban Bhoriye Debe,Deya Neya,Shyamal Mitra
Jiban Khatar Prati Patay,Deya Neya,Shyamal Mitra
Madhobi Modhupey Holo Mitali,Deya Neya,Arati Mukherjee
Bou Katha Kao,Dhanyi Meye,"Arati Mukherjee, Kishore Kumar"
E Byatha Ki Je Byatha,Dhanyi Meye,Hemanta Mukherjee
Radhe Monta Rekhe Eli,Dhanyi Meye,Hemanta Mukherjee
Trinayani Durga,Dhooli,Dhananjay Bhattacharya
Amar Jibaner Eto Khushi,Dui Bhai,Hemanta Mukherjee
Ogo Ja Peyechhi,Dui Bhai,Hemanta Mukherjee
Taare Bole Diyo,Dui Bhai,Hemanta Mukherjee
Behag Jadi Na Hoi,Dui Purush,Manna Dey
"Jago, Natun Prabhat Jago",Duti Mon,Manna Dey
Se Amar Buk Bharano,Fariyad,Arati Mukherjee
